kind,oq,q,rvnm,sort,status,stcd,stnm,stype,tm,websiteid,wptn,z
1,0,113,东荆河,650,1,62213000,潜江,0,1786201200000,5,4,29.58
1,0,113,东荆河,650,1,62213000,潜江,0,1786204800000,5,4,29.56
1,0,112,东荆河,650,1,62213000,潜江,0,1786208400000,5,4,29.55
1,0,112,东荆河,650,1,62213000,潜江,0,1786212000000,5,4,29.54
1,0,112,东荆河,650,1,62213000,潜江,0,1786215600000,5,6,29.54
1,0,112,东荆河,650,1,62213000,潜江,0,1786219200000,5,4,29.53
1,0,111,东荆河,650,1,62213000,潜江,0,1786222800000,5,4,29.52
1,0,111,东荆河,650,1,62213000,潜江,0,1786226400000,5,4,29.51
1,0,111,东荆河,650,1,62213000,潜江,0,1786230000000,5,6,29.51
1,0,110,东荆河,650,1,62213000,潜江,0,1786240800000,5,4,29.49
1,0,93.5,东荆河,650,1,62213000,潜江,0,1786244400000,5,6,29.49
1,0,95.5,东荆河,650,1,62213000,潜江,0,1786251600000,5,5,29.53
1,0,97.2,东荆河,650,1,62213000,潜江,0,1786255200000,5,5,29.56
1,0,98.3,东荆河,650,1,62213000,潜江,0,1786258800000,5,5,29.58
1,0,98.9,东荆河,650,1,62213000,潜江,0,1786262400000,5,5,29.59
1,0,100,东荆河,650,1,62213000,潜江,0,1786266000000,5,5,29.61
1,0,101,东荆河,650,1,62213000,潜江,0,1786269600000,5,5,29.62
1,0,101,东荆河,650,1,62213000,潜江,0,1786273200000,5,6,29.62
1,0,84.9,东荆河,650,1,62213000,潜江,0,1786280400000,5,6,29.63
1,0,84.9,东荆河,650,1,62213000,潜江,0,1786284000000,5,6,29.63
1,0,84.9,东荆河,650,1,62213000,潜江,0,1786287600000,5,6,29.63
1,0,85.6,东荆河,650,1,62213000,潜江,0,1786291200000,5,5,29.64
1,0,85.6,东荆河,650,1,62213000,潜江,0,1786294800000,5,6,29.64
1,0,85.6,东荆河,650,1,62213000,潜江,0,1786298400000,5,6,29.64
1,0,85.6,东荆河,650,1,62213000,潜江,0,1786302000000,5,6,29.64
1,0,85.6,东荆河,650,1,62213000,潜江,0,1786305600000,5,6,29.64
1,0,85.6,东荆河,650,1,62213000,潜江,0,1786309200000,5,6,29.64
1,0,85.6,东荆河,650,1,62213000,潜江,0,1786312800000,5,6,29.64
1,0,85.6,东荆河,650,1,62213000,潜江,0,1786316400000,5,6,29.64
1,0,85.6,东荆河,650,1,62213000,潜江,0,1786320000000,5,6,29.64
1,0,85.6,东荆河,650,1,62213000,潜江,0,1786327200000,5,6,29.64
1,0,85.6,东荆河,650,1,62213000,潜江,0,1786334400000,5,6,29.64
1,0,85.6,东荆河,650,1,62213000,潜江,0,1786341600000,5,6,29.64
1,0,85.6,东荆河,650,1,62213000,潜江,0,1786348800000,5,6,29.64
1,0,84.9,东荆河,650,1,62213000,潜江,0,1786352400000,5,4,29.63
1,0,85.6,东荆河,650,1,62213000,潜江,0,1786359600000,5,6,29.64
1,0,86.3,东荆河,650,1,62213000,潜江,0,1786363200000,5,5,29.65
1,0,86.9,东荆河,650,1,62213000,潜江,0,1786366800000,5,5,29.66
1,0,88.3,东荆河,650,1,62213000,潜江,0,1786374000000,5,5,29.68
1,0,89.7,东荆河,650,1,62213000,潜江,0,1786377600000,5,5,29.7
1,0,90.4,东荆河,650,1,62213000,潜江,0,1786381200000,5,5,29.71
1,0,91.7,东荆河,650,1,62213000,潜江,0,1786384800000,5,5,29.73
1,0,93.8,东荆河,650,1,62213000,潜江,0,1786388400000,5,5,29.76
1,0,95.8,东荆河,650,1,62213000,潜江,0,1786392000000,5,5,29.79
1,0,97.9,东荆河,650,1,62213000,潜江,0,1786395600000,5,5,29.82
1,0,99.3,东荆河,650,1,62213000,潜江,0,1786399200000,5,5,29.84
1,0,101,东荆河,650,1,62213000,潜江,0,1786402800000,5,5,29.86
1,0,104,东荆河,650,1,62213000,潜江,0,1786413600000,5,5,29.91
1,0,111,东荆河,650,1,62213000,潜江,0,1786417200000,5,5,29.93
1,0,114,东荆河,650,1,62213000,潜江,0,1786424400000,5,5,29.97
1,0,116,东荆河,650,1,62213000,潜江,0,1786428000000,5,5,30
1,0,117,东荆河,650,1,62213000,潜江,0,1786431600000,5,5,30.01
1,0,119,东荆河,650,1,62213000,潜江,0,1786438800000,5,5,30.04
1,0,121,东荆河,650,1,62213000,潜江,0,1786442400000,5,5,30.06
1,0,121,东荆河,650,1,62213000,潜江,0,1786446000000,5,5,30.07
1,0,123,东荆河,650,1,62213000,潜江,0,1786453200000,5,5,30.1
1,0,123,东荆河,650,1,62213000,潜江,0,1786456800000,5,6,30.1
1,0,124,东荆河,650,1,62213000,潜江,0,1786460400000,5,5,30.11
1,0,124,东荆河,650,1,62213000,潜江,0,1786464000000,5,6,30.11
1,0,124,东荆河,650,1,62213000,潜江,0,1786467600000,5,6,30.11
1,0,125,东荆河,650,1,62213000,潜江,0,1786471200000,5,5,30.12
1,0,125,东荆河,650,1,62213000,潜江,0,1786474800000,5,6,30.12
1,0,125,东荆河,650,1,62213000,潜江,0,1786478400000,5,6,30.12
1,0,124,东荆河,650,1,62213000,潜江,0,1786482000000,5,4,30.11
1,0,124,东荆河,650,1,62213000,潜江,0,1786485600000,5,6,30.11
1,0,124,东荆河,650,1,62213000,潜江,0,1786489200000,5,6,30.11
1,0,124,东荆河,650,1,62213000,潜江,0,1786492800000,5,6,30.11
1,0,123,东荆河,650,1,62213000,潜江,0,1786503600000,5,6,30.1
1,0,124,东荆河,650,1,62213000,潜江,0,1786507200000,5,5,30.11
1,0,125,东荆河,650,1,62213000,潜江,0,1786514400000,5,5,30.12
1,0,129,东荆河,650,1,62213000,潜江,0,1786521600000,5,5,30.18
1,0,133,东荆河,650,1,62213000,潜江,0,1786525200000,5,5,30.23
1,0,138,东荆河,650,1,62213000,潜江,0,1786528800000,5,5,30.31
1,0,146,东荆河,650,1,62213000,潜江,0,1786532400000,5,5,30.42
1,0,184,东荆河,650,1,62213000,潜江,0,1786536000000,5,5,30.56
1,0,225,东荆河,650,1,62213000,潜江,0,1786543200000,5,5,31
1,0,248,东荆河,650,1,62213000,潜江,0,1786546800000,5,5,31.24
1,0,275,东荆河,650,1,62213000,潜江,0,1786550400000,5,5,31.5
1,0,307,东荆河,650,1,62213000,潜江,0,1786554000000,5,5,31.76
1,0,337,东荆河,650,1,62213000,潜江,0,1786557600000,5,5,32.01
1,0,367,东荆河,650,1,62213000,潜江,0,1786561200000,5,5,32.26
1,0,392,东荆河,650,1,62213000,潜江,0,1786564800000,5,5,32.47
1,0,415,东荆河,650,1,62213000,潜江,0,1786568400000,5,5,32.66
1,0,438,东荆河,650,1,62213000,潜江,0,1786572000000,5,5,32.85
1,0,467,东荆河,650,1,62213000,潜江,0,1786575600000,5,5,33.09
1,0,492,东荆河,650,1,62213000,潜江,0,1786579200000,5,5,33.3
1,0,839,东荆河,650,1,62213000,潜江,0,1786590000000,5,5,33.81
1,0,916,东荆河,650,1,62213000,潜江,0,1786597200000,5,5,34.12
1,0,953,东荆河,650,1,62213000,潜江,0,1786600800000,5,5,34.27
1,0,914,东荆河,650,1,62213000,潜江,0,1786608000000,5,5,34.56
1,0,940,东荆河,650,1,62213000,潜江,0,1786611600000,5,5,34.69
1,0,966,东荆河,650,1,62213000,潜江,0,1786615200000,5,5,34.82
1,0,991,东荆河,650,1,62213000,潜江,0,1786618800000,5,5,34.94
1,0,1020,东荆河,650,1,62213000,潜江,0,1786622400000,5,5,35.07
1,0,1060,东荆河,650,1,62213000,潜江,0,1786629600000,5,5,35.3
1,0,803,东荆河,650,1,62213000,潜江,0,1786633200000,5,5,35.38
1,0,815,东荆河,650,1,62213000,潜江,0,1786636800000,5,5,35.5
1,0,824,东荆河,650,1,62213000,潜江,0,1786640400000,5,5,35.6
1,0,835,东荆河,650,1,62213000,潜江,0,1786644000000,5,5,35.72
1,0,843,东荆河,650,1,62213000,潜江,0,1786647600000,5,5,35.81
1,0,854,东荆河,650,1,62213000,潜江,0,1786651200000,5,5,35.93
1,0,862,东荆河,650,1,62213000,潜江,0,1786654800000,5,5,36.02
1,0,869,东荆河,650,1,62213000,潜江,0,1786658400000,5,5,36.09
1,0,878,东荆河,650,1,62213000,潜江,0,1786662000000,5,5,36.19
1,0,886,东荆河,650,1,62213000,潜江,0,1786665600000,5,5,36.28
1,0,1310,东荆河,650,1,62213000,潜江,0,1786676400000,5,5,36.49
1,0,1340,东荆河,650,1,62213000,潜江,0,1786680000000,5,5,36.57
1,0,1380,东荆河,650,1,62213000,潜江,0,1786687200000,5,5,36.69
1,0,1400,东荆河,650,1,62213000,潜江,0,1786690800000,5,5,36.76
1,0,1450,东荆河,650,1,62213000,潜江,0,1786698000000,5,5,36.89
1,0,1460,东荆河,650,1,62213000,潜江,0,1786701600000,5,5,36.92
