oq,q,stcd,stnm,tm,wptn,z,rvnm
0,1910,60802700,彭水,1786197600000,5,215.71,乌江
0,1460,60802700,彭水,1786201200000,4,215.39,乌江
0,1100,60802700,彭水,1786204800000,4,215.04,乌江
0,1890,60802700,彭水,1786208400000,5,215.53,乌江
0,1620,60802700,彭水,1786212000000,4,215.47,乌江
0,717,60802700,彭水,1786215600000,4,214.6,乌江
0,460,60802700,彭水,1786219200000,4,213.91,乌江
0,436,60802700,彭水,1786222800000,4,213.76,乌江
0,466,60802700,彭水,1786226400000,4,213.66,乌江
0,509,60802700,彭水,1786230000000,5,213.67,乌江
0,369,60802700,彭水,1786237200000,4,213.36,乌江
0,560,60802700,彭水,1786244400000,5,213.49,乌江
0,630,60802700,彭水,1786248000000,5,213.56,乌江
0,466,60802700,彭水,1786251600000,4,213.49,乌江
0,848,60802700,彭水,1786255200000,5,213.84,乌江
0,1160,60802700,彭水,1786258800000,5,214.16,乌江
0,1420,60802700,彭水,1786262400000,5,214.62,乌江
0,1680,60802700,彭水,1786266000000,5,214.96,乌江
0,1610,60802700,彭水,1786269600000,5,215.09,乌江
0,1830,60802700,彭水,1786276800000,5,215.39,乌江
0,2050,60802700,彭水,1786280400000,5,215.7,乌江
0,1840,60802700,彭水,1786284000000,5,215.72,乌江
0,1620,60802700,彭水,1786287600000,4,215.65,乌江
0,1400,60802700,彭水,1786291200000,4,215.34,乌江
0,2020,60802700,彭水,1786294800000,5,215.69,乌江
0,1710,60802700,彭水,1786298400000,4,215.48,乌江
0,1230,60802700,彭水,1786302000000,4,214.94,乌江
0,926,60802700,彭水,1786305600000,4,214.35,乌江
0,885,60802700,彭水,1786309200000,4,214.12,乌江
0,536,60802700,彭水,1786312800000,4,213.61,乌江
0,513,60802700,彭水,1786316400000,4,213.4,乌江
0,906,60802700,彭水,1786327200000,5,212.93,乌江
0,1220,60802700,彭水,1786330800000,5,213.23,乌江
0,678,60802700,彭水,1786338000000,4,213.15,乌江
0,1030,60802700,彭水,1786345200000,5,213.8,乌江
0,1080,60802700,彭水,1786348800000,5,213.89,乌江
0,1080,60802700,彭水,1786356000000,4,214.14,乌江
0,885,60802700,彭水,1786359600000,4,214,乌江
0,1050,60802700,彭水,1786366800000,5,214.23,乌江
0,712,60802700,彭水,1786370400000,4,214.01,乌江
0,747,60802700,彭水,1786374000000,5,214.1,乌江
0,723,60802700,彭水,1786377600000,5,214.21,乌江
0,1110,60802700,彭水,1786381200000,5,214.61,乌江
0,582,60802700,彭水,1786384800000,4,214.19,乌江
0,502,60802700,彭水,1786388400000,4,214.03,乌江
0,406,60802700,彭水,1786392000000,4,213.89,乌江
0,419,60802700,彭水,1786395600000,5,214.04,乌江
0,432,60802700,彭水,1786399200000,5,214.14,乌江
0,374,60802700,彭水,1786410000000,5,214.26,乌江
0,389,60802700,彭水,1786417200000,5,214.34,乌江
0,364,60802700,彭水,1786420800000,5,214.37,乌江
0,606,60802700,彭水,1786424400000,5,214.59,乌江
0,727,60802700,彭水,1786428000000,5,214.64,乌江
0,1130,60802700,彭水,1786435200000,5,214.58,乌江
0,1450,60802700,彭水,1786438800000,5,214.76,乌江
0,1730,60802700,彭水,1786442400000,5,215,乌江
0,2080,60802700,彭水,1786449600000,5,215.69,乌江
0,1770,60802700,彭水,1786453200000,4,215.65,乌江
0,1620,60802700,彭水,1786456800000,4,215.59,乌江
0,1090,60802700,彭水,1786460400000,4,215.24,乌江
0,693,60802700,彭水,1786464000000,4,214.79,乌江
0,1050,60802700,彭水,1786467600000,4,214.72,乌江
0,714,60802700,彭水,1786471200000,4,214.28,乌江
0,720,60802700,彭水,1786474800000,5,214.34,乌江
0,743,60802700,彭水,1786478400000,5,214.49,乌江
