oq,q,stcd,stnm,tm,wptn,z,rvnm
0,2600,60603300,高场,1786197600000,4,276.59,岷江
0,2420,60603300,高场,1786201200000,4,276.45,岷江
0,2300,60603300,高场,1786204800000,4,276.35,岷江
0,2420,60603300,高场,1786208400000,5,276.45,岷江
0,2730,60603300,高场,1786212000000,5,276.69,岷江
0,2950,60603300,高场,1786215600000,5,276.85,岷江
0,3000,60603300,高场,1786219200000,5,276.89,岷江
0,3030,60603300,高场,1786222800000,5,276.91,岷江
0,3030,60603300,高场,1786226400000,6,276.91,岷江
0,3010,60603300,高场,1786230000000,4,276.9,岷江
0,3010,60603300,高场,1786237200000,5,276.9,岷江
0,3140,60603300,高场,1786244400000,5,276.99,岷江
0,3250,60603300,高场,1786248000000,5,277.07,岷江
0,3370,60603300,高场,1786251600000,5,277.15,岷江
0,3380,60603300,高场,1786255200000,5,277.16,岷江
0,3300,60603300,高场,1786258800000,4,277.1,岷江
0,3130,60603300,高场,1786262400000,4,276.98,岷江
0,2990,60603300,高场,1786266000000,4,276.88,岷江
0,2910,60603300,高场,1786269600000,4,276.82,岷江
0,2620,60603300,高场,1786276800000,4,276.61,岷江
0,2460,60603300,高场,1786280400000,4,276.48,岷江
0,2450,60603300,高场,1786284000000,4,276.47,岷江
0,2580,60603300,高场,1786287600000,5,276.57,岷江
0,2760,60603300,高场,1786291200000,5,276.71,岷江
0,2920,60603300,高场,1786294800000,5,276.83,岷江
0,3070,60603300,高场,1786298400000,5,276.94,岷江
0,3330,60603300,高场,1786302000000,5,277.12,岷江
0,3600,60603300,高场,1786305600000,5,277.31,岷江
0,3720,60603300,高场,1786309200000,5,277.39,岷江
0,3640,60603300,高场,1786312800000,4,277.33,岷江
