q,tm,wptn,z,stcd,stnm,www,rvnm
83.5,1786201200000,5,85.15,61909600,北河,2,汉江
89.3,1786204800000,5,85.18,61909600,北河,2,汉江
89.3,1786208400000,6,85.18,61909600,北河,2,汉江
89.3,1786212000000,6,85.18,61909600,北河,2,汉江
91.2,1786215600000,5,85.19,61909600,北河,2,汉江
91.2,1786219200000,6,85.19,61909600,北河,2,汉江
89.3,1786222800000,4,85.18,61909600,北河,2,汉江
78.0,1786226400000,4,85.12,61909600,北河,2,汉江
72.9,1786230000000,4,85.09,61909600,北河,2,汉江
37.4,1786240800000,4,84.84,61909600,北河,2,汉江
25.5,1786244400000,4,84.73,61909600,北河,2,汉江
14.7,1786251600000,4,84.62,61909600,北河,2,汉江
14.0,1786255200000,4,84.61,61909600,北河,2,汉江
22.2,1786258800000,5,84.7,61909600,北河,2,汉江
38.7,1786262400000,5,84.85,61909600,北河,2,汉江
64.7,1786266000000,5,85.04,61909600,北河,2,汉江
79.8,1786269600000,5,85.13,61909600,北河,2,汉江
87.2,1786273200000,5,85.17,61909600,北河,2,汉江
89.3,1786280400000,6,85.18,61909600,北河,2,汉江
89.3,1786284000000,6,85.18,61909600,北河,2,汉江
89.3,1786287600000,6,85.18,61909600,北河,2,汉江
91.2,1786291200000,5,85.19,61909600,北河,2,汉江
91.2,1786294800000,6,85.19,61909600,北河,2,汉江
91.2,1786298400000,6,85.19,61909600,北河,2,汉江
91.2,1786302000000,6,85.19,61909600,北河,2,汉江
91.2,1786305600000,6,85.19,61909600,北河,2,汉江
91.2,1786309200000,6,85.19,61909600,北河,2,汉江
91.2,1786312800000,6,85.19,61909600,北河,2,汉江
91.2,1786316400000,6,85.19,61909600,北河,2,汉江
91.2,1786320000000,6,85.19,61909600,北河,2,汉江
91.2,1786327200000,6,85.19,61909600,北河,2,汉江
91.2,1786334400000,6,85.19,61909600,北河,2,汉江
91.2,1786341600000,6,85.19,61909600,北河,2,汉江
91.2,1786348800000,6,85.19,61909600,北河,2,汉江
91.2,1786352400000,6,85.19,61909600,北河,2,汉江
91.2,1786359600000,6,85.19,61909600,北河,2,汉江
91.2,1786363200000,6,85.19,61909600,北河,2,汉江
91.3,1786370400000,6,85.19,61909600,北河,2,汉江
91.2,1786374000000,6,85.19,61909600,北河,2,汉江
91.2,1786377600000,6,85.19,61909600,北河,2,汉江
91.2,1786381200000,6,85.19,61909600,北河,2,汉江
91.3,1786384800000,6,85.19,61909600,北河,2,汉江
91.2,1786388400000,6,85.19,61909600,北河,2,汉江
91.2,1786392000000,6,85.19,61909600,北河,2,汉江
91.2,1786395600000,6,85.19,61909600,北河,2,汉江
91.2,1786399200000,6,85.19,61909600,北河,2,汉江
91.2,1786402800000,6,85.19,61909600,北河,2,汉江
93.0,1786413600000,5,85.2,61909600,北河,2,汉江
93.0,1786420800000,6,85.2,61909600,北河,2,汉江
94.9,1786424400000,5,85.21,61909600,北河,2,汉江
98.6,1786428000000,5,85.23,61909600,北河,2,汉江
98.6,1786431600000,6,85.23,61909600,北河,2,汉江
104.0,1786438800000,5,85.26,61909600,北河,2,汉江
110.0,1786442400000,5,85.29,61909600,北河,2,汉江
114.0,1786446000000,5,85.31,61909600,北河,2,汉江
135.0,1786453200000,5,85.41,61909600,北河,2,汉江
150.0,1786456800000,5,85.48,61909600,北河,2,汉江
167.0,1786460400000,5,85.56,61909600,北河,2,汉江
254.0,1786464000000,5,85.92,61909600,北河,2,汉江
