kind,oq,q,rvnm,sort,status,stcd,stnm,stype,tm,websiteid,wptn,z
1,0,0,汉江,580,1,61804151,大同,0,1786201200000,5,6,39.26
1,0,0,汉江,580,1,61804151,大同,0,1786204800000,5,6,39.26
1,0,0,汉江,580,1,61804151,大同,0,1786208400000,5,6,39.26
1,0,0,汉江,580,1,61804151,大同,0,1786212000000,5,6,39.26
1,0,0,汉江,580,1,61804151,大同,0,1786215600000,5,4,39.25
1,0,0,汉江,580,1,61804151,大同,0,1786219200000,5,6,39.25
1,0,0,汉江,580,1,61804151,大同,0,1786222800000,5,6,39.25
1,0,0,汉江,580,1,61804151,大同,0,1786226400000,5,6,39.25
1,0,0,汉江,580,1,61804151,大同,0,1786230000000,5,6,39.25
1,0,0,汉江,580,1,61804151,大同,0,1786240800000,5,5,39.26
1,0,0,汉江,580,1,61804151,大同,0,1786244400000,5,4,39.25
1,0,0,汉江,580,1,61804151,大同,0,1786251600000,5,6,39.25
1,0,0,汉江,580,1,61804151,大同,0,1786255200000,5,4,39.24
1,0,0,汉江,580,1,61804151,大同,0,1786258800000,5,6,39.24
1,0,0,汉江,580,1,61804151,大同,0,1786262400000,5,6,39.24
1,0,0,汉江,580,1,61804151,大同,0,1786266000000,5,5,39.25
1,0,0,汉江,580,1,61804151,大同,0,1786269600000,5,6,39.25
1,0,0,汉江,580,1,61804151,大同,0,1786273200000,5,6,39.25
1,0,0,汉江,580,1,61804151,大同,0,1786280400000,5,6,39.26
1,0,0,汉江,580,1,61804151,大同,0,1786284000000,5,6,39.26
1,0,0,汉江,580,1,61804151,大同,0,1786287600000,5,6,39.26
1,0,0,汉江,580,1,61804151,大同,0,1786291200000,5,5,39.27
1,0,0,汉江,580,1,61804151,大同,0,1786294800000,5,6,39.27
1,0,0,汉江,580,1,61804151,大同,0,1786298400000,5,5,39.28
1,0,0,汉江,580,1,61804151,大同,0,1786302000000,5,6,39.28
1,0,0,汉江,580,1,61804151,大同,0,1786305600000,5,4,39.27
1,0,0,汉江,580,1,61804151,大同,0,1786309200000,5,5,39.28
1,0,0,汉江,580,1,61804151,大同,0,1786312800000,5,6,39.28
1,0,0,汉江,580,1,61804151,大同,0,1786316400000,5,6,39.28
1,0,0,汉江,580,1,61804151,大同,0,1786320000000,5,6,39.28
1,0,0,汉江,580,1,61804151,大同,0,1786327200000,5,6,39.28
1,0,0,汉江,580,1,61804151,大同,0,1786334400000,5,6,39.28
