q,tm,wptn,z,stcd,stnm,www,rvnm
65.1,1786201200000,6,74.39,62011800,新店铺(三),2,汉江
65.1,1786204800000,6,74.39,62011800,新店铺(三),2,汉江
65.1,1786208400000,6,74.39,62011800,新店铺(三),2,汉江
63.3,1786212000000,4,74.38,62011800,新店铺(三),2,汉江
61.6,1786215600000,4,74.37,62011800,新店铺(三),2,汉江
61.6,1786219200000,6,74.37,62011800,新店铺(三),2,汉江
59.9,1786222800000,4,74.36,62011800,新店铺(三),2,汉江
58.3,1786226400000,4,74.35,62011800,新店铺(三),2,汉江
102.0,1786230000000,5,74.56,62011800,新店铺(三),2,汉江
56.8,1786240800000,4,74.34,62011800,新店铺(三),2,汉江
56.8,1786244400000,6,74.34,62011800,新店铺(三),2,汉江
56.8,1786251600000,6,74.34,62011800,新店铺(三),2,汉江
56.8,1786255200000,6,74.34,62011800,新店铺(三),2,汉江
56.8,1786258800000,6,74.34,62011800,新店铺(三),2,汉江
55.3,1786262400000,4,74.33,62011800,新店铺(三),2,汉江
56.8,1786266000000,5,74.34,62011800,新店铺(三),2,汉江
56.8,1786269600000,6,74.34,62011800,新店铺(三),2,汉江
56.8,1786273200000,6,74.34,62011800,新店铺(三),2,汉江
59.9,1786280400000,5,74.36,62011800,新店铺(三),2,汉江
61.6,1786284000000,5,74.37,62011800,新店铺(三),2,汉江
63.3,1786287600000,5,74.38,62011800,新店铺(三),2,汉江
66.9,1786291200000,5,74.4,62011800,新店铺(三),2,汉江
65.1,1786294800000,4,74.39,62011800,新店铺(三),2,汉江
68.8,1786298400000,5,74.41,62011800,新店铺(三),2,汉江
71.0,1786302000000,5,74.42,62011800,新店铺(三),2,汉江
72.9,1786305600000,5,74.43,62011800,新店铺(三),2,汉江
72.9,1786309200000,6,74.43,62011800,新店铺(三),2,汉江
74.9,1786312800000,5,74.44,62011800,新店铺(三),2,汉江
76.9,1786316400000,5,74.45,62011800,新店铺(三),2,汉江
76.9,1786320000000,6,74.45,62011800,新店铺(三),2,汉江
78.9,1786327200000,5,74.46,62011800,新店铺(三),2,汉江
78.9,1786334400000,6,74.46,62011800,新店铺(三),2,汉江
97.0,1786341600000,5,74.54,62011800,新店铺(三),2,汉江
129.0,1786348800000,5,74.66,62011800,新店铺(三),2,汉江
135.0,1786352400000,5,74.68,62011800,新店铺(三),2,汉江
126.0,1786359600000,6,74.65,62011800,新店铺(三),2,汉江
120.0,1786363200000,4,74.63,62011800,新店铺(三),2,汉江
105.0,1786370400000,4,74.57,62011800,新店铺(三),2,汉江
102.0,1786374000000,4,74.56,62011800,新店铺(三),2,汉江
99.5,1786377600000,4,74.55,62011800,新店铺(三),2,汉江
