q,tm,wptn,z,stcd,stnm,www,rvnm
104.0,1786201200000,4,173.3,62008750,淅川,1,汉江
101.0,1786204800000,4,173.29,62008750,淅川,1,汉江
98.6,1786208400000,4,173.28,62008750,淅川,1,汉江
93.7,1786212000000,4,173.26,62008750,淅川,1,汉江
96.1,1786215600000,5,173.27,62008750,淅川,1,汉江
91.3,1786219200000,4,173.25,62008750,淅川,1,汉江
91.3,1786222800000,6,173.25,62008750,淅川,1,汉江
91.3,1786226400000,6,173.25,62008750,淅川,1,汉江
93.7,1786230000000,5,173.26,62008750,淅川,1,汉江
98.6,1786240800000,6,173.28,62008750,淅川,1,汉江
101.0,1786244400000,5,173.29,62008750,淅川,1,汉江
115.0,1786251600000,5,173.34,62008750,淅川,1,汉江
112.0,1786255200000,4,173.33,62008750,淅川,1,汉江
112.0,1786258800000,6,173.33,62008750,淅川,1,汉江
115.0,1786262400000,5,173.34,62008750,淅川,1,汉江
112.0,1786266000000,4,173.33,62008750,淅川,1,汉江
109.0,1786269600000,4,173.32,62008750,淅川,1,汉江
109.0,1786273200000,6,173.32,62008750,淅川,1,汉江
104.0,1786280400000,4,173.3,62008750,淅川,1,汉江
104.0,1786284000000,6,173.3,62008750,淅川,1,汉江
167.0,1786287600000,5,173.51,62008750,淅川,1,汉江
149.0,1786291200000,4,173.45,62008750,淅川,1,汉江
139.0,1786294800000,4,173.42,62008750,淅川,1,汉江
139.0,1786298400000,6,173.42,62008750,淅川,1,汉江
136.0,1786302000000,4,173.41,62008750,淅川,1,汉江
136.0,1786305600000,6,173.41,62008750,淅川,1,汉江
146.0,1786309200000,5,173.44,62008750,淅川,1,汉江
171.0,1786312800000,5,173.52,62008750,淅川,1,汉江
206.0,1786316400000,5,173.63,62008750,淅川,1,汉江
230.0,1786320000000,5,173.7,62008750,淅川,1,汉江
262.0,1786327200000,4,173.79,62008750,淅川,1,汉江
251.0,1786334400000,4,173.76,62008750,淅川,1,汉江
251.0,1786341600000,6,173.76,62008750,淅川,1,汉江
