tm,wptn,z,stcd,stnm,www,rvnm
1786201200000,6,64.61,61803400,襄阳,2,汉江
1786204800000,5,64.62,61803400,襄阳,2,汉江
1786208400000,6,64.62,61803400,襄阳,2,汉江
1786212000000,6,64.62,61803400,襄阳,2,汉江
1786215600000,6,64.62,61803400,襄阳,2,汉江
1786219200000,5,64.63,61803400,襄阳,2,汉江
1786222800000,6,64.63,61803400,襄阳,2,汉江
1786226400000,5,64.64,61803400,襄阳,2,汉江
1786230000000,5,64.65,61803400,襄阳,2,汉江
1786240800000,4,64.66,61803400,襄阳,2,汉江
1786244400000,6,64.66,61803400,襄阳,2,汉江
1786251600000,6,64.66,61803400,襄阳,2,汉江
1786255200000,6,64.66,61803400,襄阳,2,汉江
1786258800000,4,64.64,61803400,襄阳,2,汉江
1786262400000,4,64.61,61803400,襄阳,2,汉江
1786266000000,4,64.59,61803400,襄阳,2,汉江
1786269600000,4,64.58,61803400,襄阳,2,汉江
1786273200000,4,64.56,61803400,襄阳,2,汉江
1786280400000,6,64.56,61803400,襄阳,2,汉江
1786284000000,6,64.56,61803400,襄阳,2,汉江
1786287600000,5,64.57,61803400,襄阳,2,汉江
1786291200000,5,64.58,61803400,襄阳,2,汉江
1786294800000,6,64.58,61803400,襄阳,2,汉江
1786298400000,5,64.59,61803400,襄阳,2,汉江
1786302000000,5,64.6,61803400,襄阳,2,汉江
1786305600000,5,64.61,61803400,襄阳,2,汉江
1786309200000,6,64.61,61803400,襄阳,2,汉江
1786312800000,5,64.63,61803400,襄阳,2,汉江
1786316400000,5,64.64,61803400,襄阳,2,汉江
1786320000000,5,64.66,61803400,襄阳,2,汉江
1786327200000,5,64.68,61803400,襄阳,2,汉江
1786334400000,5,64.7,61803400,襄阳,2,汉江
1786341600000,4,64.7,61803400,襄阳,2,汉江
1786348800000,4,64.67,61803400,襄阳,2,汉江
1786352400000,4,64.63,61803400,襄阳,2,汉江
1786359600000,6,64.61,61803400,襄阳,2,汉江
1786363200000,6,64.61,61803400,襄阳,2,汉江
1786370400000,4,64.6,61803400,襄阳,2,汉江
1786374000000,5,64.61,61803400,襄阳,2,汉江
1786377600000,6,64.61,61803400,襄阳,2,汉江
1786381200000,6,64.61,61803400,襄阳,2,汉江
1786384800000,6,64.61,61803400,襄阳,2,汉江
1786388400000,6,64.61,61803400,襄阳,2,汉江
1786392000000,6,64.61,61803400,襄阳,2,汉江
1786395600000,6,64.61,61803400,襄阳,2,汉江
1786399200000,6,64.61,61803400,襄阳,2,汉江
1786402800000,6,64.61,61803400,襄阳,2,汉江
1786413600000,5,64.69,61803400,襄阳,2,汉江
1786420800000,5,64.76,61803400,襄阳,2,汉江
1786424400000,5,64.78,61803400,襄阳,2,汉江
1786428000000,5,64.82,61803400,襄阳,2,汉江
1786431600000,5,64.84,61803400,襄阳,2,汉江
1786438800000,6,64.84,61803400,襄阳,2,汉江
1786442400000,4,64.83,61803400,襄阳,2,汉江
1786446000000,6,64.83,61803400,襄阳,2,汉江
1786453200000,6,64.85,61803400,襄阳,2,汉江
