q,tm,wptn,z,stcd,stnm,www,rvnm
235.0,1786201200000,4,194.75,61813200,长沙坝(二),1,汉江
169.0,1786204800000,4,194.6,61813200,长沙坝(二),1,汉江
166.0,1786208400000,4,194.59,61813200,长沙坝(二),1,汉江
166.0,1786212000000,6,194.59,61813200,长沙坝(二),1,汉江
162.0,1786215600000,4,194.58,61813200,长沙坝(二),1,汉江
162.0,1786219200000,6,194.58,61813200,长沙坝(二),1,汉江
162.0,1786222800000,6,194.58,61813200,长沙坝(二),1,汉江
159.0,1786226400000,4,194.57,61813200,长沙坝(二),1,汉江
159.0,1786230000000,6,194.57,61813200,长沙坝(二),1,汉江
155.0,1786240800000,4,194.56,61813200,长沙坝(二),1,汉江
155.0,1786244400000,6,194.56,61813200,长沙坝(二),1,汉江
155.0,1786251600000,6,194.56,61813200,长沙坝(二),1,汉江
152.0,1786258800000,4,194.55,61813200,长沙坝(二),1,汉江
149.0,1786262400000,4,194.54,61813200,长沙坝(二),1,汉江
140.0,1786266000000,4,194.51,61813200,长沙坝(二),1,汉江
132.0,1786269600000,4,194.48,61813200,长沙坝(二),1,汉江
125.0,1786273200000,4,194.45,61813200,长沙坝(二),1,汉江
113.0,1786280400000,4,194.39,61813200,长沙坝(二),1,汉江
113.0,1786284000000,6,194.39,61813200,长沙坝(二),1,汉江
112.0,1786287600000,4,194.38,61813200,长沙坝(二),1,汉江
112.0,1786291200000,6,194.38,61813200,长沙坝(二),1,汉江
115.0,1786294800000,5,194.4,61813200,长沙坝(二),1,汉江
119.0,1786298400000,5,194.42,61813200,长沙坝(二),1,汉江
123.0,1786302000000,5,194.44,61813200,长沙坝(二),1,汉江
127.0,1786305600000,5,194.46,61813200,长沙坝(二),1,汉江
135.0,1786309200000,5,194.49,61813200,长沙坝(二),1,汉江
140.0,1786312800000,5,194.51,61813200,长沙坝(二),1,汉江
149.0,1786316400000,5,194.54,61813200,长沙坝(二),1,汉江
155.0,1786320000000,5,194.56,61813200,长沙坝(二),1,汉江
132.0,1786327200000,4,194.48,61813200,长沙坝(二),1,汉江
115.0,1786334400000,4,194.4,61813200,长沙坝(二),1,汉江
113.0,1786341600000,6,194.39,61813200,长沙坝(二),1,汉江
117.0,1786348800000,5,194.41,61813200,长沙坝(二),1,汉江
121.0,1786352400000,5,194.43,61813200,长沙坝(二),1,汉江
130.0,1786359600000,5,194.47,61813200,长沙坝(二),1,汉江
132.0,1786363200000,5,194.48,61813200,长沙坝(二),1,汉江
140.0,1786370400000,5,194.51,61813200,长沙坝(二),1,汉江
143.0,1786374000000,5,194.52,61813200,长沙坝(二),1,汉江
146.0,1786377600000,5,194.53,61813200,长沙坝(二),1,汉江
149.0,1786381200000,5,194.54,61813200,长沙坝(二),1,汉江
152.0,1786384800000,5,194.55,61813200,长沙坝(二),1,汉江
152.0,1786388400000,6,194.55,61813200,长沙坝(二),1,汉江
155.0,1786392000000,5,194.56,61813200,长沙坝(二),1,汉江
159.0,1786395600000,5,194.57,61813200,长沙坝(二),1,汉江
155.0,1786399200000,4,194.56,61813200,长沙坝(二),1,汉江
155.0,1786402800000,6,194.56,61813200,长沙坝(二),1,汉江
135.0,1786413600000,4,194.49,61813200,长沙坝(二),1,汉江
117.0,1786420800000,4,194.41,61813200,长沙坝(二),1,汉江
110.0,1786424400000,4,194.37,61813200,长沙坝(二),1,汉江
106.0,1786428000000,4,194.34,61813200,长沙坝(二),1,汉江
106.0,1786431600000,6,194.34,61813200,长沙坝(二),1,汉江
108.0,1786438800000,5,194.35,61813200,长沙坝(二),1,汉江
109.0,1786442400000,5,194.36,61813200,长沙坝(二),1,汉江
110.0,1786446000000,5,194.37,61813200,长沙坝(二),1,汉江
112.0,1786453200000,5,194.38,61813200,长沙坝(二),1,汉江
112.0,1786456800000,6,194.38,61813200,长沙坝(二),1,汉江
113.0,1786460400000,5,194.39,61813200,长沙坝(二),1,汉江
113.0,1786464000000,6,194.39,61813200,长沙坝(二),1,汉江
115.0,1786467600000,5,194.4,61813200,长沙坝(二),1,汉江
117.0,1786471200000,5,194.41,61813200,长沙坝(二),1,汉江
117.0,1786474800000,6,194.41,61813200,长沙坝(二),1,汉江
119.0,1786478400000,5,194.42,61813200,长沙坝(二),1,汉江
119.0,1786482000000,6,194.42,61813200,长沙坝(二),1,汉江
121.0,1786485600000,5,194.43,61813200,长沙坝(二),1,汉江
121.0,1786489200000,6,194.43,61813200,长沙坝(二),1,汉江
119.0,1786492800000,4,194.42,61813200,长沙坝(二),1,汉江
98.6,1786503600000,4,194.28,61813200,长沙坝(二),1,汉江
86.4,1786507200000,4,194.2,61813200,长沙坝(二),1,汉江
71.1,1786514400000,4,194.06,61813200,长沙坝(二),1,汉江
66.2,1786521600000,4,193.99,61813200,长沙坝(二),1,汉江
68.7,1786525200000,5,194.03,61813200,长沙坝(二),1,汉江
74.7,1786528800000,5,194.1,61813200,长沙坝(二),1,汉江
82.5,1786532400000,5,194.17,61813200,长沙坝(二),1,汉江
92.2,1786536000000,5,194.24,61813200,长沙坝(二),1,汉江
108.0,1786543200000,5,194.35,61813200,长沙坝(二),1,汉江
113.0,1786546800000,5,194.39,61813200,长沙坝(二),1,汉江
113.0,1786550400000,6,194.39,61813200,长沙坝(二),1,汉江
115.0,1786554000000,5,194.4,61813200,长沙坝(二),1,汉江
115.0,1786557600000,6,194.4,61813200,长沙坝(二),1,汉江
117.0,1786561200000,5,194.41,61813200,长沙坝(二),1,汉江
119.0,1786564800000,5,194.42,61813200,长沙坝(二),1,汉江
121.0,1786568400000,5,194.43,61813200,长沙坝(二),1,汉江
121.0,1786572000000,6,194.43,61813200,长沙坝(二),1,汉江
123.0,1786575600000,5,194.44,61813200,长沙坝(二),1,汉江
127.0,1786579200000,5,194.46,61813200,长沙坝(二),1,汉江
155.0,1786586400000,5,194.56,61813200,长沙坝(二),1,汉江
155.0,1786597200000,5,194.56,61813200,长沙坝(二),1,汉江
155.0,1786600800000,6,194.56,61813200,长沙坝(二),1,汉江
155.0,1786608000000,6,194.56,61813200,长沙坝(二),1,汉江
155.0,1786611600000,6,194.56,61813200,长沙坝(二),1,汉江
152.0,1786615200000,4,194.55,61813200,长沙坝(二),1,汉江
75.7,1786618800000,4,194.11,61813200,长沙坝(二),1,汉江
63.1,1786622400000,4,193.92,61813200,长沙坝(二),1,汉江
68.4,1786629600000,4,193.59,61813200,长沙坝(二),1,汉江
67.3,1786633200000,4,193.56,61813200,长沙坝(二),1,汉江
62.9,1786640400000,5,193.91,61813200,长沙坝(二),1,汉江
119.0,1786644000000,5,194.42,61813200,长沙坝(二),1,汉江
135.0,1786647600000,5,194.49,61813200,长沙坝(二),1,汉江
152.0,1786651200000,5,194.55,61813200,长沙坝(二),1,汉江
149.0,1786654800000,4,194.54,61813200,长沙坝(二),1,汉江
149.0,1786658400000,6,194.54,61813200,长沙坝(二),1,汉江
149.0,1786662000000,6,194.54,61813200,长沙坝(二),1,汉江
