kind,oq,q,rvnm,sort,status,stcd,stnm,stype,tm,websiteid,wptn,z
1,0,0,沅江,240,1,61506600,周文庙,0,1786201200000,5,4,30.71
1,0,0,沅江,240,1,61506600,周文庙,0,1786204800000,5,5,30.72
1,0,0,沅江,240,1,61506600,周文庙,0,1786208400000,5,6,30.72
1,0,0,沅江,240,1,61506600,周文庙,0,1786212000000,5,5,30.73
1,0,0,沅江,240,1,61506600,周文庙,0,1786215600000,5,4,30.7
1,0,0,沅江,240,1,61506600,周文庙,0,1786219200000,5,6,30.7
1,0,0,沅江,240,1,61506600,周文庙,0,1786222800000,5,6,30.7
1,0,0,沅江,240,1,61506600,周文庙,0,1786226400000,5,5,30.71
1,0,0,沅江,240,1,61506600,周文庙,0,1786230000000,5,6,30.71
1,0,0,沅江,240,1,61506600,周文庙,0,1786240800000,5,6,30.73
1,0,0,沅江,240,1,61506600,周文庙,0,1786244400000,5,6,30.73
1,0,0,沅江,240,1,61506600,周文庙,0,1786251600000,5,4,30.71
1,0,0,沅江,240,1,61506600,周文庙,0,1786255200000,5,4,30.69
1,0,0,沅江,240,1,61506600,周文庙,0,1786258800000,5,4,30.68
1,0,0,沅江,240,1,61506600,周文庙,0,1786262400000,5,4,30.67
1,0,0,沅江,240,1,61506600,周文庙,0,1786266000000,5,6,30.67
1,0,0,沅江,240,1,61506600,周文庙,0,1786269600000,5,6,30.67
1,0,0,沅江,240,1,61506600,周文庙,0,1786273200000,5,4,30.66
1,0,0,沅江,240,1,61506600,周文庙,0,1786280400000,5,4,30.6
1,0,0,沅江,240,1,61506600,周文庙,0,1786284000000,5,4,30.56
1,0,0,沅江,240,1,61506600,周文庙,0,1786287600000,5,4,30.54
1,0,0,沅江,240,1,61506600,周文庙,0,1786291200000,5,4,30.53
1,0,0,沅江,240,1,61506600,周文庙,0,1786294800000,5,4,30.52
1,0,0,沅江,240,1,61506600,周文庙,0,1786298400000,5,6,30.52
1,0,0,沅江,240,1,61506600,周文庙,0,1786302000000,5,5,30.53
1,0,0,沅江,240,1,61506600,周文庙,0,1786305600000,5,5,30.54
1,0,0,沅江,240,1,61506600,周文庙,0,1786309200000,5,6,30.54
1,0,0,沅江,240,1,61506600,周文庙,0,1786312800000,5,5,30.56
1,0,0,沅江,240,1,61506600,周文庙,0,1786316400000,5,6,30.56
1,0,0,沅江,240,1,61506600,周文庙,0,1786320000000,5,4,30.54
1,0,0,沅江,240,1,61506600,周文庙,0,1786327200000,5,4,30.48
1,0,0,沅江,240,1,61506600,周文庙,0,1786334400000,5,4,30.42
1,0,0,沅江,240,1,61506600,周文庙,0,1786341600000,5,4,30.35
1,0,0,沅江,240,1,61506600,周文庙,0,1786348800000,5,4,30.29
1,0,0,沅江,240,1,61506600,周文庙,0,1786352400000,5,4,30.26
1,0,0,沅江,240,1,61506600,周文庙,0,1786359600000,5,4,30.23
1,0,0,沅江,240,1,61506600,周文庙,0,1786363200000,5,6,30.23
1,0,0,沅江,240,1,61506600,周文庙,0,1786366800000,5,4,30.22
1,0,0,沅江,240,1,61506600,周文庙,0,1786374000000,5,4,30.2
1,0,0,沅江,240,1,61506600,周文庙,0,1786377600000,5,6,30.2
1,0,0,沅江,240,1,61506600,周文庙,0,1786381200000,5,6,30.2
1,0,0,沅江,240,1,61506600,周文庙,0,1786384800000,5,5,30.22
1,0,0,沅江,240,1,61506600,周文庙,0,1786388400000,5,5,30.23
1,0,0,沅江,240,1,61506600,周文庙,0,1786392000000,5,5,30.25
1,0,0,沅江,240,1,61506600,周文庙,0,1786395600000,5,5,30.27
1,0,0,沅江,240,1,61506600,周文庙,0,1786399200000,5,5,30.29
1,0,0,沅江,240,1,61506600,周文庙,0,1786402800000,5,5,30.3
1,0,0,沅江,240,1,61506600,周文庙,0,1786413600000,5,6,30.3
1,0,0,沅江,240,1,61506600,周文庙,0,1786417200000,5,4,30.29
1,0,0,沅江,240,1,61506600,周文庙,0,1786424400000,5,6,30.29
1,0,0,沅江,240,1,61506600,周文庙,0,1786428000000,5,4,30.28
1,0,0,沅江,240,1,61506600,周文庙,0,1786431600000,5,4,30.27
1,0,0,沅江,240,1,61506600,周文庙,0,1786438800000,5,6,30.27
1,0,0,沅江,240,1,61506600,周文庙,0,1786442400000,5,6,30.27
1,0,0,沅江,240,1,61506600,周文庙,0,1786446000000,5,4,30.25
1,0,0,沅江,240,1,61506600,周文庙,0,1786453200000,5,4,30.23
1,0,0,沅江,240,1,61506600,周文庙,0,1786456800000,5,4,30.2
1,0,0,沅江,240,1,61506600,周文庙,0,1786460400000,5,4,30.19
1,0,0,沅江,240,1,61506600,周文庙,0,1786464000000,5,4,30.18
1,0,0,沅江,240,1,61506600,周文庙,0,1786467600000,5,5,30.19
