kind,oq,q,rvnm,sort,status,stcd,stnm,stype,tm,websiteid,wptn,z
1,0,0,沅江,230,1,61506500,牛鼻滩,0,1786201200000,5,6,31.5
1,0,0,沅江,230,1,61506500,牛鼻滩,0,1786204800000,5,5,31.52
1,0,0,沅江,230,1,61506500,牛鼻滩,0,1786208400000,5,5,31.54
1,0,0,沅江,230,1,61506500,牛鼻滩,0,1786212000000,5,6,31.54
1,0,0,沅江,230,1,61506500,牛鼻滩,0,1786215600000,5,6,31.54
1,0,0,沅江,230,1,61506500,牛鼻滩,0,1786219200000,5,5,31.55
1,0,0,沅江,230,1,61506500,牛鼻滩,0,1786222800000,5,6,31.55
1,0,0,沅江,230,1,61506500,牛鼻滩,0,1786226400000,5,5,31.59
1,0,0,沅江,230,1,61506500,牛鼻滩,0,1786230000000,5,5,31.6
1,0,0,沅江,230,1,61506500,牛鼻滩,0,1786240800000,5,4,31.6
1,0,0,沅江,230,1,61506500,牛鼻滩,0,1786244400000,5,4,31.57
1,0,0,沅江,230,1,61506500,牛鼻滩,0,1786251600000,5,4,31.5
1,0,0,沅江,230,1,61506500,牛鼻滩,0,1786255200000,5,4,31.48
1,0,0,沅江,230,1,61506500,牛鼻滩,0,1786258800000,5,6,31.48
1,0,0,沅江,230,1,61506500,牛鼻滩,0,1786262400000,5,5,31.51
1,0,0,沅江,230,1,61506500,牛鼻滩,0,1786266000000,5,6,31.51
1,0,0,沅江,230,1,61506500,牛鼻滩,0,1786269600000,5,4,31.48
1,0,0,沅江,230,1,61506500,牛鼻滩,0,1786273200000,5,4,31.42
1,0,0,沅江,230,1,61506500,牛鼻滩,0,1786280400000,5,4,31.3
1,0,0,沅江,230,1,61506500,牛鼻滩,0,1786284000000,5,6,31.3
1,0,0,沅江,230,1,61506500,牛鼻滩,0,1786287600000,5,4,31.29
1,0,0,沅江,230,1,61506500,牛鼻滩,0,1786291200000,5,6,31.29
1,0,0,沅江,230,1,61506500,牛鼻滩,0,1786294800000,5,5,31.31
1,0,0,沅江,230,1,61506500,牛鼻滩,0,1786298400000,5,5,31.34
1,0,0,沅江,230,1,61506500,牛鼻滩,0,1786302000000,5,5,31.37
1,0,0,沅江,230,1,61506500,牛鼻滩,0,1786305600000,5,5,31.41
1,0,0,沅江,230,1,61506500,牛鼻滩,0,1786309200000,5,4,31.4
1,0,0,沅江,230,1,61506500,牛鼻滩,0,1786312800000,5,4,31.39
1,0,0,沅江,230,1,61506500,牛鼻滩,0,1786316400000,5,4,31.33
1,0,0,沅江,230,1,61506500,牛鼻滩,0,1786320000000,5,4,31.27
1,0,0,沅江,230,1,61506500,牛鼻滩,0,1786327200000,5,4,31.16
1,0,0,沅江,230,1,61506500,牛鼻滩,0,1786334400000,5,4,31.06
1,0,0,沅江,230,1,61506500,牛鼻滩,0,1786341600000,5,4,30.97
1,0,0,沅江,230,1,61506500,牛鼻滩,0,1786348800000,5,5,30.95
1,0,0,沅江,230,1,61506500,牛鼻滩,0,1786352400000,5,6,30.95
1,0,0,沅江,230,1,61506500,牛鼻滩,0,1786359600000,5,4,30.95
1,0,0,沅江,230,1,61506500,牛鼻滩,0,1786363200000,5,4,30.94
1,0,0,沅江,230,1,61506500,牛鼻滩,0,1786366800000,5,5,30.97
1,0,0,沅江,230,1,61506500,牛鼻滩,0,1786374000000,5,5,30.99
1,0,0,沅江,230,1,61506500,牛鼻滩,0,1786377600000,5,5,31.03
