kind,oq,q,rvnm,sort,status,stcd,stnm,stype,tm,websiteid,wptn,z
1,0,7790,洞庭湖,410,1,61512000,城陵矶(七),0,1786255200000,5,6,26.97
1,0,7780,洞庭湖,410,1,61512000,城陵矶(七),0,1786262400000,5,4,26.93
1,0,10100,洞庭湖,410,1,61512000,城陵矶(七),0,1786366800000,5,4,26.8
1,0,10100,洞庭湖,410,1,61512000,城陵矶(七),0,1786392000000,5,4,26.79
1,0,9950,洞庭湖,410,1,61512000,城陵矶(七),0,1786417200000,5,4,26.74
1,0,9940,洞庭湖,410,1,61512000,城陵矶(七),0,1786446000000,5,4,26.7
1,0,7870,洞庭湖,410,1,61512000,城陵矶(七),0,1786762800000,5,5,26.39
1,0,7700,洞庭湖,410,1,61512000,城陵矶(七),0,1787036400000,5,4,26.05
1,0,7690,洞庭湖,410,1,61512000,城陵矶(七),0,1787068800000,5,4,25.98
1,0,7670,洞庭湖,410,1,61512000,城陵矶(七),0,1787137200000,5,6,25.88
1,0,7060,洞庭湖,410,1,61512000,城陵矶(七),0,1787464800000,5,5,25.88
