kind,oq,q,rvnm,sort,status,stcd,stnm,stype,tm,websiteid,wptn,z
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786201200000,5,4,28.26
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786204800000,5,6,28.26
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786208400000,5,4,28.25
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786212000000,5,6,28.25
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786215600000,5,4,28.23
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786219200000,5,6,28.23
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786222800000,5,4,28.22
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786226400000,5,4,28.21
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786230000000,5,4,28.19
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786240800000,5,4,28.15
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786244400000,5,6,28.15
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786251600000,5,4,28.12
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786255200000,5,6,28.12
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786258800000,5,4,28.1
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786262400000,5,4,28.08
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786266000000,5,4,28.07
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786269600000,5,6,28.07
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786273200000,5,4,28.04
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786280400000,5,4,28.02
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786284000000,5,4,28
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786287600000,5,4,27.99
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786291200000,5,4,27.98
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786294800000,5,4,27.97
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786298400000,5,4,27.96
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786302000000,5,4,27.94
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786305600000,5,4,27.93
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786309200000,5,4,27.92
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786312800000,5,4,27.91
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786316400000,5,4,27.9
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786320000000,5,4,27.89
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786327200000,5,4,27.86
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786334400000,5,4,27.84
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786341600000,5,4,27.82
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786348800000,5,6,27.81
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786352400000,5,4,27.79
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786359600000,5,6,27.79
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786363200000,5,4,27.78
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786366800000,5,4,27.77
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786374000000,5,4,27.75
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786377600000,5,5,27.76
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786381200000,5,4,27.74
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786384800000,5,4,27.73
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786388400000,5,4,27.72
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786392000000,5,4,27.71
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786395600000,5,4,27.7
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786399200000,5,4,27.69
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786402800000,5,6,27.69
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786413600000,5,5,27.69
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786417200000,5,4,27.68
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786424400000,5,6,27.66
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786428000000,5,6,27.66
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786431600000,5,4,27.65
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786438800000,5,4,27.63
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786442400000,5,4,27.62
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786446000000,5,4,27.61
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786453200000,5,4,27.59
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786456800000,5,4,27.58
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786460400000,5,4,27.57
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786464000000,5,4,27.56
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786467600000,5,6,27.56
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786471200000,5,4,27.54
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786474800000,5,6,27.54
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786478400000,5,6,27.54
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786482000000,5,4,27.53
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786485600000,5,5,27.54
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786489200000,5,6,27.54
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786492800000,5,6,27.54
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786503600000,5,6,27.54
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786507200000,5,4,27.53
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786514400000,5,4,27.53
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786521600000,5,6,27.53
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786525200000,5,4,27.52
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786528800000,5,4,27.5
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786532400000,5,4,27.49
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786536000000,5,4,27.48
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786543200000,5,6,27.48
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786546800000,5,6,27.48
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786550400000,5,4,27.47
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786554000000,5,6,27.47
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786557600000,5,4,27.46
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786561200000,5,6,27.46
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786564800000,5,6,27.46
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786568400000,5,6,27.46
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786572000000,5,4,27.45
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786575600000,5,6,27.45
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786579200000,5,6,27.45
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786590000000,5,6,27.44
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786597200000,5,5,27.47
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786600800000,5,5,27.49
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786608000000,5,5,27.54
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786611600000,5,5,27.56
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786615200000,5,5,27.58
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786618800000,5,5,27.59
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786622400000,5,5,27.62
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786629600000,5,5,27.65
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786633200000,5,5,27.66
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786636800000,5,5,27.67
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786640400000,5,6,27.67
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786644000000,5,5,27.68
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786647600000,5,6,27.68
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786651200000,5,6,27.68
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786654800000,5,6,27.68
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786658400000,5,5,27.69
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786662000000,5,6,27.69
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786665600000,5,5,27.7
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786676400000,5,6,27.7
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786680000000,5,6,27.7
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786687200000,5,6,27.7
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786690800000,5,5,27.71
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786698000000,5,5,27.72
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786701600000,5,4,27.71
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786705200000,5,5,27.72
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786708800000,5,4,27.7
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786712400000,5,6,27.7
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786719600000,5,5,27.71
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786723200000,5,6,27.71
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786726800000,5,5,27.72
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786730400000,5,6,27.72
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786734000000,5,6,27.72
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786737600000,5,6,27.72
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786741200000,5,6,27.72
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786744800000,5,6,27.72
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786748400000,5,6,27.72
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786755600000,5,6,27.72
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786762800000,5,6,27.72
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786766400000,5,6,27.72
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786770000000,5,6,27.72
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786773600000,5,6,27.72
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786777200000,5,4,27.71
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786780800000,5,5,27.72
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786784400000,5,4,27.71
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786788000000,5,6,27.71
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786791600000,5,6,27.71
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786795200000,5,6,27.71
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786798800000,5,6,27.71
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786802400000,5,6,27.71
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786806000000,5,6,27.71
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786809600000,5,6,27.71
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786813200000,5,6,27.71
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786816800000,5,4,27.7
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786820400000,5,6,27.7
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786824000000,5,6,27.7
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786827600000,5,4,27.69
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786831200000,5,6,27.69
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786834800000,5,4,27.68
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786842000000,5,4,27.66
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786849200000,5,4,27.65
1,0,0,洞庭湖,100,1,61503200,注滋口,0,1786852800000,5,6,27.65
