kind,rvnm,showdp,sort,sortall,sortw1,sortw2,sortw3,sortwdp,status,stcd,stnm,stype,tm,websiteid,wptn,z
1,清江,0,12,0,0,0,0,0,1,61004000,长阳,0,1786201200000,6,4,78.060
1,清江,0,12,0,0,0,0,0,1,61004000,长阳,0,1786204800000,6,5,78.210
1,清江,0,12,0,0,0,0,0,1,61004000,长阳,0,1786208400000,6,5,78.410
1,清江,0,12,0,0,0,0,0,1,61004000,长阳,0,1786212000000,6,4,78.310
1,清江,0,12,0,0,0,0,0,1,61004000,长阳,0,1786215600000,6,4,78.040
1,清江,0,12,0,0,0,0,0,1,61004000,长阳,0,1786219200000,6,5,78.260
1,清江,0,12,0,0,0,0,0,1,61004000,长阳,0,1786222800000,6,4,78.000
1,清江,0,12,0,0,0,0,0,1,61004000,长阳,0,1786226400000,6,4,77.900
1,清江,0,12,0,0,0,0,0,1,61004000,长阳,0,1786230000000,6,4,77.880
1,清江,0,12,0,0,0,0,0,1,61004000,长阳,0,1786240800000,6,4,77.660
1,清江,0,12,0,0,0,0,0,1,61004000,长阳,0,1786244400000,6,5,77.730
1,清江,0,12,0,0,0,0,0,1,61004000,长阳,0,1786251600000,6,4,77.670
1,清江,0,12,0,0,0,0,0,1,61004000,长阳,0,1786255200000,6,5,77.720
1,清江,0,12,0,0,0,0,0,1,61004000,长阳,0,1786258800000,6,4,77.620
1,清江,0,12,0,0,0,0,0,1,61004000,长阳,0,1786262400000,6,5,77.670
1,清江,0,12,0,0,0,0,0,1,61004000,长阳,0,1786266000000,6,4,77.600
1,清江,0,12,0,0,0,0,0,1,61004000,长阳,0,1786269600000,6,5,77.700
1,清江,0,12,0,0,0,0,0,1,61004000,长阳,0,1786273200000,6,4,77.690
1,清江,0,12,0,0,0,0,0,1,61004000,长阳,0,1786280400000,6,5,77.780
1,清江,0,12,0,0,0,0,0,1,61004000,长阳,0,1786284000000,6,5,77.850
1,清江,0,12,0,0,0,0,0,1,61004000,长阳,0,1786287600000,6,4,77.720
1,清江,0,12,0,0,0,0,0,1,61004000,长阳,0,1786291200000,6,5,77.810
1,清江,0,12,0,0,0,0,0,1,61004000,长阳,0,1786294800000,6,4,77.570
1,清江,0,12,0,0,0,0,0,1,61004000,长阳,0,1786298400000,6,5,77.760
1,清江,0,12,0,0,0,0,0,1,61004000,长阳,0,1786302000000,6,4,77.600
1,清江,0,12,0,0,0,0,0,1,61004000,长阳,0,1786305600000,6,5,77.630
1,清江,0,12,0,0,0,0,0,1,61004000,长阳,0,1786309200000,6,5,77.730
1,清江,0,12,0,0,0,0,0,1,61004000,长阳,0,1786312800000,6,4,77.600
1,清江,0,12,0,0,0,0,0,1,61004000,长阳,0,1786316400000,6,5,77.740
1,清江,0,12,0,0,0,0,0,1,61004000,长阳,0,1786320000000,6,4,77.640
1,清江,0,12,0,0,0,0,0,1,61004000,长阳,0,1786327200000,6,4,77.700
1,清江,0,12,0,0,0,0,0,1,61004000,长阳,0,1786334400000,6,5,77.750
1,清江,0,12,0,0,0,0,0,1,61004000,长阳,0,1786341600000,6,4,77.750
1,清江,0,12,0,0,0,0,0,1,61004000,长阳,0,1786348800000,6,5,77.730
1,清江,0,12,0,0,0,0,0,1,61004000,长阳,0,1786352400000,6,4,77.720
1,清江,0,12,0,0,0,0,0,1,61004000,长阳,0,1786359600000,6,4,77.760
1,清江,0,12,0,0,0,0,0,1,61004000,长阳,0,1786363200000,6,4,77.710
1,清江,0,12,0,0,0,0,0,1,61004000,长阳,0,1786370400000,6,4,77.650
1,清江,0,12,0,0,0,0,0,1,61004000,长阳,0,1786374000000,6,5,77.710
1,清江,0,12,0,0,0,0,0,1,61004000,长阳,0,1786377600000,6,4,77.670
1,清江,0,12,0,0,0,0,0,1,61004000,长阳,0,1786381200000,6,5,77.740
1,清江,0,12,0,0,0,0,0,1,61004000,长阳,0,1786384800000,6,4,77.370
1,清江,0,12,0,0,0,0,0,1,61004000,长阳,0,1786388400000,6,5,77.590
1,清江,0,12,0,0,0,0,0,1,61004000,长阳,0,1786392000000,6,4,77.220
1,清江,0,12,0,0,0,0,0,1,61004000,长阳,0,1786395600000,6,5,77.240
1,清江,0,12,0,0,0,0,0,1,61004000,长阳,0,1786399200000,6,4,77.140
1,清江,0,12,0,0,0,0,0,1,61004000,长阳,0,1786402800000,6,4,76.970
1,清江,0,12,0,0,0,0,0,1,61004000,长阳,0,1786413600000,6,4,76.930
1,清江,0,12,0,0,0,0,0,1,61004000,长阳,0,1786420800000,6,4,76.920
1,清江,0,12,0,0,0,0,0,1,61004000,长阳,0,1786424400000,6,6,76.920
1,清江,0,12,0,0,0,0,0,1,61004000,长阳,0,1786428000000,6,4,76.910
1,清江,0,12,0,0,0,0,0,1,61004000,长阳,0,1786431600000,6,5,76.920
1,清江,0,12,0,0,0,0,0,1,61004000,长阳,0,1786438800000,6,5,76.920
1,清江,0,12,0,0,0,0,0,1,61004000,长阳,0,1786442400000,6,4,76.910
1,清江,0,12,0,0,0,0,0,1,61004000,长阳,0,1786446000000,6,5,76.920
1,清江,0,12,0,0,0,0,0,1,61004000,长阳,0,1786453200000,6,5,77.030
1,清江,0,12,0,0,0,0,0,1,61004000,长阳,0,1786456800000,6,5,77.070
1,清江,0,12,0,0,0,0,0,1,61004000,长阳,0,1786460400000,6,5,77.120
1,清江,0,12,0,0,0,0,0,1,61004000,长阳,0,1786464000000,6,5,77.140
1,清江,0,12,0,0,0,0,0,1,61004000,长阳,0,1786467600000,6,5,77.270
1,清江,0,12,0,0,0,0,0,1,61004000,长阳,0,1786471200000,6,4,76.970
1,清江,0,12,0,0,0,0,0,1,61004000,长阳,0,1786474800000,6,5,77.200
1,清江,0,12,0,0,0,0,0,1,61004000,长阳,0,1786478400000,6,4,77.070
1,清江,0,12,0,0,0,0,0,1,61004000,长阳,0,1786482000000,6,4,77.010
1,清江,0,12,0,0,0,0,0,1,61004000,长阳,0,1786485600000,6,5,77.150
1,清江,0,12,0,0,0,0,0,1,61004000,长阳,0,1786489200000,6,4,76.990
1,清江,0,12,0,0,0,0,0,1,61004000,长阳,0,1786492800000,6,5,77.140
1,清江,0,12,0,0,0,0,0,1,61004000,长阳,0,1786503600000,6,4,77.080
1,清江,0,12,0,0,0,0,0,1,61004000,长阳,0,1786507200000,6,5,77.090
1,清江,0,12,0,0,0,0,0,1,61004000,长阳,0,1786514400000,6,4,77.080
1,清江,0,12,0,0,0,0,0,1,61004000,长阳,0,1786521600000,6,4,77.080
1,清江,0,12,0,0,0,0,0,1,61004000,长阳,0,1786525200000,6,5,77.090
1,清江,0,12,0,0,0,0,0,1,61004000,长阳,0,1786528800000,6,5,77.110
1,清江,0,12,0,0,0,0,0,1,61004000,长阳,0,1786532400000,6,5,77.190
1,清江,0,12,0,0,0,0,0,1,61004000,长阳,0,1786536000000,6,6,77.190
1,清江,0,12,0,0,0,0,0,1,61004000,长阳,0,1786543200000,6,5,77.330
1,清江,0,12,0,0,0,0,0,1,61004000,长阳,0,1786546800000,6,4,77.300
1,清江,0,12,0,0,0,0,0,1,61004000,长阳,0,1786550400000,6,5,77.320
1,清江,0,12,0,0,0,0,0,1,61004000,长阳,0,1786557600000,6,4,77.050
1,清江,0,12,0,0,0,0,0,1,61004000,长阳,0,1786561200000,6,5,77.480
1,清江,0,12,0,0,0,0,0,1,61004000,长阳,0,1786564800000,6,4,77.170
1,清江,0,12,0,0,0,0,0,1,61004000,长阳,0,1786568400000,6,5,77.310
1,清江,0,12,0,0,0,0,0,1,61004000,长阳,0,1786572000000,6,4,77.300
