kind,rvnm,showdp,sort,sortall,sortw1,sortw2,sortw3,sortwdp,status,stcd,stnm,stype,tm,websiteid,wptn,z
1,荆江,0,27,0,0,0,0,0,1,60107405,陈二口,0,1786201200000,6,5,37.450
1,荆江,0,27,0,0,0,0,0,1,60107405,陈二口,0,1786204800000,6,5,37.550
1,荆江,0,27,0,0,0,0,0,1,60107405,陈二口,0,1786208400000,6,5,37.580
1,荆江,0,27,0,0,0,0,0,1,60107405,陈二口,0,1786212000000,6,4,37.570
1,荆江,0,27,0,0,0,0,0,1,60107405,陈二口,0,1786215600000,6,4,37.530
1,荆江,0,27,0,0,0,0,0,1,60107405,陈二口,0,1786219200000,6,4,37.490
1,荆江,0,27,0,0,0,0,0,1,60107405,陈二口,0,1786222800000,6,4,37.450
1,荆江,0,27,0,0,0,0,0,1,60107405,陈二口,0,1786226400000,6,4,37.420
1,荆江,0,27,0,0,0,0,0,1,60107405,陈二口,0,1786230000000,6,4,37.390
1,荆江,0,27,0,0,0,0,0,1,60107405,陈二口,0,1786240800000,6,4,37.310
1,荆江,0,27,0,0,0,0,0,1,60107405,陈二口,0,1786244400000,6,4,37.290
1,荆江,0,27,0,0,0,0,0,1,60107405,陈二口,0,1786251600000,6,4,37.200
1,荆江,0,27,0,0,0,0,0,1,60107405,陈二口,0,1786255200000,6,4,37.170
1,荆江,0,27,0,0,0,0,0,1,60107405,陈二口,0,1786258800000,6,4,37.150
1,荆江,0,27,0,0,0,0,0,1,60107405,陈二口,0,1786262400000,6,4,37.130
1,荆江,0,27,0,0,0,0,0,1,60107405,陈二口,0,1786266000000,6,4,37.120
1,荆江,0,27,0,0,0,0,0,1,60107405,陈二口,0,1786269600000,6,4,37.110
1,荆江,0,27,0,0,0,0,0,1,60107405,陈二口,0,1786273200000,6,5,37.170
1,荆江,0,27,0,0,0,0,0,1,60107405,陈二口,0,1786280400000,6,5,37.230
1,荆江,0,27,0,0,0,0,0,1,60107405,陈二口,0,1786284000000,6,5,37.280
1,荆江,0,27,0,0,0,0,0,1,60107405,陈二口,0,1786287600000,6,5,37.300
1,荆江,0,27,0,0,0,0,0,1,60107405,陈二口,0,1786291200000,6,6,37.300
1,荆江,0,27,0,0,0,0,0,1,60107405,陈二口,0,1786294800000,6,4,37.290
1,荆江,0,27,0,0,0,0,0,1,60107405,陈二口,0,1786298400000,6,4,37.270
1,荆江,0,27,0,0,0,0,0,1,60107405,陈二口,0,1786302000000,6,4,37.220
1,荆江,0,27,0,0,0,0,0,1,60107405,陈二口,0,1786305600000,6,4,37.180
1,荆江,0,27,0,0,0,0,0,1,60107405,陈二口,0,1786309200000,6,4,37.130
1,荆江,0,27,0,0,0,0,0,1,60107405,陈二口,0,1786312800000,6,4,37.100
1,荆江,0,27,0,0,0,0,0,1,60107405,陈二口,0,1786316400000,6,4,37.070
1,荆江,0,27,0,0,0,0,0,1,60107405,陈二口,0,1786320000000,6,4,37.030
1,荆江,0,27,0,0,0,0,0,1,60107405,陈二口,0,1786327200000,6,4,36.990
1,荆江,0,27,0,0,0,0,0,1,60107405,陈二口,0,1786334400000,6,5,37.020
1,荆江,0,27,0,0,0,0,0,1,60107405,陈二口,0,1786341600000,6,5,37.070
1,荆江,0,27,0,0,0,0,0,1,60107405,陈二口,0,1786348800000,6,5,37.090
1,荆江,0,27,0,0,0,0,0,1,60107405,陈二口,0,1786352400000,6,5,37.130
1,荆江,0,27,0,0,0,0,0,1,60107405,陈二口,0,1786359600000,6,5,37.160
