oq,q,stcd,stnm,tm,wptn,z,rvnm
0,6600,60103400,向家坝,1786197600000,4,270.79,金沙江
0,6070,60103400,向家坝,1786201200000,4,270.33,金沙江
0,5330,60103400,向家坝,1786204800000,4,269.68,金沙江
0,4820,60103400,向家坝,1786208400000,4,269.23,金沙江
0,4600,60103400,向家坝,1786212000000,4,268.98,金沙江
0,4540,60103400,向家坝,1786215600000,4,268.93,金沙江
0,4460,60103400,向家坝,1786219200000,4,268.85,金沙江
0,4400,60103400,向家坝,1786222800000,4,268.8,金沙江
0,4410,60103400,向家坝,1786226400000,5,268.81,金沙江
0,4370,60103400,向家坝,1786230000000,4,268.77,金沙江
0,4360,60103400,向家坝,1786237200000,4,268.76,金沙江
0,4320,60103400,向家坝,1786244400000,4,268.72,金沙江
0,4340,60103400,向家坝,1786248000000,5,268.74,金沙江
0,4360,60103400,向家坝,1786251600000,5,268.76,金沙江
0,4400,60103400,向家坝,1786255200000,5,268.8,金沙江
0,4380,60103400,向家坝,1786258800000,4,268.78,金沙江
0,4380,60103400,向家坝,1786262400000,6,268.78,金沙江
0,4450,60103400,向家坝,1786266000000,5,268.84,金沙江
0,4430,60103400,向家坝,1786269600000,4,268.83,金沙江
0,4420,60103400,向家坝,1786276800000,4,268.82,金沙江
0,4420,60103400,向家坝,1786280400000,6,268.82,金沙江
0,4450,60103400,向家坝,1786284000000,5,268.84,金沙江
0,4450,60103400,向家坝,1786287600000,6,268.84,金沙江
0,4460,60103400,向家坝,1786291200000,5,268.85,金沙江
0,4480,60103400,向家坝,1786294800000,5,268.87,金沙江
0,4460,60103400,向家坝,1786298400000,4,268.85,金沙江
0,4480,60103400,向家坝,1786302000000,5,268.87,金沙江
0,4450,60103400,向家坝,1786305600000,4,268.84,金沙江
0,4420,60103400,向家坝,1786309200000,4,268.82,金沙江
0,4460,60103400,向家坝,1786312800000,5,268.85,金沙江
0,4350,60103400,向家坝,1786316400000,4,268.75,金沙江
0,4400,60103400,向家坝,1786327200000,5,268.8,金沙江
0,4410,60103400,向家坝,1786330800000,5,268.81,金沙江
