kind,oq,q,rvnm,sort,status,stcd,stnm,stype,tm,websiteid,wptn,z
1,0,0,长江,30,1,60111700,石矶头,1,1786201200000,5,6,23.81
1,0,0,长江,30,1,60111700,石矶头,1,1786204800000,5,6,23.81
1,0,0,长江,30,1,60111700,石矶头,1,1786208400000,5,4,23.8
1,0,0,长江,30,1,60111700,石矶头,1,1786212000000,5,6,23.8
1,0,0,长江,30,1,60111700,石矶头,1,1786215600000,5,4,23.79
1,0,0,长江,30,1,60111700,石矶头,1,1786219200000,5,6,23.79
1,0,0,长江,30,1,60111700,石矶头,1,1786222800000,5,5,23.8
1,0,0,长江,30,1,60111700,石矶头,1,1786226400000,5,4,23.79
1,0,0,长江,30,1,60111700,石矶头,1,1786230000000,5,6,23.79
1,0,0,长江,30,1,60111700,石矶头,1,1786240800000,5,6,23.78
1,0,0,长江,30,1,60111700,石矶头,1,1786244400000,5,4,23.77
1,0,0,长江,30,1,60111700,石矶头,1,1786251600000,5,6,23.77
1,0,0,长江,30,1,60111700,石矶头,1,1786255200000,5,6,23.77
1,0,0,长江,30,1,60111700,石矶头,1,1786258800000,5,4,23.76
1,0,0,长江,30,1,60111700,石矶头,1,1786262400000,5,6,23.76
1,0,0,长江,30,1,60111700,石矶头,1,1786266000000,5,4,23.75
1,0,0,长江,30,1,60111700,石矶头,1,1786269600000,5,6,23.75
1,0,0,长江,30,1,60111700,石矶头,1,1786273200000,5,4,23.74
1,0,0,长江,30,1,60111700,石矶头,1,1786280400000,5,6,23.74
1,0,0,长江,30,1,60111700,石矶头,1,1786284000000,5,6,23.74
1,0,0,长江,30,1,60111700,石矶头,1,1786287600000,5,6,23.74
1,0,0,长江,30,1,60111700,石矶头,1,1786291200000,5,4,23.73
1,0,0,长江,30,1,60111700,石矶头,1,1786294800000,5,6,23.73
1,0,0,长江,30,1,60111700,石矶头,1,1786298400000,5,6,23.73
1,0,0,长江,30,1,60111700,石矶头,1,1786302000000,5,6,23.73
1,0,0,长江,30,1,60111700,石矶头,1,1786305600000,5,4,23.72
1,0,0,长江,30,1,60111700,石矶头,1,1786309200000,5,6,23.72
1,0,0,长江,30,1,60111700,石矶头,1,1786312800000,5,4,23.71
1,0,0,长江,30,1,60111700,石矶头,1,1786316400000,5,6,23.71
1,0,0,长江,30,1,60111700,石矶头,1,1786320000000,5,6,23.71
