kind,oq,q,rvnm,sort,status,stcd,stnm,stype,tm,websiteid,wptn,z
1,0,0,长江,10,1,60111200,莲花塘,1,1786255200000,5,4,26.93
1,0,0,长江,10,1,60111200,莲花塘,1,1786262400000,5,6,26.92
1,0,0,长江,10,1,60111200,莲花塘,1,1786392000000,5,4,26.77
1,0,0,长江,10,1,60111200,莲花塘,1,1786417200000,5,4,26.72
1,0,0,长江,10,1,60111200,莲花塘,1,1786446000000,5,4,26.67
1,0,0,长江,10,1,60111200,莲花塘,1,1786762800000,5,5,26.38
1,0,0,长江,10,1,60111200,莲花塘,1,1787036400000,5,4,26.04
1,0,0,长江,10,1,60111200,莲花塘,1,1787137200000,5,6,25.87
1,0,0,长江,10,1,60111200,莲花塘,1,1787464800000,5,5,25.88
1,0,0,长江,10,1,60111200,莲花塘,1,1787511600000,5,4,25.89
1,0,0,长江,10,1,60111200,莲花塘,1,1787540400000,5,5,25.9
1,0,0,长江,10,1,60111200,莲花塘,1,1787652000000,5,5,26.11
