kind,oq,q,rvnm,sort,status,stcd,stnm,stype,tm,websiteid,wptn,z
1,0,0,长江中游,190,1,61505400,大湖口,0,1786201200000,5,4,33.04
1,0,0,长江中游,190,1,61505400,大湖口,0,1786204800000,5,4,33.01
1,0,0,长江中游,190,1,61505400,大湖口,0,1786208400000,5,4,32.98
1,0,0,长江中游,190,1,61505400,大湖口,0,1786212000000,5,4,32.96
1,0,0,长江中游,190,1,61505400,大湖口,0,1786215600000,5,4,32.93
1,0,0,长江中游,190,1,61505400,大湖口,0,1786219200000,5,4,32.9
1,0,0,长江中游,190,1,61505400,大湖口,0,1786222800000,5,4,32.87
1,0,0,长江中游,190,1,61505400,大湖口,0,1786226400000,5,4,32.84
1,0,0,长江中游,190,1,61505400,大湖口,0,1786230000000,5,4,32.82
1,0,0,长江中游,190,1,61505400,大湖口,0,1786240800000,5,4,32.75
1,0,0,长江中游,190,1,61505400,大湖口,0,1786244400000,5,4,32.73
1,0,0,长江中游,190,1,61505400,大湖口,0,1786251600000,5,4,32.69
1,0,0,长江中游,190,1,61505400,大湖口,0,1786255200000,5,4,32.67
1,0,0,长江中游,190,1,61505400,大湖口,0,1786258800000,5,4,32.65
1,0,0,长江中游,190,1,61505400,大湖口,0,1786262400000,5,4,32.63
1,0,0,长江中游,190,1,61505400,大湖口,0,1786266000000,5,4,32.61
1,0,0,长江中游,190,1,61505400,大湖口,0,1786269600000,5,4,32.59
1,0,0,长江中游,190,1,61505400,大湖口,0,1786273200000,5,4,32.58
1,0,0,长江中游,190,1,61505400,大湖口,0,1786280400000,5,4,32.54
1,0,0,长江中游,190,1,61505400,大湖口,0,1786284000000,5,4,32.52
1,0,0,长江中游,190,1,61505400,大湖口,0,1786287600000,5,4,32.49
1,0,0,长江中游,190,1,61505400,大湖口,0,1786291200000,5,4,32.47
1,0,0,长江中游,190,1,61505400,大湖口,0,1786294800000,5,4,32.45
1,0,0,长江中游,190,1,61505400,大湖口,0,1786298400000,5,4,32.43
1,0,0,长江中游,190,1,61505400,大湖口,0,1786302000000,5,4,32.41
