kind,oq,q,rvnm,sort,status,stcd,stnm,stype,tm,websiteid,wptn,z
1,0,0,长江中游,180,1,61505301,张九台,0,1786201200000,5,4,32.58
1,0,0,长江中游,180,1,61505301,张九台,0,1786204800000,5,4,32.55
1,0,0,长江中游,180,1,61505301,张九台,0,1786208400000,5,4,32.53
1,0,0,长江中游,180,1,61505301,张九台,0,1786212000000,5,4,32.5
1,0,0,长江中游,180,1,61505301,张九台,0,1786215600000,5,4,32.48
1,0,0,长江中游,180,1,61505301,张九台,0,1786219200000,5,4,32.43
1,0,0,长江中游,180,1,61505301,张九台,0,1786222800000,5,4,32.39
1,0,0,长江中游,180,1,61505301,张九台,0,1786226400000,5,4,32.36
1,0,0,长江中游,180,1,61505301,张九台,0,1786230000000,5,4,32.33
1,0,0,长江中游,180,1,61505301,张九台,0,1786240800000,5,4,32.26
1,0,0,长江中游,180,1,61505301,张九台,0,1786244400000,5,4,32.23
1,0,0,长江中游,180,1,61505301,张九台,0,1786251600000,5,4,32.19
1,0,0,长江中游,180,1,61505301,张九台,0,1786255200000,5,4,32.16
1,0,0,长江中游,180,1,61505301,张九台,0,1786258800000,5,4,32.13
1,0,0,长江中游,180,1,61505301,张九台,0,1786262400000,5,4,32.11
1,0,0,长江中游,180,1,61505301,张九台,0,1786266000000,5,4,32.08
1,0,0,长江中游,180,1,61505301,张九台,0,1786269600000,5,4,32.06
1,0,0,长江中游,180,1,61505301,张九台,0,1786273200000,5,4,32.05
1,0,0,长江中游,180,1,61505301,张九台,0,1786280400000,5,4,31.98
1,0,0,长江中游,180,1,61505301,张九台,0,1786284000000,5,4,31.97
1,0,0,长江中游,180,1,61505301,张九台,0,1786287600000,5,4,31.94
1,0,0,长江中游,180,1,61505301,张九台,0,1786291200000,5,4,31.91
1,0,0,长江中游,180,1,61505301,张九台,0,1786294800000,5,4,31.89
1,0,0,长江中游,180,1,61505301,张九台,0,1786298400000,5,4,31.86
1,0,0,长江中游,180,1,61505301,张九台,0,1786302000000,5,4,31.84
1,0,0,长江中游,180,1,61505301,张九台,0,1786305600000,5,4,31.82
1,0,0,长江中游,180,1,61505301,张九台,0,1786309200000,5,4,31.8
1,0,0,长江中游,180,1,61505301,张九台,0,1786312800000,5,4,31.78
1,0,0,长江中游,180,1,61505301,张九台,0,1786316400000,5,4,31.76
1,0,0,长江中游,180,1,61505301,张九台,0,1786320000000,5,4,31.75
