oq,q,stcd,stnm,tm,wptn,z,rvnm
0,0,60106000,万县,1786197600000,4,158.16,长江干流
0,0,60106000,万县,1786201200000,4,158.15,长江干流
0,0,60106000,万县,1786204800000,4,158.12,长江干流
0,0,60106000,万县,1786208400000,4,158.11,长江干流
0,0,60106000,万县,1786212000000,5,158.14,长江干流
0,0,60106000,万县,1786215600000,5,158.19,长江干流
0,0,60106000,万县,1786219200000,5,158.24,长江干流
0,0,60106000,万县,1786222800000,5,158.27,长江干流
0,0,60106000,万县,1786226400000,5,158.3,长江干流
0,0,60106000,万县,1786230000000,5,158.34,长江干流
0,0,60106000,万县,1786237200000,5,158.39,长江干流
0,0,60106000,万县,1786244400000,5,158.45,长江干流
0,0,60106000,万县,1786248000000,5,158.48,长江干流
0,0,60106000,万县,1786251600000,5,158.5,长江干流
0,0,60106000,万县,1786255200000,5,158.52,长江干流
0,0,60106000,万县,1786258800000,5,158.55,长江干流
0,0,60106000,万县,1786262400000,5,158.57,长江干流
0,0,60106000,万县,1786266000000,5,158.59,长江干流
0,0,60106000,万县,1786269600000,5,158.6,长江干流
0,0,60106000,万县,1786276800000,6,158.61,长江干流
0,0,60106000,万县,1786280400000,4,158.58,长江干流
0,0,60106000,万县,1786284000000,4,158.53,长江干流
0,0,60106000,万县,1786287600000,4,158.51,长江干流
0,0,60106000,万县,1786291200000,4,158.46,长江干流
0,0,60106000,万县,1786294800000,5,158.48,长江干流
0,0,60106000,万县,1786298400000,5,158.52,长江干流
0,0,60106000,万县,1786302000000,5,158.55,长江干流
0,0,60106000,万县,1786305600000,5,158.61,长江干流
0,0,60106000,万县,1786309200000,5,158.63,长江干流
0,0,60106000,万县,1786312800000,5,158.65,长江干流
0,0,60106000,万县,1786316400000,5,158.69,长江干流
0,0,60106000,万县,1786327200000,5,158.74,长江干流
0,0,60106000,万县,1786330800000,5,158.77,长江干流
,,60106000,万县,1786341600000,5,158.830,长江干流
0,0,60106000,万县,1786345200000,5,158.85,长江干流
0,0,60106000,万县,1786348800000,5,158.86,长江干流
0,0,60106000,万县,1786356000000,5,158.91,长江干流
0,0,60106000,万县,1786359600000,4,158.9,长江干流
0,0,60106000,万县,1786366800000,4,158.85,长江干流
0,0,60106000,万县,1786370400000,4,158.81,长江干流
0,0,60106000,万县,1786374000000,4,158.78,长江干流
0,0,60106000,万县,1786377600000,4,158.76,长江干流
0,0,60106000,万县,1786381200000,4,158.75,长江干流
0,0,60106000,万县,1786384800000,5,158.77,长江干流
0,0,60106000,万县,1786388400000,5,158.81,长江干流
0,0,60106000,万县,1786392000000,5,158.83,长江干流
0,0,60106000,万县,1786395600000,5,158.84,长江干流
0,0,60106000,万县,1786399200000,5,158.85,长江干流
0,0,60106000,万县,1786410000000,5,158.86,长江干流
0,0,60106000,万县,1786417200000,4,158.82,长江干流
0,0,60106000,万县,1786420800000,4,158.79,长江干流
0,0,60106000,万县,1786424400000,4,158.77,长江干流
0,0,60106000,万县,1786428000000,5,158.8,长江干流
0,0,60106000,万县,1786435200000,5,158.85,长江干流
0,0,60106000,万县,1786438800000,6,158.85,长江干流
0,0,60106000,万县,1786442400000,4,158.84,长江干流
0,0,60106000,万县,1786449600000,4,158.82,长江干流
0,0,60106000,万县,1786453200000,4,158.78,长江干流
0,0,60106000,万县,1786456800000,4,158.74,长江干流
0,0,60106000,万县,1786460400000,4,158.69,长江干流
0,0,60106000,万县,1786464000000,4,158.68,长江干流
0,0,60106000,万县,1786467600000,4,158.64,长江干流
0,0,60106000,万县,1786471200000,5,158.67,长江干流
0,0,60106000,万县,1786474800000,5,158.71,长江干流
0,0,60106000,万县,1786478400000,5,158.73,长江干流
0,0,60106000,万县,1786482000000,4,158.72,长江干流
0,0,60106000,万县,1786485600000,6,158.72,长江干流
0,0,60106000,万县,1786489200000,4,158.71,长江干流
0,0,60106000,万县,1786500000000,4,158.7,长江干流
0,0,60106000,万县,1786507200000,4,158.61,长江干流
0,0,60106000,万县,1786510800000,5,158.62,长江干流
0,0,60106000,万县,1786518000000,6,158.63,长江干流
0,0,60106000,万县,1786521600000,5,158.64,长江干流
0,0,60106000,万县,1786525200000,6,158.64,长江干流
0,0,60106000,万县,1786528800000,5,158.65,长江干流
0,0,60106000,万县,1786532400000,4,158.62,长江干流
0,0,60106000,万县,1786539600000,4,158.5,长江干流
0,0,60106000,万县,1786543200000,4,158.43,长江干流
0,0,60106000,万县,1786546800000,4,158.37,长江干流
0,0,60106000,万县,1786550400000,4,158.32,长江干流
0,0,60106000,万县,1786554000000,4,158.29,长江干流
0,0,60106000,万县,1786557600000,4,158.28,长江干流
0,0,60106000,万县,1786561200000,5,158.29,长江干流
0,0,60106000,万县,1786564800000,5,158.31,长江干流
0,0,60106000,万县,1786568400000,6,158.31,长江干流
0,0,60106000,万县,1786572000000,5,158.33,长江干流
0,0,60106000,万县,1786575600000,4,158.32,长江干流
0,0,60106000,万县,1786586400000,4,158.32,长江干流
0,0,60106000,万县,1786593600000,4,158.22,长江干流
0,0,60106000,万县,1786597200000,4,158.21,长江干流
0,0,60106000,万县,1786604400000,5,158.24,长江干流
0,0,60106000,万县,1786608000000,5,158.26,长江干流
0,0,60106000,万县,1786611600000,6,158.26,长江干流
0,0,60106000,万县,1786615200000,6,158.26,长江干流
0,0,60106000,万县,1786618800000,4,158.24,长江干流
0,0,60106000,万县,1786626000000,4,158.11,长江干流
0,0,60106000,万县,1786629600000,4,158.06,长江干流
0,0,60106000,万县,1786633200000,4,158,长江干流
0,0,60106000,万县,1786636800000,4,157.94,长江干流
