oq,q,stcd,stnm,tm,wptn,z,rvnm
,,60116400,四号码头,1786201200000,4,5.41,长江干流
,,60116400,四号码头,1786204800000,5,5.43,长江干流
,,60116400,四号码头,1786208400000,5,5.51,长江干流
,,60116400,四号码头,1786212000000,5,5.75,长江干流
,,60116400,四号码头,1786215600000,5,5.97,长江干流
,,60116400,四号码头,1786219200000,5,6.08,长江干流
,,60116400,四号码头,1786222800000,5,6.1,长江干流
,,60116400,四号码头,1786226400000,4,6.07,长江干流
,,60116400,四号码头,1786230000000,4,6.02,长江干流
,,60116400,四号码头,1786240800000,4,5.85,长江干流
,,60116400,四号码头,1786244400000,4,5.78,长江干流
,,60116400,四号码头,1786251600000,4,5.69,长江干流
,,60116400,四号码头,1786255200000,4,5.66,长江干流
,,60116400,四号码头,1786258800000,5,5.68,长江干流
,,60116400,四号码头,1786262400000,5,5.76,长江干流
,,60116400,四号码头,1786266000000,5,5.85,长江干流
,,60116400,四号码头,1786269600000,5,5.91,长江干流
,,60116400,四号码头,1786273200000,6,5.91,长江干流
,,60116400,四号码头,1786280400000,4,5.86,长江干流
,,60116400,四号码头,1786284000000,4,5.83,长江干流
,,60116400,四号码头,1786287600000,4,5.78,长江干流
,,60116400,四号码头,1786291200000,4,5.73,长江干流
,,60116400,四号码头,1786294800000,4,5.7,长江干流
,,60116400,四号码头,1786298400000,5,5.73,长江干流
,,60116400,四号码头,1786302000000,5,6.03,长江干流
