oq,q,stcd,stnm,tm,wptn,z,rvnm
,,60114700,安庆,1786201200000,4,10.996,长江干流
,,60114700,安庆,1786204800000,5,11.003,长江干流
,,60114700,安庆,1786208400000,6,11.003,长江干流
,,60114700,安庆,1786212000000,4,10.989,长江干流
,,60114700,安庆,1786215600000,5,10.998,长江干流
,,60114700,安庆,1786219200000,4,10.982,长江干流
,,60114700,安庆,1786222800000,5,10.984,长江干流
,,60114700,安庆,1786226400000,4,10.972,长江干流
,,60114700,安庆,1786230000000,4,10.968,长江干流
,,60114700,安庆,1786240800000,5,10.979,长江干流
,,60114700,安庆,1786244400000,4,10.96,长江干流
,,60114700,安庆,1786251600000,4,10.958,长江干流
,,60114700,安庆,1786255200000,5,10.961,长江干流
,,60114700,安庆,1786258800000,4,10.954,长江干流
,,60114700,安庆,1786262400000,4,10.951,长江干流
,,60114700,安庆,1786266000000,4,10.934,长江干流
,,60114700,安庆,1786269600000,5,10.937,长江干流
,,60114700,安庆,1786273200000,5,10.944,长江干流
,,60114700,安庆,1786280400000,4,10.911,长江干流
,,60114700,安庆,1786284000000,5,10.923,长江干流
,,60114700,安庆,1786287600000,5,10.93,长江干流
,,60114700,安庆,1786291200000,4,10.918,长江干流
,,60114700,安庆,1786294800000,5,10.927,长江干流
,,60114700,安庆,1786298400000,4,10.923,长江干流
,,60114700,安庆,1786302000000,5,10.928,长江干流
,,60114700,安庆,1786305600000,4,10.921,长江干流
,,60114700,安庆,1786309200000,5,10.925,长江干流
,,60114700,安庆,1786312800000,4,10.921,长江干流
,,60114700,安庆,1786316400000,4,10.911,长江干流
,,60114700,安庆,1786320000000,4,10.909,长江干流
,,60114700,安庆,1786327200000,5,10.925,长江干流
,,60114700,安庆,1786334400000,5,10.968,长江干流
,,60114700,安庆,1786341600000,4,10.972,长江干流
,,60114700,安庆,1786348800000,4,10.979,长江干流
,,60114700,安庆,1786352400000,5,10.996,长江干流
,,60114700,安庆,1786359600000,5,11.024,长江干流
,,60114700,安庆,1786363200000,5,11.027,长江干流
,,60114700,安庆,1786370400000,6,11.055,长江干流
,,60114700,安庆,1786374000000,5,11.074,长江干流
,,60114700,安庆,1786377600000,5,11.102,长江干流
,,60114700,安庆,1786381200000,5,11.118,长江干流
,,60114700,安庆,1786384800000,5,11.140,长江干流
,,60114700,安庆,1786388400000,5,11.157,长江干流
,,60114700,安庆,1786392000000,5,11.17,长江干流
,,60114700,安庆,1786395600000,5,11.192,长江干流
,,60114700,安庆,1786399200000,5,11.206,长江干流
,,60114700,安庆,1786402800000,5,11.217,长江干流
,,60114700,安庆,1786413600000,5,11.244,长江干流
,,60114700,安庆,1786420800000,5,11.262,长江干流
,,60114700,安庆,1786424400000,5,11.291,长江干流
,,60114700,安庆,1786428000000,5,11.309,长江干流
,,60114700,安庆,1786431600000,5,11.321,长江干流
,,60114700,安庆,1786438800000,5,11.348,长江干流
,,60114700,安庆,1786442400000,5,11.359,长江干流
,,60114700,安庆,1786446000000,5,11.362,长江干流
,,60114700,安庆,1786453200000,4,11.361,长江干流
,,60114700,安庆,1786456800000,5,11.369,长江干流
,,60114700,安庆,1786460400000,5,11.378,长江干流
,,60114700,安庆,1786464000000,5,11.38,长江干流
,,60114700,安庆,1786467600000,5,11.385,长江干流
,,60114700,安庆,1786471200000,5,11.388,长江干流
,,60114700,安庆,1786474800000,5,11.397,长江干流
,,60114700,安庆,1786478400000,6,11.397,长江干流
,,60114700,安庆,1786482000000,4,11.39,长江干流
,,60114700,安庆,1786485600000,5,11.406,长江干流
,,60114700,安庆,1786489200000,4,11.404,长江干流
,,60114700,安庆,1786492800000,5,11.406,长江干流
,,60114700,安庆,1786503600000,5,11.409,长江干流
,,60114700,安庆,1786507200000,6,11.409,长江干流
,,60114700,安庆,1786514400000,5,11.432,长江干流
,,60114700,安庆,1786521600000,5,11.444,长江干流
,,60114700,安庆,1786525200000,5,11.451,长江干流
,,60114700,安庆,1786528800000,4,11.446,长江干流
,,60114700,安庆,1786532400000,5,11.449,长江干流
,,60114700,安庆,1786536000000,5,11.456,长江干流
,,60114700,安庆,1786543200000,4,11.461,长江干流
,,60114700,安庆,1786546800000,4,11.458,长江干流
,,60114700,安庆,1786550400000,4,11.446,长江干流
,,60114700,安庆,1786554000000,4,11.442,长江干流
,,60114700,安庆,1786557600000,4,11.437,长江干流
,,60114700,安庆,1786561200000,5,11.449,长江干流
,,60114700,安庆,1786564800000,4,11.434,长江干流
,,60114700,安庆,1786568400000,5,11.44,长江干流
,,60114700,安庆,1786572000000,4,11.439,长江干流
,,60114700,安庆,1786575600000,4,11.437,长江干流
,,60114700,安庆,1786579200000,4,11.425,长江干流
,,60114700,安庆,1786590000000,4,11.423,长江干流
,,60114700,安庆,1786597200000,6,11.418,长江干流
,,60114700,安庆,1786600800000,5,11.437,长江干流
,,60114700,安庆,1786608000000,5,11.451,长江干流
,,60114700,安庆,1786611600000,4,11.449,长江干流
,,60114700,安庆,1786615200000,5,11.458,长江干流
,,60114700,安庆,1786618800000,4,11.451,长江干流
,,60114700,安庆,1786622400000,4,11.449,长江干流
,,60114700,安庆,1786629600000,4,11.439,长江干流
,,60114700,安庆,1786633200000,4,11.432,长江干流
,,60114700,安庆,1786636800000,4,11.421,长江干流
,,60114700,安庆,1786640400000,4,11.404,长江干流
,,60114700,安庆,1786644000000,4,11.402,长江干流
,,60114700,安庆,1786647600000,4,11.397,长江干流
,,60114700,安庆,1786651200000,5,11.414,长江干流
,,60114700,安庆,1786654800000,4,11.409,长江干流
,,60114700,安庆,1786658400000,4,11.406,长江干流
,,60114700,安庆,1786662000000,5,11.413,长江干流
,,60114700,安庆,1786665600000,4,11.406,长江干流
,,60114700,安庆,1786676400000,4,11.395,长江干流
,,60114700,安庆,1786683600000,4,11.406,长江干流
,,60114700,安庆,1786687200000,4,11.402,长江干流
,,60114700,安庆,1786690800000,5,11.432,长江干流
,,60114700,安庆,1786698000000,5,11.446,长江干流
,,60114700,安庆,1786701600000,6,11.446,长江干流
,,60114700,安庆,1786705200000,5,11.458,长江干流
,,60114700,安庆,1786708800000,4,11.454,长江干流
,,60114700,安庆,1786712400000,5,11.463,长江干流
,,60114700,安庆,1786719600000,4,11.447,长江干流
,,60114700,安庆,1786723200000,5,11.453,长江干流
,,60114700,安庆,1786726800000,5,11.454,长江干流
,,60114700,安庆,1786730400000,4,11.453,长江干流
,,60114700,安庆,1786734000000,5,11.458,长江干流
,,60114700,安庆,1786737600000,5,11.461,长江干流
,,60114700,安庆,1786741200000,5,11.479,长江干流
,,60114700,安庆,1786744800000,4,11.477,长江干流
,,60114700,安庆,1786748400000,4,11.475,长江干流
,,60114700,安庆,1786755600000,5,11.498,长江干流
,,60114700,安庆,1786762800000,5,11.494,长江干流
,,60114700,安庆,1786766400000,4,11.487,长江干流
,,60114700,安庆,1786770000000,6,11.487,长江干流
,,60114700,安庆,1786773600000,4,11.482,长江干流
,,60114700,安庆,1786777200000,5,11.493,长江干流
,,60114700,安庆,1786780800000,5,11.508,长江干流
,,60114700,安庆,1786784400000,5,11.517,长江干流
,,60114700,安庆,1786788000000,5,11.527,长江干流
,,60114700,安庆,1786791600000,4,11.519,长江干流
,,60114700,安庆,1786795200000,5,11.529,长江干流
,,60114700,安庆,1786798800000,5,11.536,长江干流
,,60114700,安庆,1786802400000,4,11.531,长江干流
,,60114700,安庆,1786806000000,4,11.527,长江干流
,,60114700,安庆,1786809600000,4,11.522,长江干流
,,60114700,安庆,1786813200000,4,11.52,长江干流
,,60114700,安庆,1786816800000,4,11.519,长江干流
,,60114700,安庆,1786820400000,5,11.52,长江干流
,,60114700,安庆,1786824000000,5,11.532,长江干流
,,60114700,安庆,1786827600000,5,11.543,长江干流
,,60114700,安庆,1786831200000,4,11.541,长江干流
,,60114700,安庆,1786834800000,5,11.55,长江干流
,,60114700,安庆,1786842000000,5,11.548,长江干流
,,60114700,安庆,1786849200000,6,11.546,长江干流
,,60114700,安庆,1786852800000,5,11.55,长江干流
,,60114700,安庆,1786856400000,4,11.536,长江干流
,,60114700,安庆,1786860000000,5,11.539,长江干流
,,60114700,安庆,1786863600000,4,11.538,长江干流
,,60114700,安庆,1786867200000,5,11.555,长江干流
,,60114700,安庆,1786870800000,5,11.56,长江干流
,,60114700,安庆,1786874400000,4,11.559,长江干流
,,60114700,安庆,1786878000000,5,11.567,长江干流
,,60114700,安庆,1786881600000,5,11.572,长江干流
,,60114700,安庆,1786885200000,5,11.578,长江干流
,,60114700,安庆,1786888800000,4,11.572,长江干流
,,60114700,安庆,1786892400000,5,11.581,长江干流
,,60114700,安庆,1786896000000,4,11.571,长江干流
,,60114700,安庆,1786899600000,5,11.572,长江干流
,,60114700,安庆,1786903200000,5,11.574,长江干流
,,60114700,安庆,1786906800000,4,11.571,长江干流
,,60114700,安庆,1786910400000,6,11.571,长江干流
,,60114700,安庆,1786914000000,5,11.579,长江干流
,,60114700,安庆,1786917600000,5,11.592,长江干流
,,60114700,安庆,1786921200000,4,11.583,长江干流
,,60114700,安庆,1786928400000,5,11.597,长江干流
,,60114700,安庆,1786935600000,5,11.585,长江干流
,,60114700,安庆,1786939200000,5,11.586,长江干流
,,60114700,安庆,1786942800000,4,11.583,长江干流
,,60114700,安庆,1786950000000,5,11.583,长江干流
,,60114700,安庆,1786953600000,4,11.581,长江干流
,,60114700,安庆,1786957200000,5,11.595,长江干流
,,60114700,安庆,1786960800000,5,11.614,长江干流
