oq,q,stcd,stnm,tm,wptn,z,rvnm
0,10900,60104800,朱沱,1786197600000,4,201.24,长江干流
0,10800,60104800,朱沱,1786201200000,4,201.19,长江干流
0,10700,60104800,朱沱,1786204800000,4,201.14,长江干流
0,10600,60104800,朱沱,1786208400000,4,201.08,长江干流
0,10500,60104800,朱沱,1786212000000,4,201.02,长江干流
0,10400,60104800,朱沱,1786215600000,4,200.97,长江干流
0,10200,60104800,朱沱,1786219200000,4,200.91,长江干流
0,10100,60104800,朱沱,1786222800000,4,200.86,长江干流
0,10100,60104800,朱沱,1786226400000,4,200.82,长江干流
0,9970,60104800,朱沱,1786230000000,4,200.78,长江干流
0,9910,60104800,朱沱,1786237200000,6,200.75,长江干流
0,9970,60104800,朱沱,1786244400000,5,200.78,长江干流
0,10000,60104800,朱沱,1786248000000,5,200.81,长江干流
0,10100,60104800,朱沱,1786251600000,5,200.84,长江干流
0,10100,60104800,朱沱,1786255200000,5,200.86,长江干流
0,10200,60104800,朱沱,1786258800000,5,200.88,长江干流
0,10200,60104800,朱沱,1786262400000,6,200.88,长江干流
0,10200,60104800,朱沱,1786266000000,6,200.88,长江干流
0,10100,60104800,朱沱,1786269600000,4,200.85,长江干流
0,9970,60104800,朱沱,1786276800000,4,200.78,长江干流
0,9870,60104800,朱沱,1786280400000,4,200.73,长江干流
0,9760,60104800,朱沱,1786284000000,4,200.68,长江干流
0,9640,60104800,朱沱,1786287600000,4,200.62,长江干流
0,9530,60104800,朱沱,1786291200000,4,200.57,长江干流
0,9430,60104800,朱沱,1786294800000,4,200.52,长江干流
0,9320,60104800,朱沱,1786298400000,4,200.47,长江干流
0,9240,60104800,朱沱,1786302000000,4,200.43,长江干流
0,9160,60104800,朱沱,1786305600000,4,200.39,长江干流
0,9070,60104800,朱沱,1786309200000,4,200.35,长江干流
0,9010,60104800,朱沱,1786312800000,4,200.32,长江干流
0,8970,60104800,朱沱,1786316400000,4,200.3,长江干流
0,8850,60104800,朱沱,1786327200000,4,200.24,长江干流
0,8830,60104800,朱沱,1786330800000,4,200.23,长江干流
,8710.000,60104800,朱沱,1786341600000,4,200.170,长江干流
0,8650,60104800,朱沱,1786345200000,4,200.14,长江干流
0,8610,60104800,朱沱,1786348800000,4,200.12,长江干流
0,8570,60104800,朱沱,1786356000000,4,200.1,长江干流
0,8570,60104800,朱沱,1786359600000,6,200.1,长江干流
0,8590,60104800,朱沱,1786366800000,5,200.11,长江干流
0,8630,60104800,朱沱,1786370400000,5,200.13,长江干流
0,8670,60104800,朱沱,1786374000000,5,200.15,长江干流
0,8710,60104800,朱沱,1786377600000,5,200.17,长江干流
0,8750,60104800,朱沱,1786381200000,5,200.19,长江干流
0,8790,60104800,朱沱,1786384800000,5,200.21,长江干流
0,8810,60104800,朱沱,1786388400000,5,200.22,长江干流
0,8850,60104800,朱沱,1786392000000,5,200.24,长江干流
0,8870,60104800,朱沱,1786395600000,5,200.25,长江干流
0,8870,60104800,朱沱,1786399200000,6,200.25,长江干流
0,8910,60104800,朱沱,1786410000000,6,200.27,长江干流
0,8930,60104800,朱沱,1786417200000,5,200.28,长江干流
0,8910,60104800,朱沱,1786420800000,4,200.27,长江干流
0,8890,60104800,朱沱,1786424400000,4,200.26,长江干流
0,8890,60104800,朱沱,1786428000000,6,200.26,长江干流
0,8830,60104800,朱沱,1786435200000,4,200.23,长江干流
0,8790,60104800,朱沱,1786438800000,4,200.21,长江干流
0,8750,60104800,朱沱,1786442400000,4,200.19,长江干流
0,8730,60104800,朱沱,1786449600000,4,200.18,长江干流
0,8710,60104800,朱沱,1786453200000,4,200.17,长江干流
0,8730,60104800,朱沱,1786456800000,5,200.18,长江干流
0,8710,60104800,朱沱,1786460400000,4,200.17,长江干流
0,8690,60104800,朱沱,1786464000000,4,200.16,长江干流
0,8690,60104800,朱沱,1786467600000,6,200.16,长江干流
0,8670,60104800,朱沱,1786471200000,4,200.15,长江干流
0,8650,60104800,朱沱,1786474800000,4,200.14,长江干流
0,8610,60104800,朱沱,1786478400000,4,200.12,长江干流
0,8570,60104800,朱沱,1786482000000,4,200.1,长江干流
