oq,q,stcd,stnm,tm,wptn,z,rvnm
,,60114900,江口,1786201200000,4,10.21,长江干流
,,60114900,江口,1786204800000,6,10.21,长江干流
,,60114900,江口,1786208400000,4,10.2,长江干流
,,60114900,江口,1786212000000,6,10.2,长江干流
,,60114900,江口,1786215600000,6,10.2,长江干流
,,60114900,江口,1786219200000,6,10.2,长江干流
,,60114900,江口,1786222800000,4,10.19,长江干流
,,60114900,江口,1786226400000,4,10.18,长江干流
,,60114900,江口,1786230000000,6,10.18,长江干流
,,60114900,江口,1786240800000,4,10.19,长江干流
,,60114900,江口,1786244400000,5,10.2,长江干流
,,60114900,江口,1786251600000,4,10.2,长江干流
,,60114900,江口,1786255200000,6,10.2,长江干流
,,60114900,江口,1786258800000,6,10.2,长江干流
,,60114900,江口,1786262400000,4,10.19,长江干流
,,60114900,江口,1786266000000,5,10.2,长江干流
,,60114900,江口,1786269600000,4,10.19,长江干流
,,60114900,江口,1786273200000,6,10.19,长江干流
,,60114900,江口,1786280400000,6,10.17,长江干流
,,60114900,江口,1786284000000,6,10.17,长江干流
,,60114900,江口,1786287600000,6,10.17,长江干流
,,60114900,江口,1786291200000,5,10.18,长江干流
,,60114900,江口,1786294800000,6,10.18,长江干流
,,60114900,江口,1786298400000,4,10.17,长江干流
,,60114900,江口,1786302000000,6,10.17,长江干流
,,60114900,江口,1786305600000,5,10.18,长江干流
,,60114900,江口,1786309200000,4,10.17,长江干流
,,60114900,江口,1786312800000,6,10.17,长江干流
,,60114900,江口,1786316400000,6,10.17,长江干流
,,60114900,江口,1786320000000,6,10.17,长江干流
,,60114900,江口,1786327200000,5,10.21,长江干流
,,60114900,江口,1786334400000,6,10.25,长江干流
,,60114900,江口,1786341600000,4,10.26,长江干流
,,60114900,江口,1786348800000,5,10.28,长江干流
,,60114900,江口,1786352400000,6,10.28,长江干流
,,60114900,江口,1786359600000,5,10.3,长江干流
,,60114900,江口,1786363200000,5,10.31,长江干流
,,60114900,江口,1786366800000,6,10.31,长江干流
,,60114900,江口,1786374000000,5,10.34,长江干流
,,60114900,江口,1786377600000,5,10.37,长江干流
,,60114900,江口,1786381200000,5,10.39,长江干流
,,60114900,江口,1786388400000,5,10.43,长江干流
,,60114900,江口,1786392000000,5,10.45,长江干流
,,60114900,江口,1786395600000,5,10.46,长江干流
,,60114900,江口,1786399200000,5,10.47,长江干流
,,60114900,江口,1786402800000,5,10.49,长江干流
,,60114900,江口,1786413600000,6,10.51,长江干流
,,60114900,江口,1786417200000,5,10.54,长江干流
,,60114900,江口,1786424400000,5,10.6,长江干流
,,60114900,江口,1786428000000,5,10.62,长江干流
,,60114900,江口,1786431600000,5,10.63,长江干流
,,60114900,江口,1786438800000,5,10.65,长江干流
,,60114900,江口,1786442400000,5,10.66,长江干流
,,60114900,江口,1786446000000,5,10.67,长江干流
,,60114900,江口,1786453200000,6,10.68,长江干流
,,60114900,江口,1786456800000,6,10.68,长江干流
,,60114900,江口,1786460400000,6,10.68,长江干流
,,60114900,江口,1786464000000,5,10.69,长江干流
,,60114900,江口,1786467600000,5,10.7,长江干流
,,60114900,江口,1786471200000,6,10.7,长江干流
,,60114900,江口,1786474800000,6,10.7,长江干流
,,60114900,江口,1786478400000,6,10.7,长江干流
,,60114900,江口,1786482000000,5,10.71,长江干流
,,60114900,江口,1786485600000,4,10.7,长江干流
,,60114900,江口,1786489200000,6,10.7,长江干流
,,60114900,江口,1786492800000,6,10.7,长江干流
,,60114900,江口,1786503600000,6,10.7,长江干流
,,60114900,江口,1786507200000,5,10.72,长江干流
,,60114900,江口,1786514400000,5,10.76,长江干流
,,60114900,江口,1786518000000,5,10.77,长江干流
,,60114900,江口,1786525200000,6,10.77,长江干流
,,60114900,江口,1786528800000,5,10.78,长江干流
,,60114900,江口,1786532400000,6,10.78,长江干流
,,60114900,江口,1786536000000,6,10.78,长江干流
,,60114900,江口,1786543200000,4,10.77,长江干流
,,60114900,江口,1786546800000,6,10.77,长江干流
,,60114900,江口,1786550400000,4,10.76,长江干流
,,60114900,江口,1786554000000,6,10.76,长江干流
,,60114900,江口,1786557600000,5,10.77,长江干流
,,60114900,江口,1786561200000,6,10.77,长江干流
,,60114900,江口,1786564800000,6,10.77,长江干流
,,60114900,江口,1786568400000,6,10.77,长江干流
,,60114900,江口,1786572000000,6,10.77,长江干流
,,60114900,江口,1786575600000,4,10.76,长江干流
,,60114900,江口,1786579200000,6,10.76,长江干流
,,60114900,江口,1786590000000,6,10.74,长江干流
,,60114900,江口,1786597200000,5,10.76,长江干流
,,60114900,江口,1786600800000,5,10.78,长江干流
,,60114900,江口,1786608000000,5,10.8,长江干流
,,60114900,江口,1786611600000,4,10.79,长江干流
,,60114900,江口,1786615200000,6,10.79,长江干流
,,60114900,江口,1786618800000,4,10.78,长江干流
,,60114900,江口,1786622400000,6,10.78,长江干流
,,60114900,江口,1786629600000,4,10.77,长江干流
,,60114900,江口,1786633200000,4,10.76,长江干流
,,60114900,江口,1786636800000,4,10.75,长江干流
,,60114900,江口,1786640400000,4,10.74,长江干流
,,60114900,江口,1786644000000,6,10.74,长江干流
,,60114900,江口,1786647600000,5,10.75,长江干流
,,60114900,江口,1786651200000,4,10.74,长江干流
,,60114900,江口,1786654800000,6,10.74,长江干流
,,60114900,江口,1786658400000,4,10.73,长江干流
,,60114900,江口,1786662000000,6,10.73,长江干流
,,60114900,江口,1786665600000,6,10.73,长江干流
,,60114900,江口,1786676400000,6,10.72,长江干流
,,60114900,江口,1786683600000,5,10.72,长江干流
,,60114900,江口,1786687200000,5,10.74,长江干流
,,60114900,江口,1786690800000,5,10.77,长江干流
,,60114900,江口,1786698000000,6,10.78,长江干流
,,60114900,江口,1786701600000,5,10.79,长江干流
,,60114900,江口,1786705200000,4,10.78,长江干流
,,60114900,江口,1786708800000,6,10.78,长江干流
,,60114900,江口,1786712400000,6,10.78,长江干流
,,60114900,江口,1786719600000,6,10.78,长江干流
