kind,oq,q,rvnm,sort,status,stcd,stnm,stype,tm,websiteid,wptn,z
1,0,0,陆水,460,1,61705023,蒲圻,0,1786201200000,5,5,28.54
1,0,0,陆水,460,1,61705023,蒲圻,0,1786204800000,5,6,28.54
1,0,0,陆水,460,1,61705023,蒲圻,0,1786208400000,5,5,28.55
1,0,0,陆水,460,1,61705023,蒲圻,0,1786212000000,5,5,28.56
1,0,0,陆水,460,1,61705023,蒲圻,0,1786215600000,5,5,28.57
1,0,0,陆水,460,1,61705023,蒲圻,0,1786219200000,5,5,28.58
1,0,0,陆水,460,1,61705023,蒲圻,0,1786222800000,5,6,28.58
1,0,0,陆水,460,1,61705023,蒲圻,0,1786226400000,5,5,28.59
1,0,0,陆水,460,1,61705023,蒲圻,0,1786230000000,5,5,28.6
1,0,0,陆水,460,1,61705023,蒲圻,0,1786240800000,5,5,28.63
1,0,0,陆水,460,1,61705023,蒲圻,0,1786244400000,5,5,28.64
1,0,0,陆水,460,1,61705023,蒲圻,0,1786251600000,5,5,28.66
1,0,0,陆水,460,1,61705023,蒲圻,0,1786255200000,5,5,28.67
1,0,0,陆水,460,1,61705023,蒲圻,0,1786258800000,5,5,28.68
1,0,0,陆水,460,1,61705023,蒲圻,0,1786262400000,5,5,28.7
1,0,0,陆水,460,1,61705023,蒲圻,0,1786266000000,5,6,28.7
1,0,0,陆水,460,1,61705023,蒲圻,0,1786269600000,5,5,28.71
1,0,0,陆水,460,1,61705023,蒲圻,0,1786273200000,5,5,28.72
1,0,0,陆水,460,1,61705023,蒲圻,0,1786280400000,5,5,28.74
1,0,0,陆水,460,1,61705023,蒲圻,0,1786284000000,5,6,28.74
1,0,0,陆水,460,1,61705023,蒲圻,0,1786287600000,5,5,28.75
1,0,0,陆水,460,1,61705023,蒲圻,0,1786291200000,5,5,28.76
1,0,0,陆水,460,1,61705023,蒲圻,0,1786294800000,5,5,28.77
1,0,0,陆水,460,1,61705023,蒲圻,0,1786298400000,5,5,28.78
1,0,0,陆水,460,1,61705023,蒲圻,0,1786302000000,5,5,28.79
1,0,0,陆水,460,1,61705023,蒲圻,0,1786305600000,5,5,28.8
1,0,0,陆水,460,1,61705023,蒲圻,0,1786309200000,5,5,28.81
1,0,0,陆水,460,1,61705023,蒲圻,0,1786312800000,5,5,28.82
1,0,0,陆水,460,1,61705023,蒲圻,0,1786316400000,5,6,28.82
1,0,0,陆水,460,1,61705023,蒲圻,0,1786320000000,5,5,28.84
1,0,0,陆水,460,1,61705023,蒲圻,0,1786327200000,5,5,28.86
1,0,0,陆水,460,1,61705023,蒲圻,0,1786334400000,5,5,28.88
1,0,0,陆水,460,1,61705023,蒲圻,0,1786341600000,5,5,28.89
1,0,0,陆水,460,1,61705023,蒲圻,0,1786348800000,5,5,28.91
1,0,0,陆水,460,1,61705023,蒲圻,0,1786352400000,5,6,28.91
1,0,0,陆水,460,1,61705023,蒲圻,0,1786359600000,5,5,28.93
1,0,0,陆水,460,1,61705023,蒲圻,0,1786363200000,5,5,28.95
1,0,0,陆水,460,1,61705023,蒲圻,0,1786366800000,5,6,28.95
1,0,0,陆水,460,1,61705023,蒲圻,0,1786374000000,5,5,28.97
1,0,0,陆水,460,1,61705023,蒲圻,0,1786377600000,5,5,28.99
1,0,0,陆水,460,1,61705023,蒲圻,0,1786381200000,5,5,29
1,0,0,陆水,460,1,61705023,蒲圻,0,1786384800000,5,5,29.01
1,0,0,陆水,460,1,61705023,蒲圻,0,1786388400000,5,5,29.02
1,0,0,陆水,460,1,61705023,蒲圻,0,1786392000000,5,5,29.04
1,0,0,陆水,460,1,61705023,蒲圻,0,1786395600000,5,5,29.05
1,0,0,陆水,460,1,61705023,蒲圻,0,1786399200000,5,5,29.06
1,0,0,陆水,460,1,61705023,蒲圻,0,1786402800000,5,5,29.08
1,0,0,陆水,460,1,61705023,蒲圻,0,1786413600000,5,4,29.1
1,0,0,陆水,460,1,61705023,蒲圻,0,1786417200000,5,5,29.11
1,0,0,陆水,460,1,61705023,蒲圻,0,1786424400000,5,6,29.1
1,0,0,陆水,460,1,61705023,蒲圻,0,1786428000000,5,4,29.09
1,0,0,陆水,460,1,61705023,蒲圻,0,1786431600000,5,5,29.1
1,0,0,陆水,460,1,61705023,蒲圻,0,1786438800000,5,6,29.09
1,0,0,陆水,460,1,61705023,蒲圻,0,1786442400000,5,4,29.08
1,0,0,陆水,460,1,61705023,蒲圻,0,1786446000000,5,6,29.08
1,0,0,陆水,460,1,61705023,蒲圻,0,1786453200000,5,4,29.07
