kind,oq,q,rvnm,sort,status,stcd,stnm,stype,tm,websiteid,wptn,z
1,0,0,东洞庭湖,390,1,61511000,鹿角,0,1788206400000,5,6,27.33
1,0,0,东洞庭湖,390,1,61511000,鹿角,0,1788220800000,5,5,27.36
1,0,0,东洞庭湖,390,1,61511000,鹿角,0,1788238800000,5,5,27.4
1,0,0,东洞庭湖,390,1,61511000,鹿角,0,1788256800000,5,5,27.44
1,0,0,东洞庭湖,390,1,61511000,鹿角,0,1788274800000,5,5,27.49
1,0,0,东洞庭湖,390,1,61511000,鹿角,0,1788285600000,5,5,27.52
1,0,0,东洞庭湖,390,1,61511000,鹿角,0,1788296400000,5,5,27.54
1,0,0,东洞庭湖,390,1,61511000,鹿角,0,1788303600000,5,6,27.54
1,0,0,东洞庭湖,390,1,61511000,鹿角,0,1788310800000,5,5,27.55
1,0,0,东洞庭湖,390,1,61511000,鹿角,0,1788328800000,5,5,27.56
1,0,0,东洞庭湖,390,1,61511000,鹿角,0,1788346800000,5,6,27.58
1,0,0,东洞庭湖,390,1,61511000,鹿角,0,1788361200000,5,6,27.57
