kind,oq,q,rvnm,sort,status,stcd,stnm,stype,tm,websiteid,wptn,z
1,0,778,松虎合流,210,1,61505900,安乡,0,1788206400000,5,6,30.37
1,0,766,松虎合流,210,1,61505900,安乡,0,1788220800000,5,4,30.33
1,0,751,松虎合流,210,1,61505900,安乡,0,1788238800000,5,4,30.28
1,0,747,松虎合流,210,1,61505900,安乡,0,1788256800000,5,4,30.24
1,0,734,松虎合流,210,1,61505900,安乡,0,1788274800000,5,4,30.22
1,0,722,松虎合流,210,1,61505900,安乡,0,1788285600000,5,4,30.21
1,0,713,松虎合流,210,1,61505900,安乡,0,1788296400000,5,6,30.2
1,0,712,松虎合流,210,1,61505900,安乡,0,1788303600000,5,4,30.18
1,0,705,松虎合流,210,1,61505900,安乡,0,1788310800000,5,4,30.17
1,0,684,松虎合流,210,1,61505900,安乡,0,1788328800000,5,4,30.12
1,0,668,松虎合流,210,1,61505900,安乡,0,1788346800000,5,6,30.09
1,0,664,松虎合流,210,1,61505900,安乡,0,1788361200000,5,4,30.07
1,0,652,松虎合流,210,1,61505900,安乡,0,1788372000000,5,6,30.06
1,0,648,松虎合流,210,1,61505900,安乡,0,1788382800000,5,6,30.04
1,0,643,松虎合流,210,1,61505900,安乡,0,1788390000000,5,4,30.02
1,0,636,松虎合流,210,1,61505900,安乡,0,1788397200000,5,4,30
1,0,610,松虎合流,210,1,61505900,安乡,0,1788415200000,5,4,29.93
1,0,597,松虎合流,210,1,61505900,安乡,0,1788433200000,5,4,29.9
1,0,592,松虎合流,210,1,61505900,安乡,0,1788447600000,5,4,29.87
1,0,596,松虎合流,210,1,61505900,安乡,0,1788458400000,5,6,29.86
1,0,589,松虎合流,210,1,61505900,安乡,0,1788469200000,5,4,29.84
1,0,586,松虎合流,210,1,61505900,安乡,0,1788476400000,5,6,29.84
1,0,583,松虎合流,210,1,61505900,安乡,0,1788483600000,5,4,29.83
1,0,567,松虎合流,210,1,61505900,安乡,0,1788501600000,5,4,29.79
1,0,557,松虎合流,210,1,61505900,安乡,0,1788519600000,5,6,29.76
1,0,551,松虎合流,210,1,61505900,安乡,0,1788534000000,5,6,29.75
1,0,546,松虎合流,210,1,61505900,安乡,0,1788544800000,5,6,29.75
1,0,545,松虎合流,210,1,61505900,安乡,0,1788552000000,5,6,29.74
1,0,542,松虎合流,210,1,61505900,安乡,0,1788559200000,5,4,29.73
1,0,536,松虎合流,210,1,61505900,安乡,0,1788566400000,5,4,29.72
