kind,oq,q,rvnm,sort,status,stcd,stnm,stype,tm,websiteid,wptn,z
1,0,0,松虎合流,220,1,61505901,白蚌口,0,1788206400000,5,4,30.18
1,0,0,松虎合流,220,1,61505901,白蚌口,0,1788220800000,5,6,30.14
1,0,0,松虎合流,220,1,61505901,白蚌口,0,1788238800000,5,6,30.1
1,0,0,松虎合流,220,1,61505901,白蚌口,0,1788256800000,5,4,30.05
1,0,0,松虎合流,220,1,61505901,白蚌口,0,1788274800000,5,4,30.04
1,0,0,松虎合流,220,1,61505901,白蚌口,0,1788285600000,5,6,30.04
1,0,0,松虎合流,220,1,61505901,白蚌口,0,1788296400000,5,6,30.03
1,0,0,松虎合流,220,1,61505901,白蚌口,0,1788303600000,5,4,29.99
1,0,0,松虎合流,220,1,61505901,白蚌口,0,1788310800000,5,4,29.98
1,0,0,松虎合流,220,1,61505901,白蚌口,0,1788328800000,5,4,29.94
1,0,0,松虎合流,220,1,61505901,白蚌口,0,1788346800000,5,6,29.93
1,0,0,松虎合流,220,1,61505901,白蚌口,0,1788361200000,5,4,29.91
