kind,oq,q,rvnm,sort,status,stcd,stnm,stype,tm,websiteid,wptn,z
1,0,0,横岭湖,380,1,61509900,营田,0,1788206400000,5,5,27.56
1,0,0,横岭湖,380,1,61509900,营田,0,1788220800000,5,6,27.57
1,0,0,横岭湖,380,1,61509900,营田,0,1788238800000,5,5,27.64
1,0,0,横岭湖,380,1,61509900,营田,0,1788256800000,5,5,27.72
1,0,0,横岭湖,380,1,61509900,营田,0,1788274800000,5,6,27.76
1,0,0,横岭湖,380,1,61509900,营田,0,1788285600000,5,6,27.77
1,0,0,横岭湖,380,1,61509900,营田,0,1788296400000,5,6,27.78
1,0,0,横岭湖,380,1,61509900,营田,0,1788303600000,5,4,27.78
1,0,0,横岭湖,380,1,61509900,营田,0,1788310800000,5,4,27.8
1,0,0,横岭湖,380,1,61509900,营田,0,1788328800000,5,6,27.82
1,0,0,横岭湖,380,1,61509900,营田,0,1788346800000,5,4,27.81
1,0,0,横岭湖,380,1,61509900,营田,0,1788361200000,5,6,27.81
1,0,0,横岭湖,380,1,61509900,营田,0,1788372000000,5,4,27.76
1,0,0,横岭湖,380,1,61509900,营田,0,1788382800000,5,4,27.74
1,0,0,横岭湖,380,1,61509900,营田,0,1788390000000,5,4,27.72
1,0,0,横岭湖,380,1,61509900,营田,0,1788397200000,5,4,27.7
1,0,0,横岭湖,380,1,61509900,营田,0,1788415200000,5,4,27.66
1,0,0,横岭湖,380,1,61509900,营田,0,1788433200000,5,4,27.63
1,0,0,横岭湖,380,1,61509900,营田,0,1788447600000,5,4,27.6
1,0,0,横岭湖,380,1,61509900,营田,0,1788458400000,5,6,27.6
1,0,0,横岭湖,380,1,61509900,营田,0,1788469200000,5,6,27.59
1,0,0,横岭湖,380,1,61509900,营田,0,1788476400000,5,6,27.6
1,0,0,横岭湖,380,1,61509900,营田,0,1788483600000,5,6,27.6
1,0,0,横岭湖,380,1,61509900,营田,0,1788501600000,5,6,27.64
1,0,0,横岭湖,380,1,61509900,营田,0,1788519600000,5,5,27.69
1,0,0,横岭湖,380,1,61509900,营田,0,1788530400000,5,6,27.7
1,0,0,横岭湖,380,1,61509900,营田,0,1788544800000,5,6,27.72
1,0,0,横岭湖,380,1,61509900,营田,0,1788552000000,5,6,27.74
1,0,0,横岭湖,380,1,61509900,营田,0,1788559200000,5,5,27.76
1,0,0,横岭湖,380,1,61509900,营田,0,1788566400000,5,6,27.76
1,0,0,横岭湖,380,1,61509900,营田,0,1788584400000,5,5,27.82
1,0,0,横岭湖,380,1,61509900,营田,0,1788598800000,5,5,27.85
1,0,0,横岭湖,380,1,61509900,营田,0,1788609600000,5,6,27.86
1,0,0,横岭湖,380,1,61509900,营田,0,1788624000000,5,5,27.88
