q,tm,wptn,z,stcd,stnm,www,rvnm
0.16,1788206400000,6,78.71,62018710,琚湾,1,汉江
0.16,1788220800000,6,78.71,62018710,琚湾,1,汉江
0.16,1788238800000,6,78.71,62018710,琚湾,1,汉江
0.16,1788256800000,6,78.71,62018710,琚湾,1,汉江
0.16,1788274800000,6,78.71,62018710,琚湾,1,汉江
0.16,1788285600000,6,78.71,62018710,琚湾,1,汉江
0.16,1788296400000,6,78.71,62018710,琚湾,1,汉江
0.16,1788303600000,6,78.71,62018710,琚湾,1,汉江
0.16,1788310800000,6,78.71,62018710,琚湾,1,汉江
0.16,1788328800000,6,78.71,62018710,琚湾,1,汉江
0.16,1788346800000,6,78.71,62018710,琚湾,1,汉江
0.16,1788361200000,6,78.71,62018710,琚湾,1,汉江
0.16,1788372000000,6,78.71,62018710,琚湾,1,汉江
0.16,1788382800000,6,78.71,62018710,琚湾,1,汉江
0.16,1788390000000,6,78.71,62018710,琚湾,1,汉江
0.16,1788397200000,6,78.71,62018710,琚湾,1,汉江
0.16,1788415200000,6,78.71,62018710,琚湾,1,汉江
0.16,1788433200000,6,78.71,62018710,琚湾,1,汉江
0.16,1788447600000,6,78.71,62018710,琚湾,1,汉江
0.16,1788458400000,6,78.71,62018710,琚湾,1,汉江
0.278,1788469200000,5,78.72,62018710,琚湾,1,汉江
0.278,1788476400000,6,78.72,62018710,琚湾,1,汉江
0.278,1788483600000,6,78.72,62018710,琚湾,1,汉江
