q,tm,wptn,z,stcd,stnm,www,rvnm
195.0,1788206400000,4,179.36,61801700,白河,2,汉江
140.0,1788220800000,4,179.38,61801700,白河,2,汉江
263.0,1788238800000,6,179.38,61801700,白河,2,汉江
844.0,1788256800000,4,179.35,61801700,白河,2,汉江
,1788274800000,5,179.43,61801700,白河,2,汉江
38.4,1788285600000,5,179.29,61801700,白河,2,汉江
272.0,1788296400000,4,179.33,61801700,白河,2,汉江
182.0,1788303600000,4,179.33,61801700,白河,2,汉江
205.0,1788310800000,6,179.33,61801700,白河,2,汉江
93.6,1788328800000,6,179.33,61801700,白河,2,汉江
392.0,1788346800000,5,179.39,61801700,白河,2,汉江
1050.0,1788361200000,5,179.41,61801700,白河,2,汉江
