q,tm,wptn,z,stcd,stnm,www,rvnm
262.0,1788206400000,4,149.17,62001900,陶岔,1,汉江
264.0,1788220800000,4,149.2,62001900,陶岔,1,汉江
267.0,1788238800000,5,149.24,62001900,陶岔,1,汉江
259.0,1788256800000,4,149.19,62001900,陶岔,1,汉江
262.0,1788274800000,5,149.29,62001900,陶岔,1,汉江
260.0,1788285600000,5,149.27,62001900,陶岔,1,汉江
270.0,1788296400000,5,149.28,62001900,陶岔,1,汉江
258.0,1788303600000,5,149.26,62001900,陶岔,1,汉江
263.0,1788310800000,4,149.24,62001900,陶岔,1,汉江
,1788314400000,6,149.24,62001900,陶岔,1,汉江
263.0,1788328800000,6,149.26,62001900,陶岔,1,汉江
258.0,1788350400000,6,149.29,62001900,陶岔,1,汉江
257.0,1788393600000,6,149.31,62001900,陶岔,1,汉江
270.0,1788415200000,6,,62001900,陶岔,1,汉江
260.0,1788436800000,6,149.42,62001900,陶岔,1,汉江
261.0,1788472800000,6,149.35,62001900,陶岔,1,汉江
270.0,1788480000000,6,149.35,62001900,陶岔,1,汉江
266.0,1788488610000,4,149.6,62001900,陶岔,1,汉江
266.0,1788501600000,6,149.3,62001900,陶岔,1,汉江
261.0,1788523200000,6,149.27,62001900,陶岔,1,汉江
264.0,1788566400000,6,149.35,62001900,陶岔,1,汉江
267.0,1788577200000,6,149.38,62001900,陶岔,1,汉江
265.0,1788595200000,6,149.3,62001900,陶岔,1,汉江
265.0,1788609600000,6,149.29,62001900,陶岔,1,汉江
263.0,1788631200000,6,149.28,62001900,陶岔,1,汉江
271.0,1788652800000,6,149.31,62001900,陶岔,1,汉江
274.0,1788674400000,6,149.31,62001900,陶岔,1,汉江
270.0,1788699600000,6,149.31,62001900,陶岔,1,汉江
267.0,1788739200000,6,149.26,62001900,陶岔,1,汉江
269.0,1788782400000,6,149.29,62001900,陶岔,1,汉江
269.0,1788804000000,6,149.29,62001900,陶岔,1,汉江
269.0,1788825600000,6,149.3,62001900,陶岔,1,汉江
268.0,1788847200000,6,149.27,62001900,陶岔,1,汉江
272.0,1788854400000,6,149.27,62001900,陶岔,1,汉江
268.0,1788868800000,6,149.31,62001900,陶岔,1,汉江
266.0,1788933600000,5,149.44,62001900,陶岔,1,汉江
261.0,1788955200000,6,,62001900,陶岔,1,汉江
266.0,1788976800000,4,149.29,62001900,陶岔,1,汉江
264.0,1788998400000,6,,62001900,陶岔,1,汉江
268.0,1789027200000,6,149.42,62001900,陶岔,1,汉江
256.0,1789041600000,6,149.32,62001900,陶岔,1,汉江
255.0,1789084800000,6,149.28,62001900,陶岔,1,汉江
