q,tm,wptn,z,stcd,stnm,www,rvnm
85.0,1788206400000,4,163.98,61902600,黄龙滩,2,汉江
0.0,1788220800000,4,163.94,61902600,黄龙滩,2,汉江
173.0,1788238800000,5,164.0,61902600,黄龙滩,2,汉江
67.4,1788256800000,5,163.97,61902600,黄龙滩,2,汉江
59.6,1788274800000,4,163.97,61902600,黄龙滩,2,汉江
187.0,1788285600000,4,163.86,61902600,黄龙滩,2,汉江
69.3,1788296400000,5,163.89,61902600,黄龙滩,2,汉江
47.2,1788303600000,5,163.95,61902600,黄龙滩,2,汉江
0.0,1788310800000,4,163.97,61902600,黄龙滩,2,汉江
56.1,1788328800000,5,163.95,61902600,黄龙滩,2,汉江
58.4,1788346800000,4,163.77,61902600,黄龙滩,2,汉江
106.0,1788361200000,5,164.02,61902600,黄龙滩,2,汉江
141.0,1788372000000,4,163.84,61902600,黄龙滩,2,汉江
71.0,1788382800000,4,163.68,61902600,黄龙滩,2,汉江
63.1,1788390000000,6,163.89,61902600,黄龙滩,2,汉江
0.0,1788397200000,5,163.98,61902600,黄龙滩,2,汉江
40.7,1788415200000,4,163.92,61902600,黄龙滩,2,汉江
141.0,1788433200000,4,163.71,61902600,黄龙滩,2,汉江
166.0,1788447600000,5,164.04,61902600,黄龙滩,2,汉江
0.0,1788458400000,5,163.91,61902600,黄龙滩,2,汉江
29.5,1788469200000,5,163.84,61902600,黄龙滩,2,汉江
19.4,1788476400000,6,163.85,61902600,黄龙滩,2,汉江
10.9,1788483600000,5,163.94,61902600,黄龙滩,2,汉江
112.0,1788501600000,5,163.9,61902600,黄龙滩,2,汉江
299.0,1788519600000,4,163.7,61902600,黄龙滩,2,汉江
335.0,1788534000000,5,164.35,61902600,黄龙滩,2,汉江
95.6,1788544800000,5,163.82,61902600,黄龙滩,2,汉江
69.5,1788555600000,4,163.71,61902600,黄龙滩,2,汉江
0.0,1788559200000,5,163.9,61902600,黄龙滩,2,汉江
41.2,1788566400000,4,163.81,61902600,黄龙滩,2,汉江
123.0,1788584400000,5,163.82,61902600,黄龙滩,2,汉江
425.0,1788598800000,5,164.21,61902600,黄龙滩,2,汉江
598.0,1788609600000,4,164.06,61902600,黄龙滩,2,汉江
254.0,1788624000000,5,163.97,61902600,黄龙滩,2,汉江
