rvnm,stcd,stnm,tm,wptn,z
汉江,61802500,龙王庙,1788206400000,6,163.900
汉江,61802500,龙王庙,1788220800000,6,163.890
汉江,61802500,龙王庙,1788238800000,6,163.880
汉江,61802500,龙王庙,1788256800000,4,163.860
汉江,61802500,龙王庙,1788274800000,6,163.860
汉江,61802500,龙王庙,1788285600000,5,163.880
汉江,61802500,龙王庙,1788296400000,6,163.860
汉江,61802500,龙王庙,1788303600000,4,163.850
汉江,61802500,龙王庙,1788310800000,6,163.840
汉江,61802500,龙王庙,1788328800000,6,163.850
汉江,61802500,龙王庙,1788346800000,4,163.830
汉江,61802500,龙王庙,1788361200000,4,163.810
汉江,61802500,龙王庙,1788372000000,5,163.830
汉江,61802500,龙王庙,1788382800000,4,163.820
汉江,61802500,龙王庙,1788390000000,6,163.830
汉江,61802500,龙王庙,1788397200000,4,163.810
汉江,61802500,龙王庙,1788415200000,4,163.810
汉江,61802500,龙王庙,1788433200000,4,163.790
汉江,61802500,龙王庙,1788447600000,6,163.790
汉江,61802500,龙王庙,1788458400000,4,163.780
汉江,61802500,龙王庙,1788469200000,5,163.810
汉江,61802500,龙王庙,1788476400000,4,163.770
汉江,61802500,龙王庙,1788483600000,4,163.770
汉江,61802500,龙王庙,1788501600000,6,163.780
汉江,61802500,龙王庙,1788519600000,6,163.770
汉江,61802500,龙王庙,1788530400000,5,163.760
汉江,61802500,龙王庙,1788534000000,5,163.77
汉江,61802500,龙王庙,1788544800000,4,163.770
汉江,61802500,龙王庙,1788552000000,5,163.780
汉江,61802500,龙王庙,1788555600000,4,163.76
汉江,61802500,龙王庙,1788559200000,4,163.750
汉江,61802500,龙王庙,1788566400000,5,163.770
汉江,61802500,龙王庙,1788584400000,5,163.780
汉江,61802500,龙王庙,1788598800000,4,163.730
汉江,61802500,龙王庙,1788609600000,5,163.740
汉江,61802500,龙王庙,1788620400000,4,163.760
汉江,61802500,龙王庙,1788624000000,6,163.76
汉江,61802500,龙王庙,1788631200000,5,163.760
汉江,61802500,龙王庙,1788638400000,5,163.760
汉江,61802500,龙王庙,1788645600000,4,163.760
