q,rvnm,stcd,stnm,tm,wptn,z
12000,洞庭湖湖口,61512000,七里山,1788206400000,5,26.800
12100,洞庭湖湖口,61512000,七里山,1788220800000,5,26.820
12200,洞庭湖湖口,61512000,七里山,1788238800000,5,26.860
12100,洞庭湖湖口,61512000,七里山,1788256800000,6,26.820
12900,洞庭湖湖口,61512000,七里山,1788274800000,5,26.900
13000,洞庭湖湖口,61512000,七里山,1788285600000,4,26.910
13100,洞庭湖湖口,61512000,七里山,1788296400000,5,26.950
13200,洞庭湖湖口,61512000,七里山,1788303600000,5,26.970
13200,洞庭湖湖口,61512000,七里山,1788310800000,6,26.970
12700,洞庭湖湖口,61512000,七里山,1788328800000,6,26.980
12900,洞庭湖湖口,61512000,七里山,1788346800000,5,27.020
12800,洞庭湖湖口,61512000,七里山,1788361200000,6,27.010
12800,洞庭湖湖口,61512000,七里山,1788372000000,4,27.010
12900,洞庭湖湖口,61512000,七里山,1788382800000,6,27.020
12800,洞庭湖湖口,61512000,七里山,1788390000000,4,27.010
12800,洞庭湖湖口,61512000,七里山,1788397200000,4,27.000
12800,洞庭湖湖口,61512000,七里山,1788415200000,5,27.000
12700,洞庭湖湖口,61512000,七里山,1788433200000,4,26.970
12700,洞庭湖湖口,61512000,七里山,1788447600000,6,26.970
12600,洞庭湖湖口,61512000,七里山,1788458400000,4,26.930
12500,洞庭湖湖口,61512000,七里山,1788469200000,6,26.920
