kind,oq,q,rvnm,sort,status,stcd,stnm,stype,tm,websiteid,wptn,z
1,0,0,洞庭湖湖口,400,1,61511900,岳阳,0,1788206400000,5,5,26.84
1,0,0,洞庭湖湖口,400,1,61511900,岳阳,0,1788220800000,5,5,26.86
1,0,0,洞庭湖湖口,400,1,61511900,岳阳,0,1788238800000,5,5,26.89
1,0,0,洞庭湖湖口,400,1,61511900,岳阳,0,1788256800000,5,6,26.87
1,0,0,洞庭湖湖口,400,1,61511900,岳阳,0,1788274800000,5,5,26.94
1,0,0,洞庭湖湖口,400,1,61511900,岳阳,0,1788285600000,5,4,26.96
1,0,0,洞庭湖湖口,400,1,61511900,岳阳,0,1788296400000,5,5,27
1,0,0,洞庭湖湖口,400,1,61511900,岳阳,0,1788303600000,5,5,27.01
1,0,0,洞庭湖湖口,400,1,61511900,岳阳,0,1788310800000,5,6,27.01
1,0,0,洞庭湖湖口,400,1,61511900,岳阳,0,1788328800000,5,5,27.03
1,0,0,洞庭湖湖口,400,1,61511900,岳阳,0,1788346800000,5,6,27.06
1,0,0,洞庭湖湖口,400,1,61511900,岳阳,0,1788361200000,5,6,27.06
1,0,0,洞庭湖湖口,400,1,61511900,岳阳,0,1788372000000,5,4,27.06
1,0,0,洞庭湖湖口,400,1,61511900,岳阳,0,1788382800000,5,4,27.06
1,0,0,洞庭湖湖口,400,1,61511900,岳阳,0,1788390000000,5,4,27.06
1,0,0,洞庭湖湖口,400,1,61511900,岳阳,0,1788397200000,5,4,27.05
1,0,0,洞庭湖湖口,400,1,61511900,岳阳,0,1788415200000,5,5,27.06
1,0,0,洞庭湖湖口,400,1,61511900,岳阳,0,1788433200000,5,6,27.02
1,0,0,洞庭湖湖口,400,1,61511900,岳阳,0,1788447600000,5,6,27.01
1,0,0,洞庭湖湖口,400,1,61511900,岳阳,0,1788458400000,5,4,26.98
1,0,0,洞庭湖湖口,400,1,61511900,岳阳,0,1788469200000,5,4,26.96
1,0,0,洞庭湖湖口,400,1,61511900,岳阳,0,1788476400000,5,6,26.96
1,0,0,洞庭湖湖口,400,1,61511900,岳阳,0,1788483600000,5,5,26.96
1,0,0,洞庭湖湖口,400,1,61511900,岳阳,0,1788501600000,5,6,26.93
1,0,0,洞庭湖湖口,400,1,61511900,岳阳,0,1788519600000,5,5,26.95
1,0,0,洞庭湖湖口,400,1,61511900,岳阳,0,1788534000000,5,4,26.95
1,0,0,洞庭湖湖口,400,1,61511900,岳阳,0,1788544800000,5,6,26.96
1,0,0,洞庭湖湖口,400,1,61511900,岳阳,0,1788552000000,5,6,26.97
