kind,oq,q,rvnm,sort,status,stcd,stnm,stype,tm,websiteid,wptn,z
1,0,543,澧水,110,1,61503800,石龟山,1,1788206400000,5,4,30.84
1,0,543,澧水,110,1,61503800,石龟山,1,1788220800000,5,4,30.77
1,0,473,澧水,110,1,61503800,石龟山,1,1788238800000,5,4,30.67
1,0,461,澧水,110,1,61503800,石龟山,1,1788256800000,5,4,30.61
1,0,504,澧水,110,1,61503800,石龟山,1,1788274800000,5,6,30.6
1,0,539,澧水,110,1,61503800,石龟山,1,1788285600000,5,5,30.61
1,0,486,澧水,110,1,61503800,石龟山,1,1788296400000,5,6,30.58
1,0,449,澧水,110,1,61503800,石龟山,1,1788303600000,5,4,30.55
1,0,447,澧水,110,1,61503800,石龟山,1,1788310800000,5,6,30.54
1,0,405,澧水,110,1,61503800,石龟山,1,1788328800000,5,4,30.48
