kind,oq,q,rvnm,sort,status,stcd,stnm,stype,tm,websiteid,wptn,z
1,0,0,目平湖,260,1,61507700,沙湾,0,1788206400000,5,6,29.06
1,0,0,目平湖,260,1,61507700,沙湾,0,1788220800000,5,5,29.04
1,0,0,目平湖,260,1,61507700,沙湾,0,1788238800000,5,4,29.02
1,0,0,目平湖,260,1,61507700,沙湾,0,1788256800000,5,6,29.01
1,0,0,目平湖,260,1,61507700,沙湾,0,1788274800000,5,6,29
1,0,0,目平湖,260,1,61507700,沙湾,0,1788285600000,5,6,29
1,0,0,目平湖,260,1,61507700,沙湾,0,1788296400000,5,6,29
1,0,0,目平湖,260,1,61507700,沙湾,0,1788303600000,5,6,29
1,0,0,目平湖,260,1,61507700,沙湾,0,1788310800000,5,6,29
1,0,0,目平湖,260,1,61507700,沙湾,0,1788328800000,5,4,28.98
1,0,0,目平湖,260,1,61507700,沙湾,0,1788346800000,5,4,28.95
1,0,0,目平湖,260,1,61507700,沙湾,0,1788361200000,5,4,28.91
1,0,0,目平湖,260,1,61507700,沙湾,0,1788372000000,5,4,28.88
1,0,0,目平湖,260,1,61507700,沙湾,0,1788382800000,5,6,28.86
1,0,0,目平湖,260,1,61507700,沙湾,0,1788390000000,5,4,28.83
1,0,0,目平湖,260,1,61507700,沙湾,0,1788397200000,5,4,28.82
1,0,0,目平湖,260,1,61507700,沙湾,0,1788415200000,5,6,28.79
1,0,0,目平湖,260,1,61507700,沙湾,0,1788433200000,5,6,28.76
1,0,0,目平湖,260,1,61507700,沙湾,0,1788447600000,5,6,28.74
1,0,0,目平湖,260,1,61507700,沙湾,0,1788458400000,5,6,28.73
