kind,oq,q,rvnm,sort,status,stcd,stnm,stype,tm,websiteid,wptn,z
1,0,108,藕池河(北支),90,1,61503010,南县(罗文窖),1,1788206400000,5,6,27.99
1,0,108,藕池河(北支),90,1,61503010,南县(罗文窖),1,1788220800000,5,6,27.99
1,0,110,藕池河(北支),90,1,61503010,南县(罗文窖),1,1788238800000,5,6,28.02
1,0,109,藕池河(北支),90,1,61503010,南县(罗文窖),1,1788256800000,5,4,28.01
1,0,108,藕池河(北支),90,1,61503010,南县(罗文窖),1,1788274800000,5,6,28.01
1,0,108,藕池河(北支),90,1,61503010,南县(罗文窖),1,1788285600000,5,6,28.01
1,0,108,藕池河(北支),90,1,61503010,南县(罗文窖),1,1788296400000,5,6,28.01
1,0,106,藕池河(北支),90,1,61503010,南县(罗文窖),1,1788303600000,5,4,28
1,0,107,藕池河(北支),90,1,61503010,南县(罗文窖),1,1788310800000,5,5,28.01
1,0,105,藕池河(北支),90,1,61503010,南县(罗文窖),1,1788328800000,5,6,28
1,0,102,藕池河(北支),90,1,61503010,南县(罗文窖),1,1788346800000,5,4,27.98
1,0,100,藕池河(北支),90,1,61503010,南县(罗文窖),1,1788361200000,5,6,27.96
1,0,98.7,藕池河(北支),90,1,61503010,南县(罗文窖),1,1788372000000,5,6,27.95
1,0,96.5,藕池河(北支),90,1,61503010,南县(罗文窖),1,1788382800000,5,4,27.93
1,0,95.4,藕池河(北支),90,1,61503010,南县(罗文窖),1,1788390000000,5,4,27.92
1,0,93.1,藕池河(北支),90,1,61503010,南县(罗文窖),1,1788397200000,5,4,27.9
1,0,89.8,藕池河(北支),90,1,61503010,南县(罗文窖),1,1788415200000,5,4,27.87
1,0,86.2,藕池河(北支),90,1,61503010,南县(罗文窖),1,1788433200000,5,4,27.84
1,0,83.5,藕池河(北支),90,1,61503010,南县(罗文窖),1,1788447600000,5,4,27.81
1,0,80.8,藕池河(北支),90,1,61503010,南县(罗文窖),1,1788458400000,5,4,27.78
1,0,78.2,藕池河(北支),90,1,61503010,南县(罗文窖),1,1788469200000,5,4,27.76
1,0,77.3,藕池河(北支),90,1,61503010,南县(罗文窖),1,1788476400000,5,6,27.75
1,0,75.7,藕池河(北支),90,1,61503010,南县(罗文窖),1,1788483600000,5,4,27.73
1,0,72.2,藕池河(北支),90,1,61503010,南县(罗文窖),1,1788501600000,5,4,27.69
1,0,66.9,藕池河(北支),90,1,61503010,南县(罗文窖),1,1788519600000,5,4,27.65
1,0,61.2,藕池河(北支),90,1,61503010,南县(罗文窖),1,1788534000000,5,4,27.58
1,0,58.1,藕池河(北支),90,1,61503010,南县(罗文窖),1,1788544800000,5,4,27.54
1,0,56.5,藕池河(北支),90,1,61503010,南县(罗文窖),1,1788552000000,5,4,27.52
1,0,54.8,藕池河(北支),90,1,61503010,南县(罗文窖),1,1788559200000,5,4,27.5
1,0,53.3,藕池河(北支),90,1,61503010,南县(罗文窖),1,1788566400000,5,4,27.48
1,0,49.8,藕池河(北支),90,1,61503010,南县(罗文窖),1,1788584400000,5,4,27.44
