kind,rvnm,showdp,sort,sortall,sortw1,sortw2,sortw3,sortwdp,status,stcd,stnm,stype,tm,websiteid,wptn,z
1,虎渡河,0,23,0,0,0,0,0,1,61501400,太平口,0,1788199200000,6,5,34.107
1,虎渡河,0,23,0,0,0,0,0,1,61501400,太平口,0,1788220800000,6,5,34.190
1,虎渡河,0,23,0,0,0,0,0,1,61501400,太平口,0,1788238800000,6,4,34.090
1,虎渡河,0,23,0,0,0,0,0,1,61501400,太平口,0,1788256800000,6,4,33.970
1,虎渡河,0,23,0,0,0,0,0,1,61501400,太平口,0,1788274800000,6,4,33.840
1,虎渡河,0,23,0,0,0,0,0,1,61501400,太平口,0,1788285600000,6,5,33.840
1,虎渡河,0,23,0,0,0,0,0,1,61501400,太平口,0,1788296400000,6,5,33.870
1,虎渡河,0,23,0,0,0,0,0,1,61501400,太平口,0,1788303600000,6,6,33.870
1,虎渡河,0,23,0,0,0,0,0,1,61501400,太平口,0,1788310800000,6,4,33.840
1,虎渡河,0,23,0,0,0,0,0,1,61501400,太平口,0,1788328800000,6,4,33.770
1,虎渡河,0,23,0,0,0,0,0,1,61501400,太平口,0,1788346800000,6,4,33.630
1,虎渡河,0,23,0,0,0,0,0,1,61501400,太平口,0,1788361200000,6,4,33.490
1,虎渡河,0,23,0,0,0,0,0,1,61501400,太平口,0,1788372000000,6,6,33.480
1,虎渡河,0,23,0,0,0,0,0,1,61501400,太平口,0,1788382800000,6,6,33.490
1,虎渡河,0,23,0,0,0,0,0,1,61501400,太平口,0,1788390000000,6,6,33.490
1,虎渡河,0,23,0,0,0,0,0,1,61501400,太平口,0,1788397200000,6,4,33.480
1,虎渡河,0,23,0,0,0,0,0,1,61501400,太平口,0,1788415200000,6,5,33.480
1,虎渡河,0,23,0,0,0,0,0,1,61501400,太平口,0,1788433200000,6,4,33.390
1,虎渡河,0,23,0,0,0,0,0,1,61501400,太平口,0,1788447600000,6,4,33.300
1,虎渡河,0,23,0,0,0,0,0,1,61501400,太平口,0,1788458400000,6,6,33.310
1,虎渡河,0,23,0,0,0,0,0,1,61501400,太平口,0,1788469200000,6,6,33.340
1,虎渡河,0,23,0,0,0,0,0,1,61501400,太平口,0,1788476400000,6,4,33.330
