kind,oq,q,rvnm,sort,status,stcd,stnm,stype,tm,websiteid,wptn,z
1,0,1530,西洞庭湖湖口(北端),250,1,61507600,南咀,0,1788206400000,5,4,29.19
1,0,1510,西洞庭湖湖口(北端),250,1,61507600,南咀,0,1788220800000,5,6,29.16
1,0,1500,西洞庭湖湖口(北端),250,1,61507600,南咀,0,1788238800000,5,6,29.11
1,0,1490,西洞庭湖湖口(北端),250,1,61507600,南咀,0,1788256800000,5,5,29.1
1,0,1480,西洞庭湖湖口(北端),250,1,61507600,南咀,0,1788274800000,5,6,29.09
1,0,1480,西洞庭湖湖口(北端),250,1,61507600,南咀,0,1788285600000,5,4,29.08
1,0,1480,西洞庭湖湖口(北端),250,1,61507600,南咀,0,1788296400000,5,6,29.08
1,0,1480,西洞庭湖湖口(北端),250,1,61507600,南咀,0,1788303600000,5,6,29.08
1,0,1470,西洞庭湖湖口(北端),250,1,61507600,南咀,0,1788310800000,5,6,29.07
1,0,1460,西洞庭湖湖口(北端),250,1,61507600,南咀,0,1788328800000,5,4,29.05
1,0,1450,西洞庭湖湖口(北端),250,1,61507600,南咀,0,1788346800000,5,6,29.04
1,0,1430,西洞庭湖湖口(北端),250,1,61507600,南咀,0,1788361200000,5,4,29.01
