kind,oq,q,rvnm,sort,status,stcd,stnm,stype,tm,websiteid,wptn,z
1,0,1450,西洞庭湖湖口(南端),270,1,61507800,小河咀,0,1788206400000,5,6,29.1
1,0,1510,西洞庭湖湖口(南端),270,1,61507800,小河咀,0,1788220800000,5,4,29.06
1,0,1560,西洞庭湖湖口(南端),270,1,61507800,小河咀,0,1788238800000,5,5,29.08
1,0,1490,西洞庭湖湖口(南端),270,1,61507800,小河咀,0,1788256800000,5,4,29.03
1,0,1520,西洞庭湖湖口(南端),270,1,61507800,小河咀,0,1788274800000,5,6,29.04
1,0,1520,西洞庭湖湖口(南端),270,1,61507800,小河咀,0,1788285600000,5,4,29.03
1,0,1530,西洞庭湖湖口(南端),270,1,61507800,小河咀,0,1788296400000,5,6,29.02
1,0,1520,西洞庭湖湖口(南端),270,1,61507800,小河咀,0,1788303600000,5,6,29.02
1,0,1510,西洞庭湖湖口(南端),270,1,61507800,小河咀,0,1788310800000,5,6,29.03
1,0,1420,西洞庭湖湖口(南端),270,1,61507800,小河咀,0,1788328800000,5,4,29.01
1,0,1350,西洞庭湖湖口(南端),270,1,61507800,小河咀,0,1788346800000,5,6,28.98
