kind,oq,q,rvnm,sort,status,stcd,stnm,stype,tm,websiteid,wptn,z
1,0,0,资水(东支),350,1,61509102,白马寺,0,1788206400000,5,4,27.87
1,0,0,资水(东支),350,1,61509102,白马寺,0,1788220800000,5,6,27.87
1,0,0,资水(东支),350,1,61509102,白马寺,0,1788238800000,5,5,27.95
1,0,0,资水(东支),350,1,61509102,白马寺,0,1788256800000,5,5,28.12
1,0,0,资水(东支),350,1,61509102,白马寺,0,1788274800000,5,6,28.19
1,0,0,资水(东支),350,1,61509102,白马寺,0,1788285600000,5,6,28.18
1,0,0,资水(东支),350,1,61509102,白马寺,0,1788296400000,5,5,28.2
1,0,0,资水(东支),350,1,61509102,白马寺,0,1788303600000,5,6,28.2
1,0,0,资水(东支),350,1,61509102,白马寺,0,1788310800000,5,5,28.25
1,0,0,资水(东支),350,1,61509102,白马寺,0,1788328800000,5,4,28.22
1,0,0,资水(东支),350,1,61509102,白马寺,0,1788346800000,5,4,28.13
1,0,0,资水(东支),350,1,61509102,白马寺,0,1788361200000,5,4,28.06
1,0,0,资水(东支),350,1,61509102,白马寺,0,1788372000000,5,4,28
1,0,0,资水(东支),350,1,61509102,白马寺,0,1788382800000,5,4,27.94
1,0,0,资水(东支),350,1,61509102,白马寺,0,1788390000000,5,6,27.93
