kind,oq,q,rvnm,sort,status,stcd,stnm,stype,tm,websiteid,wptn,z
1,0,0,资水（东支）,340,1,61509100,杨堤(二),0,1788206400000,5,4,28.33
1,0,0,资水（东支）,340,1,61509100,杨堤(二),0,1788220800000,5,4,28.28
1,0,0,资水（东支）,340,1,61509100,杨堤(二),0,1788238800000,5,6,28.34
1,0,0,资水（东支）,340,1,61509100,杨堤(二),0,1788256800000,5,5,28.48
1,0,0,资水（东支）,340,1,61509100,杨堤(二),0,1788274800000,5,6,28.57
1,0,0,资水（东支）,340,1,61509100,杨堤(二),0,1788285600000,5,4,28.58
1,0,0,资水（东支）,340,1,61509100,杨堤(二),0,1788296400000,5,5,28.6
1,0,0,资水（东支）,340,1,61509100,杨堤(二),0,1788303600000,5,5,28.61
1,0,0,资水（东支）,340,1,61509100,杨堤(二),0,1788310800000,5,5,28.64
1,0,0,资水（东支）,340,1,61509100,杨堤(二),0,1788328800000,5,4,28.56
1,0,0,资水（东支）,340,1,61509100,杨堤(二),0,1788346800000,5,4,28.44
1,0,0,资水（东支）,340,1,61509100,杨堤(二),0,1788361200000,5,4,28.36
1,0,0,资水（东支）,340,1,61509100,杨堤(二),0,1788372000000,5,4,28.32
1,0,0,资水（东支）,340,1,61509100,杨堤(二),0,1788382800000,5,4,28.28
1,0,0,资水（东支）,340,1,61509100,杨堤(二),0,1788390000000,5,4,28.26
1,0,0,资水（东支）,340,1,61509100,杨堤(二),0,1788397200000,5,6,28.24
1,0,0,资水（东支）,340,1,61509100,杨堤(二),0,1788415200000,5,4,28.18
1,0,0,资水（东支）,340,1,61509100,杨堤(二),0,1788433200000,5,6,28.16
1,0,0,资水（东支）,340,1,61509100,杨堤(二),0,1788447600000,5,6,28.14
1,0,0,资水（东支）,340,1,61509100,杨堤(二),0,1788458400000,5,6,28.12
1,0,0,资水（东支）,340,1,61509100,杨堤(二),0,1788469200000,5,6,28.12
1,0,0,资水（东支）,340,1,61509100,杨堤(二),0,1788476400000,5,6,28.12
1,0,0,资水（东支）,340,1,61509100,杨堤(二),0,1788483600000,5,5,28.18
1,0,0,资水（东支）,340,1,61509100,杨堤(二),0,1788501600000,5,6,28.25
1,0,0,资水（东支）,340,1,61509100,杨堤(二),0,1788519600000,5,6,28.25
1,0,0,资水（东支）,340,1,61509100,杨堤(二),0,1788534000000,5,6,28.26
1,0,0,资水（东支）,340,1,61509100,杨堤(二),0,1788544800000,5,5,28.3
1,0,0,资水（东支）,340,1,61509100,杨堤(二),0,1788552000000,5,6,28.3
1,0,0,资水（东支）,340,1,61509100,杨堤(二),0,1788559200000,5,5,28.32
1,0,0,资水（东支）,340,1,61509100,杨堤(二),0,1788566400000,5,5,28.34
1,0,0,资水（东支）,340,1,61509100,杨堤(二),0,1788584400000,5,6,28.4
1,0,0,资水（东支）,340,1,61509100,杨堤(二),0,1788598800000,5,5,28.44
1,0,0,资水（东支）,340,1,61509100,杨堤(二),0,1788609600000,5,5,28.43
