kind,rvnm,showdp,sort,sortall,sortw1,sortw2,sortw3,sortwdp,status,stcd,stnm,stype,tm,websiteid,wptn,z
1,长江,0,1,0,0,0,0,0,1,60107350,宜都,0,1788206400000,6,4,40.070
1,长江,0,1,0,0,0,0,0,1,60107350,宜都,0,1788220800000,6,4,39.880
1,长江,0,1,0,0,0,0,0,1,60107350,宜都,0,1788238800000,6,4,39.710
1,长江,0,1,0,0,0,0,0,1,60107350,宜都,0,1788256800000,6,6,39.600
1,长江,0,1,0,0,0,0,0,1,60107350,宜都,0,1788274800000,6,5,39.940
1,长江,0,1,0,0,0,0,0,1,60107350,宜都,0,1788285600000,6,5,40.020
1,长江,0,1,0,0,0,0,0,1,60107350,宜都,0,1788296400000,6,4,39.740
1,长江,0,1,0,0,0,0,0,1,60107350,宜都,0,1788303600000,6,4,39.630
1,长江,0,1,0,0,0,0,0,1,60107350,宜都,0,1788310800000,6,5,39.740
1,长江,0,1,0,0,0,0,0,1,60107350,宜都,0,1788328800000,6,4,39.480
1,长江,0,1,0,0,0,0,0,1,60107350,宜都,0,1788346800000,6,5,39.350
1,长江,0,1,0,0,0,0,0,1,60107350,宜都,0,1788361200000,6,5,39.660
1,长江,0,1,0,0,0,0,0,1,60107350,宜都,0,1788372000000,6,4,39.640
1,长江,0,1,0,0,0,0,0,1,60107350,宜都,0,1788382800000,6,4,39.600
1,长江,0,1,0,0,0,0,0,1,60107350,宜都,0,1788390000000,6,5,39.620
1,长江,0,1,0,0,0,0,0,1,60107350,宜都,0,1788397200000,6,5,39.680
1,长江,0,1,0,0,0,0,0,1,60107350,宜都,0,1788415200000,6,4,39.420
