kind,rvnm,showdp,sort,sortall,sortw1,sortw2,sortw3,sortwdp,status,stcd,stnm,stype,tm,websiteid,wptn,z
1,长江,0,7,0,0,0,0,0,1,60109100,新厂,0,1788199200000,6,6,31.328
1,长江,0,7,0,0,0,0,0,1,60109100,新厂,0,1788220800000,6,5,31.370
1,长江,0,7,0,0,0,0,0,1,60109100,新厂,0,1788238800000,6,6,31.380
1,长江,0,7,0,0,0,0,0,1,60109100,新厂,0,1788256800000,6,4,31.330
1,长江,0,7,0,0,0,0,0,1,60109100,新厂,0,1788274800000,6,4,31.250
1,长江,0,7,0,0,0,0,0,1,60109100,新厂,0,1788285600000,6,4,31.200
1,长江,0,7,0,0,0,0,0,1,60109100,新厂,0,1788296400000,6,4,31.170
1,长江,0,7,0,0,0,0,0,1,60109100,新厂,0,1788303600000,6,6,31.170
1,长江,0,7,0,0,0,0,0,1,60109100,新厂,0,1788310800000,6,4,31.160
1,长江,0,7,0,0,0,0,0,1,60109100,新厂,0,1788328800000,6,4,31.130
1,长江,0,7,0,0,0,0,0,1,60109100,新厂,0,1788346800000,6,4,31.080
1,长江,0,7,0,0,0,0,0,1,60109100,新厂,0,1788361200000,6,4,31.010
1,长江,0,7,0,0,0,0,0,1,60109100,新厂,0,1788372000000,6,4,30.950
1,长江,0,7,0,0,0,0,0,1,60109100,新厂,0,1788382800000,6,6,30.910
1,长江,0,7,0,0,0,0,0,1,60109100,新厂,0,1788390000000,6,4,30.890
1,长江,0,7,0,0,0,0,0,1,60109100,新厂,0,1788397200000,6,4,30.880
1,长江,0,7,0,0,0,0,0,1,60109100,新厂,0,1788415200000,6,6,30.850
1,长江,0,7,0,0,0,0,0,1,60109100,新厂,0,1788433200000,6,4,30.820
1,长江,0,7,0,0,0,0,0,1,60109100,新厂,0,1788447600000,6,4,30.780
1,长江,0,7,0,0,0,0,0,1,60109100,新厂,0,1788458400000,6,4,30.740
1,长江,0,7,0,0,0,0,0,1,60109100,新厂,0,1788469200000,6,4,30.720
1,长江,0,7,0,0,0,0,0,1,60109100,新厂,0,1788476400000,6,6,30.710
1,长江,0,7,0,0,0,0,0,1,60109100,新厂,0,1788483600000,6,4,30.700
1,长江,0,7,0,0,0,0,0,1,60109100,新厂,0,1788501600000,6,4,30.660
1,长江,0,7,0,0,0,0,0,1,60109100,新厂,0,1788519600000,6,4,30.590
1,长江,0,7,0,0,0,0,0,1,60109100,新厂,0,1788534000000,6,4,30.520
1,长江,0,7,0,0,0,0,0,1,60109100,新厂,0,1788544800000,6,6,30.490
1,长江,0,7,0,0,0,0,0,1,60109100,新厂,0,1788552000000,6,4,30.470
1,长江,0,7,0,0,0,0,0,1,60109100,新厂,0,1788559200000,6,6,30.470
1,长江,0,7,0,0,0,0,0,1,60109100,新厂,0,1788566400000,6,6,30.480
1,长江,0,7,0,0,0,0,0,1,60109100,新厂,0,1788584400000,6,4,30.460
1,长江,0,7,0,0,0,0,0,1,60109100,新厂,0,1788598800000,6,4,30.420
1,长江,0,7,0,0,0,0,0,1,60109100,新厂,0,1788609600000,6,4,30.370
1,长江,0,7,0,0,0,0,0,1,60109100,新厂,0,1788624000000,6,4,30.280
1,长江,0,7,0,0,0,0,0,1,60109100,新厂,0,1788631200000,6,4,30.240
