kind,q,rvnm,showdp,sort,sortall,sortw1,sortw2,sortw3,sortwdp,status,stcd,stnm,stype,tm,websiteid,wptn,z
1,14300.000,长江,0,2,0,0,0,0,0,1,60107400,枝城,1,1788206400000,6,4,40.050
1,13400.000,长江,0,2,0,0,0,0,0,1,60107400,枝城,1,1788220800000,6,4,39.860
1,12800.000,长江,0,2,0,0,0,0,0,1,60107400,枝城,1,1788238800000,6,4,39.710
1,12300.000,长江,0,2,0,0,0,0,0,1,60107400,枝城,1,1788256800000,6,6,39.590
1,14200.000,长江,0,2,0,0,0,0,0,1,60107400,枝城,1,1788274800000,6,5,39.880
1,14500.000,长江,0,2,0,0,0,0,0,1,60107400,枝城,1,1788285600000,6,5,39.970
1,13100.000,长江,0,2,0,0,0,0,0,1,60107400,枝城,1,1788296400000,6,4,39.750
1,12400.000,长江,0,2,0,0,0,0,0,1,60107400,枝城,1,1788303600000,6,4,39.620
1,13200.000,长江,0,2,0,0,0,0,0,1,60107400,枝城,1,1788310800000,6,5,39.710
1,12000.000,长江,0,2,0,0,0,0,0,1,60107400,枝城,1,1788328800000,6,4,39.520
1,11500.000,长江,0,2,0,0,0,0,0,1,60107400,枝城,1,1788346800000,6,5,39.340
1,13300.000,长江,0,2,0,0,0,0,0,1,60107400,枝城,1,1788361200000,6,5,39.650
1,13000.000,长江,0,2,0,0,0,0,0,1,60107400,枝城,1,1788372000000,6,4,39.630
1,12800.000,长江,0,2,0,0,0,0,0,1,60107400,枝城,1,1788382800000,6,4,39.600
1,12800.000,长江,0,2,0,0,0,0,0,1,60107400,枝城,1,1788390000000,6,6,39.590
1,13200.000,长江,0,2,0,0,0,0,0,1,60107400,枝城,1,1788397200000,6,5,39.670
1,11900.000,长江,0,2,0,0,0,0,0,1,60107400,枝城,1,1788415200000,6,4,39.450
1,11600.000,长江,0,2,0,0,0,0,0,1,60107400,枝城,1,1788433200000,6,5,39.340
1,13200.000,长江,0,2,0,0,0,0,0,1,60107400,枝城,1,1788447600000,6,5,39.620
1,12700.000,长江,0,2,0,0,0,0,0,1,60107400,枝城,1,1788458400000,6,4,39.560
1,12000.000,长江,0,2,0,0,0,0,0,1,60107400,枝城,1,1788469200000,6,4,39.440
1,11700.000,长江,0,2,0,0,0,0,0,1,60107400,枝城,1,1788476400000,6,4,39.380
1,11500.000,长江,0,2,0,0,0,0,0,1,60107400,枝城,1,1788483600000,6,4,39.320
1,11300.000,长江,0,2,0,0,0,0,0,1,60107400,枝城,1,1788501600000,6,4,39.260
1,11300.000,长江,0,2,0,0,0,0,0,1,60107400,枝城,1,1788519600000,6,5,39.230
1,13400.000,长江,0,2,0,0,0,0,0,1,60107400,枝城,1,1788534000000,6,5,39.610
1,12800.000,长江,0,2,0,0,0,0,0,1,60107400,枝城,1,1788544800000,6,4,39.570
1,11900.000,长江,0,2,0,0,0,0,0,1,60107400,枝城,1,1788552000000,6,4,39.420
1,11300.000,长江,0,2,0,0,0,0,0,1,60107400,枝城,1,1788559200000,6,4,39.290
1,10900.000,长江,0,2,0,0,0,0,0,1,60107400,枝城,1,1788566400000,6,4,39.200
1,10400.000,长江,0,2,0,0,0,0,0,1,60107400,枝城,1,1788584400000,6,4,39.060
