kind,q,rvnm,showdp,sort,sortall,sortw1,sortw2,sortw3,sortwdp,status,stcd,stnm,stype,tm,websiteid,wptn,z
1,13000.000,长江,0,10,0,0,0,0,0,1,60110500,监利,1,1788199200000,6,6,29.190
1,13100.000,长江,0,10,0,0,0,0,0,1,60110500,监利,1,1788220800000,6,5,29.200
1,13100.000,长江,0,10,0,0,0,0,0,1,60110500,监利,1,1788238800000,6,6,29.210
1,13000.000,长江,0,10,0,0,0,0,0,1,60110500,监利,1,1788256800000,6,6,29.210
1,12800.000,长江,0,10,0,0,0,0,0,1,60110500,监利,1,1788274800000,6,6,29.210
1,12600.000,长江,0,10,0,0,0,0,0,1,60110500,监利,1,1788285600000,6,6,29.200
1,12500.000,长江,0,10,0,0,0,0,0,1,60110500,监利,1,1788296400000,6,5,29.190
1,12500.000,长江,0,10,0,0,0,0,0,1,60110500,监利,1,1788303600000,6,6,29.180
1,12500.000,长江,0,10,0,0,0,0,0,1,60110500,监利,1,1788310800000,6,6,29.170
1,12400.000,长江,0,10,0,0,0,0,0,1,60110500,监利,1,1788328800000,6,5,29.160
1,12300.000,长江,0,10,0,0,0,0,0,1,60110500,监利,1,1788346800000,6,4,29.140
1,12100.000,长江,0,10,0,0,0,0,0,1,60110500,监利,1,1788361200000,6,4,29.120
1,12000.000,长江,0,10,0,0,0,0,0,1,60110500,监利,1,1788372000000,6,4,29.100
1,11900.000,长江,0,10,0,0,0,0,0,1,60110500,监利,1,1788382800000,6,6,29.080
1,11800.000,长江,0,10,0,0,0,0,0,1,60110500,监利,1,1788390000000,6,6,29.060
1,11800.000,长江,0,10,0,0,0,0,0,1,60110500,监利,1,1788397200000,6,4,29.040
1,11800.000,长江,0,10,0,0,0,0,0,1,60110500,监利,1,1788415200000,6,4,29.000
1,11700.000,长江,0,10,0,0,0,0,0,1,60110500,监利,1,1788433200000,6,4,28.990
1,11700.000,长江,0,10,0,0,0,0,0,1,60110500,监利,1,1788447600000,6,4,28.970
1,11600.000,长江,0,10,0,0,0,0,0,1,60110500,监利,1,1788458400000,6,4,28.940
1,11600.000,长江,0,10,0,0,0,0,0,1,60110500,监利,1,1788469200000,6,4,28.920
1,11600.000,长江,0,10,0,0,0,0,0,1,60110500,监利,1,1788476400000,6,6,28.910
1,11500.000,长江,0,10,0,0,0,0,0,1,60110500,监利,1,1788483600000,6,4,28.890
1,11500.000,长江,0,10,0,0,0,0,0,1,60110500,监利,1,1788501600000,6,6,28.860
1,11300.000,长江,0,10,0,0,0,0,0,1,60110500,监利,1,1788519600000,6,6,28.830
1,11200.000,长江,0,10,0,0,0,0,0,1,60110500,监利,1,1788534000000,6,4,28.800
1,11100.000,长江,0,10,0,0,0,0,0,1,60110500,监利,1,1788544800000,6,4,28.770
1,11100.000,长江,0,10,0,0,0,0,0,1,60110500,监利,1,1788552000000,6,6,28.760
1,11100.000,长江,0,10,0,0,0,0,0,1,60110500,监利,1,1788559200000,6,6,28.750
1,11100.000,长江,0,10,0,0,0,0,0,1,60110500,监利,1,1788566400000,6,6,28.740
1,11100.000,长江,0,10,0,0,0,0,0,1,60110500,监利,1,1788584400000,6,6,28.730
1,11000.000,长江,0,10,0,0,0,0,0,1,60110500,监利,1,1788598800000,6,4,28.710
1,10800.000,长江,0,10,0,0,0,0,0,1,60110500,监利,1,1788609600000,6,6,28.710
1,10600.000,长江,0,10,0,0,0,0,0,1,60110500,监利,1,1788624000000,6,4,28.690
1,10500.000,长江,0,10,0,0,0,0,0,1,60110500,监利,1,1788631200000,6,6,28.670
1,10500.000,长江,0,10,0,0,0,0,0,1,60110500,监利,1,1788638400000,6,4,28.650
1,10400.000,长江,0,10,0,0,0,0,0,1,60110500,监利,1,1788645600000,6,4,28.630
1,10400.000,长江,0,10,0,0,0,0,0,1,60110500,监利,1,1788649200000,6,6,28.630
1,10400.000,长江,0,10,0,0,0,0,0,1,60110500,监利,1,1788667200000,6,6,28.600
1,10300.000,长江,0,10,0,0,0,0,0,1,60110500,监利,1,1788681600000,6,6,28.590
1,10200.000,长江,0,10,0,0,0,0,0,1,60110500,监利,1,1788696000000,6,6,28.570
1,10100.000,长江,0,10,0,0,0,0,0,1,60110500,监利,1,1788710400000,6,6,28.550
1,10000.000,长江,0,10,0,0,0,0,0,1,60110500,监利,1,1788717600000,6,4,28.530
1,9990.000,长江,0,10,0,0,0,0,0,1,60110500,监利,1,1788724800000,6,4,28.510
1,10000.000,长江,0,10,0,0,0,0,0,1,60110500,监利,1,1788732000000,6,4,28.500
1,10000.000,长江,0,10,0,0,0,0,0,1,60110500,监利,1,1788739200000,6,4,28.490
1,10100.000,长江,0,10,0,0,0,0,0,1,60110500,监利,1,1788760800000,6,6,28.480
1,10000.000,长江,0,10,0,0,0,0,0,1,60110500,监利,1,1788782400000,6,6,28.470
1,9910.000,长江,0,10,0,0,0,0,0,1,60110500,监利,1,1788800400000,6,6,28.440
1,9930.000,长江,0,10,0,0,0,0,0,1,60110500,监利,1,1788814800000,6,4,28.400
1,9910.000,长江,0,10,0,0,0,0,0,1,60110500,监利,1,1788822000000,6,6,28.390
1,9970.000,长江,0,10,0,0,0,0,0,1,60110500,监利,1,1788829200000,6,4,28.370
1,10000.000,长江,0,10,0,0,0,0,0,1,60110500,监利,1,1788847200000,6,4,28.340
1,9910.000,长江,0,10,0,0,0,0,0,1,60110500,监利,1,1788865200000,6,4,28.300
1,9830.000,长江,0,10,0,0,0,0,0,1,60110500,监利,1,1788879600000,6,4,28.250
1,9920.000,长江,0,10,0,0,0,0,0,1,60110500,监利,1,1788944400000,6,4,28.000
1,9870.000,长江,0,10,0,0,0,0,0,1,60110500,监利,1,1788958800000,6,4,27.940
1,9690.000,长江,0,10,0,0,0,0,0,1,60110500,监利,1,1788987600000,6,4,27.860
1,9700.000,长江,0,10,0,0,0,0,0,1,60110500,监利,1,1788998400000,6,4,27.810
1,9750.000,长江,0,10,0,0,0,0,0,1,60110500,监利,1,1789012800000,6,4,27.760
1,9700.000,长江,0,10,0,0,0,0,0,1,60110500,监利,1,1789030800000,6,4,27.720
1,9660.000,长江,0,10,0,0,0,0,0,1,60110500,监利,1,1789045200000,6,6,27.690
1,9560.000,长江,0,10,0,0,0,0,0,1,60110500,监利,1,1789074000000,6,4,27.580
1,9610.000,长江,0,10,0,0,0,0,0,1,60110500,监利,1,1789084800000,6,4,27.540
1,9680.000,长江,0,10,0,0,0,0,0,1,60110500,监利,1,1789099200000,6,4,27.510
1,9640.000,长江,0,10,0,0,0,0,0,1,60110500,监利,1,1789117200000,6,6,27.480
1,9530.000,长江,0,10,0,0,0,0,0,1,60110500,监利,1,1789131600000,6,4,27.430
1,9240.000,长江,0,10,0,0,0,0,0,1,60110500,监利,1,1789160400000,6,4,27.290
1,9240.000,长江,0,10,0,0,0,0,0,1,60110500,监利,1,1789171200000,6,4,27.240
1,9250.000,长江,0,10,0,0,0,0,0,1,60110500,监利,1,1789185600000,6,4,27.170
1,9250.000,长江,0,10,0,0,0,0,0,1,60110500,监利,1,1789200000000,6,4,27.110
1,9220.000,长江,0,10,0,0,0,0,0,1,60110500,监利,1,1789214400000,6,4,27.060
1,9100.000,长江,0,10,0,0,0,0,0,1,60110500,监利,1,1789250400000,6,4,26.920
1,9150.000,长江,0,10,0,0,0,0,0,1,60110500,监利,1,1789257600000,6,4,26.900
1,9180.000,长江,0,10,0,0,0,0,0,1,60110500,监利,1,1789279200000,6,4,26.850
1,9180.000,长江,0,10,0,0,0,0,0,1,60110500,监利,1,1789297200000,6,4,26.810
1,9050.000,长江,0,10,0,0,0,0,0,1,60110500,监利,1,1789340400000,6,4,26.690
1,,长江,0,10,0,0,0,0,0,1,60110500,监利,1,1789347600000,6,4,26.660
1,9130.000,长江,0,10,0,0,0,0,0,1,60110500,监利,1,1789365600000,6,4,26.620
1,9130.000,长江,0,10,0,0,0,0,0,1,60110500,监利,1,1789387200000,6,6,26.590
1,8990.000,长江,0,10,0,0,0,0,0,1,60110500,监利,1,1789423200000,6,4,26.490
1,9010.000,长江,0,10,0,0,0,0,0,1,60110500,监利,1,1789430400000,6,4,26.470
1,9080.000,长江,0,10,0,0,0,0,0,1,60110500,监利,1,1789448400000,6,4,26.430
1,9140.000,长江,0,10,0,0,0,0,0,1,60110500,监利,1,1789466400000,6,4,26.400
1,9040.000,长江,0,10,0,0,0,0,0,1,60110500,监利,1,1789509600000,6,4,26.330
1,9090.000,长江,0,10,0,0,0,0,0,1,60110500,监利,1,1789516800000,6,4,26.320
1,9210.000,长江,0,10,0,0,0,0,0,1,60110500,监利,1,1789534800000,6,6,26.310
1,9290.000,长江,0,10,0,0,0,0,0,1,60110500,监利,1,1789549200000,6,4,26.300
1,9330.000,长江,0,10,0,0,0,0,0,1,60110500,监利,1,1789567200000,6,6,26.310
1,9290.000,长江,0,10,0,0,0,0,0,1,60110500,监利,1,1789596000000,6,6,26.310
1,9340.000,长江,0,10,0,0,0,0,0,1,60110500,监利,1,1789603200000,6,4,26.300
1,9500.000,长江,0,10,0,0,0,0,0,1,60110500,监利,1,1789621200000,6,5,26.320
1,9580.000,长江,0,10,0,0,0,0,0,1,60110500,监利,1,1789639200000,6,6,26.330
1,9500.000,长江,0,10,0,0,0,0,0,1,60110500,监利,1,1789682400000,6,6,26.350
1,9530.000,长江,0,10,0,0,0,0,0,1,60110500,监利,1,1789689600000,6,6,26.340
1,9640.000,长江,0,10,0,0,0,0,0,1,60110500,监利,1,1789707600000,6,6,26.340
1,9700.000,长江,0,10,0,0,0,0,0,1,60110500,监利,1,1789722000000,6,6,26.350
1,9690.000,长江,0,10,0,0,0,0,0,1,60110500,监利,1,1789736400000,6,5,26.360
1,9700.000,长江,0,10,0,0,0,0,0,1,60110500,监利,1,1789768800000,6,6,26.350
1,9770.000,长江,0,10,0,0,0,0,0,1,60110500,监利,1,1789776000000,6,6,26.350
1,9960.000,长江,0,10,0,0,0,0,0,1,60110500,监利,1,1789794000000,6,5,26.370
1,10000.000,长江,0,10,0,0,0,0,0,1,60110500,监利,1,1789808400000,6,5,26.390
1,10000.000,长江,0,10,0,0,0,0,0,1,60110500,监利,1,1789822800000,6,5,26.420
1,9990.000,长江,0,10,0,0,0,0,0,1,60110500,监利,1,1789858800000,6,6,26.420
1,10100.000,长江,0,10,0,0,0,0,0,1,60110500,监利,1,1789866000000,6,6,26.410
1,10200.000,长江,0,10,0,0,0,0,0,1,60110500,监利,1,1789884000000,6,6,26.420
1,10400.000,长江,0,10,0,0,0,0,0,1,60110500,监利,1,1789905600000,6,5,26.460
1,10700.000,长江,0,10,0,0,0,0,0,1,60110500,监利,1,1789945200000,6,5,26.560
1,10700.000,长江,0,10,0,0,0,0,0,1,60110500,监利,1,1789948800000,6,5,26.570
1,10800.000,长江,0,10,0,0,0,0,0,1,60110500,监利,1,1789952400000,6,5,26.580
1,11000.000,长江,0,10,0,0,0,0,0,1,60110500,监利,1,1789974000000,6,5,26.650
1,11100.000,长江,0,10,0,0,0,0,0,1,60110500,监利,1,1789999200000,6,5,26.750
1,11100.000,长江,0,10,0,0,0,0,0,1,60110500,监利,1,1790028000000,6,5,26.820
