kind,oq,q,rvnm,sort,status,stcd,stnm,stype,tm,websiteid,wptn,z
1,0,0,长江,60,1,60113205,码头镇,1,1788206400000,5,5,15.34
1,0,0,长江,60,1,60113205,码头镇,1,1788220800000,5,5,15.37
1,0,0,长江,60,1,60113205,码头镇,1,1788238800000,5,4,15.39
1,0,0,长江,60,1,60113205,码头镇,1,1788256800000,5,5,15.42
1,0,0,长江,60,1,60113205,码头镇,1,1788274800000,5,6,15.42
1,0,0,长江,60,1,60113205,码头镇,1,1788285600000,5,6,15.43
1,0,0,长江,60,1,60113205,码头镇,1,1788296400000,5,5,15.46
1,0,0,长江,60,1,60113205,码头镇,1,1788303600000,5,6,15.47
1,0,0,长江,60,1,60113205,码头镇,1,1788310800000,5,5,15.49
1,0,0,长江,60,1,60113205,码头镇,1,1788328800000,5,6,15.5
1,0,0,长江,60,1,60113205,码头镇,1,1788346800000,5,6,15.54
1,0,0,长江,60,1,60113205,码头镇,1,1788361200000,5,6,15.55
1,0,0,长江,60,1,60113205,码头镇,1,1788372000000,5,5,15.59
1,0,0,长江,60,1,60113205,码头镇,1,1788382800000,5,6,15.6
1,0,0,长江,60,1,60113205,码头镇,1,1788390000000,5,6,15.61
1,0,0,长江,60,1,60113205,码头镇,1,1788397200000,5,5,15.63
1,0,0,长江,60,1,60113205,码头镇,1,1788415200000,5,6,15.67
1,0,0,长江,60,1,60113205,码头镇,1,1788433200000,5,5,15.73
1,0,0,长江,60,1,60113205,码头镇,1,1788447600000,5,6,15.75
1,0,0,长江,60,1,60113205,码头镇,1,1788458400000,5,6,15.76
1,0,0,长江,60,1,60113205,码头镇,1,1788469200000,5,6,15.78
1,0,0,长江,60,1,60113205,码头镇,1,1788476400000,5,6,15.78
1,0,0,长江,60,1,60113205,码头镇,1,1788483600000,5,6,15.79
1,0,0,长江,60,1,60113205,码头镇,1,1788501600000,5,4,15.8
1,0,0,长江,60,1,60113205,码头镇,1,1788519600000,5,6,15.81
1,0,0,长江,60,1,60113205,码头镇,1,1788534000000,5,6,15.83
1,0,0,长江,60,1,60113205,码头镇,1,1788544800000,5,5,15.85
1,0,0,长江,60,1,60113205,码头镇,1,1788552000000,5,6,15.86
1,0,0,长江,60,1,60113205,码头镇,1,1788559200000,5,6,15.87
1,0,0,长江,60,1,60113205,码头镇,1,1788566400000,5,6,15.88
