kind,rvnm,showdp,sort,sortall,sortw1,sortw2,sortw3,sortwdp,status,stcd,stnm,stype,tm,websiteid,wptn,z
1,长江,0,22,0,0,0,0,0,1,60107337,红花套,0,1788206400000,6,4,41.060
1,长江,0,22,0,0,0,0,0,1,60107337,红花套,0,1788220800000,6,5,40.910
1,长江,0,22,0,0,0,0,0,1,60107337,红花套,0,1788238800000,6,4,40.620
1,长江,0,22,0,0,0,0,0,1,60107337,红花套,0,1788256800000,6,6,40.520
1,长江,0,22,0,0,0,0,0,1,60107337,红花套,0,1788274800000,6,5,41.060
1,长江,0,22,0,0,0,0,0,1,60107337,红花套,0,1788285600000,6,4,40.960
1,长江,0,22,0,0,0,0,0,1,60107337,红花套,0,1788296400000,6,4,40.660
1,长江,0,22,0,0,0,0,0,1,60107337,红花套,0,1788303600000,6,5,40.620
1,长江,0,22,0,0,0,0,0,1,60107337,红花套,0,1788310800000,6,5,40.860
1,长江,0,22,0,0,0,0,0,1,60107337,红花套,0,1788328800000,6,4,40.300
1,长江,0,22,0,0,0,0,0,1,60107337,红花套,0,1788346800000,6,5,40.350
1,长江,0,22,0,0,0,0,0,1,60107337,红花套,0,1788361200000,6,5,40.680
1,长江,0,22,0,0,0,0,0,1,60107337,红花套,0,1788372000000,6,4,40.530
1,长江,0,22,0,0,0,0,0,1,60107337,红花套,0,1788382800000,6,6,40.510
1,长江,0,22,0,0,0,0,0,1,60107337,红花套,0,1788390000000,6,5,40.640
1,长江,0,22,0,0,0,0,0,1,60107337,红花套,0,1788397200000,6,5,40.800
1,长江,0,22,0,0,0,0,0,1,60107337,红花套,0,1788415200000,6,4,40.300
1,长江,0,22,0,0,0,0,0,1,60107337,红花套,0,1788433200000,6,5,40.410
1,长江,0,22,0,0,0,0,0,1,60107337,红花套,0,1788447600000,6,5,40.640
1,长江,0,22,0,0,0,0,0,1,60107337,红花套,0,1788458400000,6,4,40.440
1,长江,0,22,0,0,0,0,0,1,60107337,红花套,0,1788469200000,6,4,40.310
1,长江,0,22,0,0,0,0,0,1,60107337,红花套,0,1788476400000,6,4,40.260
1,长江,0,22,0,0,0,0,0,1,60107337,红花套,0,1788483600000,6,4,40.220
1,长江,0,22,0,0,0,0,0,1,60107337,红花套,0,1788501600000,6,4,40.080
1,长江,0,22,0,0,0,0,0,1,60107337,红花套,0,1788519600000,6,5,40.260
1,长江,0,22,0,0,0,0,0,1,60107337,红花套,0,1788534000000,6,5,40.730
1,长江,0,22,0,0,0,0,0,1,60107337,红花套,0,1788544800000,6,4,40.360
