rvnm,stcd,stnm,tm,wptn,z
长江,60107000,茅坪(二),1788206400000,5,158.090
长江,60107000,茅坪(二),1788220800000,4,158.010
长江,60107000,茅坪(二),1788238800000,5,158.380
长江,60107000,茅坪(二),1788256800000,4,158.350
长江,60107000,茅坪(二),1788271200000,6,158.270
长江,60107000,茅坪(二),1788285600000,5,158.590
长江,60107000,茅坪(二),1788296400000,5,158.660
长江,60107000,茅坪(二),1788303600000,4,158.500
长江,60107000,茅坪(二),1788307200000,4,158.450
长江,60107000,茅坪(二),1788328800000,5,158.770
长江,60107000,茅坪(二),1788346800000,4,158.630
长江,60107000,茅坪(二),1788361200000,5,158.640
长江,60107000,茅坪(二),1788372000000,5,158.860
长江,60107000,茅坪(二),1788382800000,5,158.910
长江,60107000,茅坪(二),1788390000000,4,158.740
长江,60107000,茅坪(二),1788393600000,4,158.670
长江,60107000,茅坪(二),1788415200000,6,158.900
长江,60107000,茅坪(二),1788433200000,4,158.730
长江,60107000,茅坪(二),1788444000000,4,158.680
长江,60107000,茅坪(二),1788458400000,5,158.910
长江,60107000,茅坪(二),1788469200000,6,158.950
长江,60107000,茅坪(二),1788476400000,6,158.950
长江,60107000,茅坪(二),1788480000000,4,158.930
长江,60107000,茅坪(二),1788501600000,6,158.860
长江,60107000,茅坪(二),1788519600000,4,158.770
长江,60107000,茅坪(二),1788530400000,4,158.700
长江,60107000,茅坪(二),1788544800000,6,158.990
长江,60107000,茅坪(二),1788552000000,5,159.050
