oq,rvnm,stcd,stnm,tm,wptn,z
12000,长江干流,60106980,三峡水库,1788206400000,5,158.090
15600,长江干流,60106980,三峡水库,1788220800000,4,158.010
9720,长江干流,60106980,三峡水库,1788238800000,5,158.380
12300,长江干流,60106980,三峡水库,1788253200000,4,158.450
15400,长江干流,60106980,三峡水库,1788271200000,6,158.270
10500,长江干流,60106980,三峡水库,1788285600000,5,158.570
10400,长江干流,60106980,三峡水库,1788292800000,5,158.650
15200,长江干流,60106980,三峡水库,1788303600000,4,158.500
15200,长江干流,60106980,三峡水库,1788307200000,4,158.450
9580,长江干流,60106980,三峡水库,1788325200000,6,158.730
15200,长江干流,60106980,三峡水库,1788346800000,4,158.630
15400,长江干流,60106980,三峡水库,1788357600000,4,158.570
10500,长江干流,60106980,三峡水库,1788372000000,5,158.860
10400,长江干流,60106980,三峡水库,1788379200000,5,158.890
15200,长江干流,60106980,三峡水库,1788390000000,4,158.740
15200,长江干流,60106980,三峡水库,1788393600000,4,158.670
9600,长江干流,60106980,三峡水库,1788411600000,5,158.890
15200,长江干流,60106980,三峡水库,1788433200000,4,158.730
15300,长江干流,60106980,三峡水库,1788444000000,4,158.680
10500,长江干流,60106980,三峡水库,1788458400000,5,158.910
10500,长江干流,60106980,三峡水库,1788465600000,5,158.930
10500,长江干流,60106980,三峡水库,1788476400000,6,158.950
10500,长江干流,60106980,三峡水库,1788480000000,4,158.930
9610,长江干流,60106980,三峡水库,1788501600000,4,158.940
15300,长江干流,60106980,三峡水库,1788519600000,4,158.770
15400,长江干流,60106980,三峡水库,1788530400000,4,158.700
9230,长江干流,60106980,三峡水库,1788544800000,5,159.010
9210,长江干流,60106980,三峡水库,1788552000000,5,159.050
9190,长江干流,60106980,三峡水库,1788559200000,4,159.050
9180,长江干流,60106980,三峡水库,1788566400000,6,159.060
8290,长江干流,60106980,三峡水库,1788584400000,5,159.080
11000,长江干流,60106980,三峡水库,1788598800000,4,159.060
13900,长江干流,60106980,三峡水库,1788609600000,4,158.900
11200,长江干流,60106980,三峡水库,1788620400000,5,158.940
9190,长江干流,60106980,三峡水库,1788627600000,5,159.090
9180,长江干流,60106980,三峡水库,1788638400000,6,159.120
9160,长江干流,60106980,三峡水库,1788642000000,6,159.120
9140,长江干流,60106980,三峡水库,1788649200000,4,159.130
8280,长江干流,60106980,三峡水库,1788667200000,4,159.130
8260,长江干流,60106980,三峡水库,1788681600000,5,159.190
13800,长江干流,60106980,三峡水库,1788696000000,4,158.940
11200,长江干流,60106980,三峡水库,1788706800000,5,158.980
9180,长江干流,60106980,三峡水库,1788714000000,5,159.100
9150,长江干流,60106980,三峡水库,1788724800000,5,159.150
9130,长江干流,60106980,三峡水库,1788732000000,6,159.150
9110,长江干流,60106980,三峡水库,1788739200000,4,159.120
8240,长江干流,60106980,三峡水库,1788757200000,4,159.120
13800,长江干流,60106980,三峡水库,1788782400000,4,158.880
8600,长江干流,60106980,三峡水库,1788800400000,5,159.060
8580,长江干流,60106980,三峡水库,1788814800000,5,159.120
8570,长江干流,60106980,三峡水库,1788822000000,5,159.130
8550,长江干流,60106980,三峡水库,1788829200000,5,159.110
7680,长江干流,60106980,三峡水库,1788847200000,5,159.140
13300,长江干流,60106980,三峡水库,1788865200000,4,158.930
13400,长江干流,60106980,三峡水库,1788876000000,4,158.890
7640,长江干流,60106980,三峡水库,1788940800000,6,159.220
13300,长江干流,60106980,三峡水库,1788958800000,5,158.950
8560,长江干流,60106980,三峡水库,1788994800000,5,159.210
7680,长江干流,60106980,三峡水库,1789012800000,5,159.270
7660,长江干流,60106980,三峡水库,1789027200000,6,159.310
13300,长江干流,60106980,三峡水库,1789045200000,6,159.090
