q,rvnm,stcd,stnm,tm,wptn,z
25300,长江干流,60113400,九江,1788134400000,6,14.370
25700,长江干流,60113400,九江,1788206400000,6,14.450
25700,长江干流,60113400,九江,1788220800000,5,14.500
26000,长江干流,60113400,九江,1788238800000,5,14.520
26300,长江干流,60113400,九江,1788256800000,5,14.530
26000,长江干流,60113400,九江,1788274800000,6,14.530
25500,长江干流,60113400,九江,1788285600000,5,14.580
25300,长江干流,60113400,九江,1788296400000,5,14.610
25400,长江干流,60113400,九江,1788303600000,6,14.620
25300,长江干流,60113400,九江,1788307200000,5,14.630
25400,长江干流,60113400,九江,1788310800000,6,14.630
25500,长江干流,60113400,九江,1788328800000,6,14.650
25300,长江干流,60113400,九江,1788346800000,5,14.700
25000,长江干流,60113400,九江,1788361200000,5,14.720
25300,长江干流,60113400,九江,1788372000000,5,14.750
25100,长江干流,60113400,九江,1788382800000,6,14.770
25300,长江干流,60113400,九江,1788390000000,6,14.790
25100,长江干流,60113400,九江,1788393600000,5,14.800
25400,长江干流,60113400,九江,1788397200000,5,14.810
25200,长江干流,60113400,九江,1788415200000,5,14.860
25500,长江干流,60113400,九江,1788433200000,5,14.920
25800,长江干流,60113400,九江,1788447600000,6,14.940
25500,长江干流,60113400,九江,1788458400000,5,14.960
25900,长江干流,60113400,九江,1788469200000,6,14.970
25800,长江干流,60113400,九江,1788476400000,5,14.980
25800,长江干流,60113400,九江,1788480000000,6,14.980
25700,长江干流,60113400,九江,1788483600000,6,14.980
25600,长江干流,60113400,九江,1788501600000,5,15.010
