oq,q,stcd,stnm,tm,wptn,z,rvnm
,30200,60116300,南京,1788206400000,4,6.31,长江干流
,29500,60116300,南京,1788220800000,4,6.01,长江干流
,25300,60116300,南京,1788238800000,4,6.61,长江干流
,29200,60116300,南京,1788256800000,4,6.16,长江干流
,18600,60116300,南京,1788274800000,5,6.69,长江干流
,26700,60116300,南京,1788285600000,4,6.57,长江干流
,29600,60116300,南京,1788296400000,4,6.29,长江干流
,28600,60116300,南京,1788303600000,4,6.1,长江干流
,29000,60116300,南京,1788310800000,5,6.07,长江干流
,26600,60116300,南京,1788328800000,4,6.5,长江干流
,29000,60116300,南京,1788346800000,4,6.06,长江干流
,18300,60116300,南京,1788361200000,5,6.56,长江干流
,23700,60116300,南京,1788372000000,4,6.56,长江干流
