q,rvnm,stcd,stnm,tm,wptn,z
30700,长江干流,60115000,大通,1788134400000,5,9.440
30300,长江干流,60115000,大通,1788206400000,5,9.580
30700,长江干流,60115000,大通,1788220800000,6,9.580
31100,长江干流,60115000,大通,1788238800000,4,9.540
30800,长江干流,60115000,大通,1788256800000,4,9.630
31200,长江干流,60115000,大通,1788274800000,4,9.600
31400,长江干流,60115000,大通,1788285600000,6,9.580
31000,长江干流,60115000,大通,1788296400000,5,9.660
31100,长江干流,60115000,大通,1788303600000,6,9.670
31300,长江干流,60115000,大通,1788307200000,4,9.660
31500,长江干流,60115000,大通,1788310800000,6,9.660
31800,长江干流,60115000,大通,1788328800000,4,9.620
31800,长江干流,60115000,大通,1788346800000,6,9.690
32200,长江干流,60115000,大通,1788361200000,4,9.670
32600,长江干流,60115000,大通,1788372000000,6,9.660
32100,长江干流,60115000,大通,1788382800000,5,9.740
32300,长江干流,60115000,大通,1788390000000,5,9.760
32500,长江干流,60115000,大通,1788393600000,4,9.750
32500,长江干流,60115000,大通,1788397200000,6,9.750
