q,rvnm,stcd,stnm,tm,wptn,z
13600,长江干流,60107300,宜昌,1788134400000,4,42.770
13100,长江干流,60107300,宜昌,1788206400000,4,42.650
13500,长江干流,60107300,宜昌,1788220800000,5,42.670
12100,长江干流,60107300,宜昌,1788238800000,4,42.220
12100,长江干流,60107300,宜昌,1788256800000,4,42.170
14100,长江干流,60107300,宜昌,1788274800000,4,42.890
12700,长江干流,60107300,宜昌,1788285600000,4,42.550
11700,长江干流,60107300,宜昌,1788296400000,4,42.150
13600,长江干流,60107300,宜昌,1788303600000,5,42.590
14000,长江干流,60107300,宜昌,1788307200000,5,42.720
13500,长江干流,60107300,宜昌,1788310800000,4,42.620
10500,长江干流,60107300,宜昌,1788328800000,4,41.700
12900,长江干流,60107300,宜昌,1788346800000,5,42.270
12600,长江干流,60107300,宜昌,1788361200000,4,42.340
12100,长江干流,60107300,宜昌,1788372000000,5,42.190
