q,rvnm,stcd,stnm,tm,wptn,z
25500,长江干流,60112200,汉口,1788134400000,6,20.120
25900,长江干流,60112200,汉口,1788206400000,5,20.200
26100,长江干流,60112200,汉口,1788220800000,6,20.210
26100,长江干流,60112200,汉口,1788238800000,5,20.240
26000,长江干流,60112200,汉口,1788256800000,5,20.260
26300,长江干流,60112200,汉口,1788274800000,5,20.290
26400,长江干流,60112200,汉口,1788285600000,6,20.310
26400,长江干流,60112200,汉口,1788296400000,6,20.330
26400,长江干流,60112200,汉口,1788303600000,6,20.340
26500,长江干流,60112200,汉口,1788307200000,5,20.350
26500,长江干流,60112200,汉口,1788310800000,6,20.350
26700,长江干流,60112200,汉口,1788328800000,5,20.400
26700,长江干流,60112200,汉口,1788346800000,6,20.410
26500,长江干流,60112200,汉口,1788361200000,5,20.430
26700,长江干流,60112200,汉口,1788372000000,5,20.460
26900,长江干流,60112200,汉口,1788382800000,6,20.480
26900,长江干流,60112200,汉口,1788390000000,5,20.490
26800,长江干流,60112200,汉口,1788393600000,6,20.490
26800,长江干流,60112200,汉口,1788397200000,5,20.500
26700,长江干流,60112200,汉口,1788415200000,5,20.520
26600,长江干流,60112200,汉口,1788433200000,6,20.530
26500,长江干流,60112200,汉口,1788447600000,6,20.540
