oq,q,stcd,stnm,tm,wptn,z,rvnm
0,0,60105700,清溪场,1788202800000,4,159.05,长江干流
0,0,60105700,清溪场,1788217200000,5,159.05,长江干流
0,0,60105700,清溪场,1788235200000,5,159.13,长江干流
0,0,60105700,清溪场,1788253200000,5,159.12,长江干流
0,0,60105700,清溪场,1788271200000,5,159.27,长江干流
0,0,60105700,清溪场,1788282000000,4,159.29,长江干流
0,0,60105700,清溪场,1788292800000,4,159.22,长江干流
0,0,60105700,清溪场,1788300000000,5,159.23,长江干流
0,0,60105700,清溪场,1788307200000,5,159.27,长江干流
0,0,60105700,清溪场,1788325200000,4,159.36,长江干流
0,0,60105700,清溪场,1788343200000,5,159.33,长江干流
0,0,60105700,清溪场,1788357600000,5,159.44,长江干流
0,0,60105700,清溪场,1788368400000,4,159.41,长江干流
0,0,60105700,清溪场,1788379200000,4,159.31,长江干流
,,60105700,清溪场,1788390000000,5,159.320,长江干流
0,0,60105700,清溪场,1788393600000,5,159.35,长江干流
0,0,60105700,清溪场,1788411600000,4,159.42,长江干流
0,0,60105700,清溪场,1788429600000,5,159.35,长江干流
0,0,60105700,清溪场,1788444000000,5,159.43,长江干流
0,0,60105700,清溪场,1788454800000,4,159.4,长江干流
0,0,60105700,清溪场,1788465600000,4,159.27,长江干流
0,0,60105700,清溪场,1788472800000,4,159.25,长江干流
