q,rvnm,stcd,stnm,tm,wptn,z
26100,长江干流,60111300,螺山,1788134400000,4,25.360
27300,长江干流,60111300,螺山,1788220800000,4,25.570
27600,长江干流,60111300,螺山,1788307200000,5,25.730
27100,长江干流,60111300,螺山,1788393600000,6,25.790
26500,长江干流,60111300,螺山,1788480000000,5,25.710
27000,长江干流,60111300,螺山,1788566400000,4,25.670
27100,长江干流,60111300,螺山,1788652800000,5,25.760
26700,长江干流,60111300,螺山,1788739200000,5,25.790
24200,长江干流,60111300,螺山,1788825600000,4,25.660
22200,长江干流,60111300,螺山,1788912000000,4,25.330
20700,长江干流,60111300,螺山,1788998400000,4,24.900
19800,长江干流,60111300,螺山,1789084800000,4,24.560
18100,长江干流,60111300,螺山,1789171200000,4,24.110
