kind,oq,q,rvnm,sort,status,stcd,stnm,stype,tm,websiteid,wptn,z
1,0,0,陆水,660,1,69000001,北渠开度,0,1788206400000,5,6,10.36
1,0,0,陆水,660,1,69000001,北渠开度,0,1788220800000,5,6,10.36
1,0,0,陆水,660,1,69000001,北渠开度,0,1788238800000,5,6,10.36
1,0,0,陆水,660,1,69000001,北渠开度,0,1788256800000,5,6,10.36
1,0,0,陆水,660,1,69000001,北渠开度,0,1788274800000,5,6,10.36
1,0,0,陆水,660,1,69000001,北渠开度,0,1788285600000,5,6,10.36
1,0,0,陆水,660,1,69000001,北渠开度,0,1788296400000,5,6,10.36
1,0,0,陆水,660,1,69000001,北渠开度,0,1788303600000,5,6,10.36
1,0,0,陆水,660,1,69000001,北渠开度,0,1788310800000,5,6,10.36
1,0,0,陆水,660,1,69000001,北渠开度,0,1788328800000,5,6,10.36
1,0,0,陆水,660,1,69000001,北渠开度,0,1788346800000,5,6,10.36
1,0,0,陆水,660,1,69000001,北渠开度,0,1788361200000,5,6,10.36
1,0,0,陆水,660,1,69000001,北渠开度,0,1788372000000,5,6,10.36
1,0,0,陆水,660,1,69000001,北渠开度,0,1788382800000,5,6,10.36
1,0,0,陆水,660,1,69000001,北渠开度,0,1788390000000,5,6,10.36
1,0,0,陆水,660,1,69000001,北渠开度,0,1788397200000,5,6,10.36
1,0,0,陆水,660,1,69000001,北渠开度,0,1788415200000,5,6,10.36
1,0,0,陆水,660,1,69000001,北渠开度,0,1788433200000,5,6,10.36
1,0,0,陆水,660,1,69000001,北渠开度,0,1788447600000,5,6,10.36
1,0,0,陆水,660,1,69000001,北渠开度,0,1788458400000,5,6,10.36
1,0,0,陆水,660,1,69000001,北渠开度,0,1788469200000,5,6,10.36
1,0,0,陆水,660,1,69000001,北渠开度,0,1788476400000,5,6,10.36
1,0,0,陆水,660,1,69000001,北渠开度,0,1788483600000,5,6,10.36
1,0,0,陆水,660,1,69000001,北渠开度,0,1788501600000,5,6,10.36
