kind,oq,q,rvnm,sort,status,stcd,stnm,stype,tm,websiteid,wptn,z
1,0,0,陆水,530,1,61705041,南渠,0,1788206400000,5,6,49.97
1,0,0,陆水,530,1,61705041,南渠,0,1788220800000,5,6,49.98
1,0,0,陆水,530,1,61705041,南渠,0,1788238800000,5,6,49.98
1,0,0,陆水,530,1,61705041,南渠,0,1788256800000,5,6,49.99
1,0,0,陆水,530,1,61705041,南渠,0,1788274800000,5,6,49.99
1,0,0,陆水,530,1,61705041,南渠,0,1788285600000,5,6,49.99
1,0,0,陆水,530,1,61705041,南渠,0,1788296400000,5,6,49.99
1,0,0,陆水,530,1,61705041,南渠,0,1788303600000,5,6,49.99
1,0,0,陆水,530,1,61705041,南渠,0,1788310800000,5,6,49.99
1,0,0,陆水,530,1,61705041,南渠,0,1788328800000,5,6,49.99
1,0,0,陆水,530,1,61705041,南渠,0,1788346800000,5,6,49.99
