kind,oq,q,rvnm,sort,status,stcd,stnm,stype,tm,websiteid,wptn,z
1,0,0,陆水,520,1,61705036,小港,0,1788206400000,5,5,52.34
1,0,0,陆水,520,1,61705036,小港,0,1788220800000,5,5,52.34
1,0,0,陆水,520,1,61705036,小港,0,1788238800000,5,4,52.37
1,0,0,陆水,520,1,61705036,小港,0,1788256800000,5,6,52.4
1,0,0,陆水,520,1,61705036,小港,0,1788274800000,5,5,52.42
1,0,0,陆水,520,1,61705036,小港,0,1788310800000,5,5,52.44
1,0,0,陆水,520,1,61705036,小港,0,1788328800000,5,5,52.47
1,0,0,陆水,520,1,61705036,小港,0,1788346800000,5,4,52.44
1,0,0,陆水,520,1,61705036,小港,0,1788361200000,5,6,52.45
1,0,0,陆水,520,1,61705036,小港,0,1788372000000,5,6,52.46
1,0,0,陆水,520,1,61705036,小港,0,1788382800000,5,5,52.46
1,0,0,陆水,520,1,61705036,小港,0,1788390000000,5,6,52.46
1,0,0,陆水,520,1,61705036,小港,0,1788397200000,5,6,52.45
1,0,0,陆水,520,1,61705036,小港,0,1788415200000,5,5,52.46
