kind,oq,q,rvnm,sort,status,stcd,stnm,stype,tm,websiteid,wptn,z
1,0,0,陆水,500,1,61705034,浪口,0,1788206400000,5,5,52.28
1,0,0,陆水,500,1,61705034,浪口,0,1788220800000,5,5,52.32
1,0,0,陆水,500,1,61705034,浪口,0,1788238800000,5,4,52.33
1,0,0,陆水,500,1,61705034,浪口,0,1788256800000,5,6,52.36
1,0,0,陆水,500,1,61705034,浪口,0,1788274800000,5,4,52.37
1,0,0,陆水,500,1,61705034,浪口,0,1788310800000,5,5,52.41
1,0,0,陆水,500,1,61705034,浪口,0,1788328800000,5,5,52.43
1,0,0,陆水,500,1,61705034,浪口,0,1788346800000,5,4,52.41
1,0,0,陆水,500,1,61705034,浪口,0,1788361200000,5,6,52.42
1,0,0,陆水,500,1,61705034,浪口,0,1788372000000,5,5,52.43
1,0,0,陆水,500,1,61705034,浪口,0,1788382800000,5,5,52.43
1,0,0,陆水,500,1,61705034,浪口,0,1788390000000,5,6,52.43
1,0,0,陆水,500,1,61705034,浪口,0,1788397200000,5,4,52.42
1,0,0,陆水,500,1,61705034,浪口,0,1788415200000,5,5,52.43
1,0,0,陆水,500,1,61705034,浪口,0,1788433200000,5,5,52.43
1,0,0,陆水,500,1,61705034,浪口,0,1788447600000,5,6,52.43
1,0,0,陆水,500,1,61705034,浪口,0,1788458400000,5,6,52.43
1,0,0,陆水,500,1,61705034,浪口,0,1788469200000,5,4,52.43
1,0,0,陆水,500,1,61705034,浪口,0,1788476400000,5,5,52.44
1,0,0,陆水,500,1,61705034,浪口,0,1788483600000,5,6,52.43
1,0,0,陆水,500,1,61705034,浪口,0,1788501600000,5,5,52.45
1,0,0,陆水,500,1,61705034,浪口,0,1788519600000,5,5,52.46
